2011 CMIR 7 - TRANSPARENCY REPORT,,,,,,,
Month: April 2010,,,,,,,

Department Family,Entity,Date,OGC Master Category,Project Code,Supplier,Transaction Number,Amount
Dept. for Education,QCDA,16/04/2010,Professional Services Temporary Staff,Corporate Support,ABC LTD,PBAC/00125378,"Ł27,427.34"
Dept. for Education,QCDA,16/04/2010,Professional Services Learning & Development,Assessment & Test Policy Programme,ACUMINA LTD,PBAC/00125317,"Ł54,612.00"
Dept. for Education,QCDA,16/04/2010,Professional Services Learning & Development,Test Delivery Operations Programme,ACUMINA LTD,PBAC/00125508,"Ł46,360.00"
Dept. for Education,QCDA,16/04/2010,Professional Services Learning & Development,Corporate Support,Alliance of Sector Skills Councils,PBAC/00125372,"Ł92,773.00"
Dept. for Education,QCDA,16/04/2010,Professional Services Learning & Development,General Qualifications Programme/Corporate Support,AlphaPlus Consultancy Ltd,PBAC/00125472,"Ł95,038.00"
Dept. for Education,QCDA,06/04/2010,Marketing & Media,Corporate Support,Amor Business Technology Solutions Ltd,PBAC/00123633,"Ł107,306.81"
Dept. for Education,QCDA,07/04/2010,Professional Services Learning & Development,General Qualifications Programme,AQA,PBAC/00123667,"Ł52,751.40"
Dept. for Education,QCDA,21/04/2010,Professional Services Learning & Development,Diploma Programme/Curriculum Development Programme,Assessment & Qualifications Alliance,PBAC/00125912,"Ł128,156.04"
Dept. for Education,QCDA,16/04/2010,ICT,Corporate Support,Association of Colleges,PBAC/00125179,"Ł32,372.50"
Dept. for Education,QCDA,19/04/2010,Professional Services Learning & Development,Corporate Support,Association of School & College Leaders,PBAC/00125815,"Ł41,930.10"
Dept. for Education,QCDA,16/04/2010,Professional Services Learning & Development,Assessment & Test Policy Programme,Au Fait Consultancy Ltd,PBAC/00125270,"Ł33,685.00"
Dept. for Education,QCDA,19/04/2010,Professional Services Temporary Staff,Corporate Support,Axiom Global Limited,PBAC/00125833,"Ł85,531.60"
Dept. for Education,QCDA,16/04/2010,Professional Services Other,Corporate Support,Beachcroft LLP,PBAC/00125189,"Ł43,440.53"
Dept. for Education,QCDA,16/04/2010,Office Solutions,Curriculum Development Programme,Bell Design& Communication Ltd,PBAC/00125250,"Ł56,390.31"
Dept. for Education,QCDA,16/04/2010,Marketing & Media,Diploma Programme,Bracken Presentations Ltd,PBAC/00125359,"Ł36,216.03"
Dept. for Education,QCDA,21/04/2010,ICT,Corporate Support,British Telecommunication Plc Telephone,PBAC/00125898,"Ł31,341.23"
Dept. for Education,QCDA,16/04/2010,Professional Services Temporary Staff,Test Delivery Operations Programme,BSS,PBAC/00125395,"Ł51,752.45"
Dept. for Education,QCDA,16/04/2010,Professional Services Consultancy,Diploma Programme,Cap Gemini UK Plc,PBAC/00125442,"Ł105,397.50"
Dept. for Education,QCDA,07/04/2010,ICT,Corporate Support,Certes Computing Limited,POCRDT/00000440,"-Ł52,217.00"
Dept. for Education,QCDA,07/04/2010,ICT,Corporate Support,Certes Computing Limited,PBAC/00123700,"Ł52,000.00"
Dept. for Education,QCDA,08/04/2010,Professional Services Learning & Development,"Research, Development & Evaluation",Chartered Institute Educational Assessor,PBAC/00123766,"Ł81,250.00"
Dept. for Education,QCDA,16/04/2010,Professional Services Learning & Development,Test Delivery Operations Programme,CITO Institute for Educational Measureme,PLFP/00000009,"Ł36,709.00"
Dept. for Education,QCDA,16/04/2010,Professional Services Learning & Development,General Qualifications Programme,CITY AND GUILDS,PBAC/00125495,"Ł135,715.00"
Dept. for Education,QCDA,15/04/2010,Professional Services Learning & Development,Curriculum Development Programme,Civil Superannuation Vote,PRFT/00001422,"Ł558,125.87"
Dept. for Education,QCDA,15/04/2010,Logistics,Test Delivery Operations Programme,COI Communications,PRFT/00001424,"Ł1,477,214.72"
Dept. for Education,QCDA,15/04/2010,N/A,Corporate Support,Contributions Agency,PRFT/00001421,"Ł435,287.79"
Dept. for Education,QCDA,19/04/2010,ICT,Corporate Support,CSA Waverley Limited,POCRDT/00000471,"-Ł157,116.31"
Dept. for Education,QCDA,19/04/2010,ICT,Corporate Support,CSA Waverley Limited,PBAC/00125870,"Ł156,898.47"
Dept. for Education,QCDA,15/04/2010,Facilities,Corporate Support,DCSF,PRFT/00001423,"Ł1,571,562.50"
Dept. for Education,QCDA,21/04/2010,ICT,Corporate Support,Dell Computer Corporation Limited,POCRDT/00000429,"-Ł201,652.50"
Dept. for Education,QCDA,21/04/2010,ICT,Corporate Support,Dell Computer Corporation Limited,PBAC/00125905,"Ł25,273.26"
Dept. for Education,QCDA,16/04/2010,Professional Services Learning & Development,General Qualifications Programme,Dragonfly Communications,PBAC/00125504,"Ł45,405.13"
Dept. for Education,QCDA,06/04/2010,Professional Services Consultancy,Corporate Support,DTZ,PBAC/00123619,"Ł41,233.12"
Dept. for Education,QCDA,09/04/2010,Professional Services Learning & Development,General Qualifications Programme,EDCOMS LTD,PBAC/00123874,"Ł30,608.75"
Dept. for Education,QCDA,19/04/2010,Professional Services Learning & Development,Test Delivery Operations Programme,Edexcel Ltd,PBAC/00125804,"Ł2,397,534.50"
Dept. for Education,QCDA,29/04/2010,Professional Services Learning & Development,Test Delivery Operations Programme,Edexcel Ltd,PBAC/00126119,"Ł47,900.00"
Dept. for Education,QCDA,16/04/2010,Travel & Events,Corporate Support,Expotel Hotel Reservations Ltd,PBAC/00125418,"Ł79,214.76"
Dept. for Education,QCDA,06/04/2010,Travel & Events,Corporate Support,Expotel Hotel Reservations Ltd,PBAC/00123641,"Ł33,253.36"
Dept. for Education,QCDA,16/04/2010,Travel & Events,Corporate Support,Expotel Hotel Reservations Ltd,PBAC/00125525,"Ł29,137.90"
Dept. for Education,QCDA,16/04/2010,Professional Services Temporary Staff,Corporate Support,GETTING@IT LTD,PBAC/00125340,"Ł35,282.86"
Dept. for Education,QCDA,19/04/2010,Professional Services Learning & Development,Diploma Programme,Goldcrest Solutions,PBAC/00125872,"Ł36,295.75"
Dept. for Education,QCDA,16/04/2010,Logistics,Curriculum Development Programme,Granby Marketing,PBAC/00125439,"Ł166,508.98"
Dept. for Education,QCDA,06/04/2010,Marketing & Media,Curriculum Development Programme,Guardian Newspapers Ltd,PBAC/00123599,"Ł35,250.00"
Dept. for Education,QCDA,21/04/2010,Marketing & Media,Curriculum Development Programme,GWS LTD,PBAC/00125926,"Ł28,575.98"
Dept. for Education,QCDA,16/04/2010,Professional Services Learning & Development,General Qualifications Programme,Industry (Ideas),PBAC/00125315,"Ł27,838.46"
Dept. for Education,QCDA,15/04/2010,N/A,Corporate Support,Inland Revenue Only,PRFT/00001420,"Ł618,130.45"
Dept. for Education,QCDA,30/04/2010,N/A,Corporate Support,Inland Revenue Only,PRFT/00001434,"Ł49,191.74"
Dept. for Education,QCDA,21/04/2010,Professional Services Consultancy,Diploma Programme,KPMG LLP,PBAC/00125921,"Ł283,410.01"
Dept. for Education,QCDA,16/04/2010,Marketing & Media,General Qualifications Programme,LewisLive Ltd,PBAC/00125462,"Ł25,532.47"
Dept. for Education,QCDA,06/04/2010,Professional Services Learning & Development,Diploma Programme,Market & Opinion Research International,PBAC/00123601,"Ł38,352.00"
Dept. for Education,QCDA,16/04/2010,Professional Services Learning & Development,Diploma Programme,Market & Opinion Research International,PBAC/00125457,"Ł25,054.53"
Dept. for Education,QCDA,09/04/2010,Facilities,Corporate Support,MCD (Coventry) Ltd,PCREDT/00000704,"-Ł50,665.81"
Dept. for Education,QCDA,21/04/2010,ICT,Corporate Support,MISCO,PBAC/00125918,"Ł31,119.17"
Dept. for Education,QCDA,16/04/2010,Marketing & Media,Test Delivery Operations Programme,Mouchel Management Consulting Ltd (Hedra,PBAC/00125316,"Ł284,653.98"
Dept. for Education,QCDA,16/04/2010,Professional Services Learning & Development,Curriculum Development Programme,NACGT,PBAC/00125455,"Ł39,000.00"
Dept. for Education,QCDA,16/04/2010,Professional Services Learning & Development,Assessment & Test Policy Programme,NCS Services UK Ltd,PBAC/00125341,"Ł180,641.27"
Dept. for Education,QCDA,07/04/2010,Professional Services Learning & Development,Assessment & Test Policy Programme,NFER,PBAC/00123673,"Ł365,187.00"
Dept. for Education,QCDA,16/04/2010,Professional Services Learning & Development,Assessment & Test Policy Programme,NFER,PBAC/00125475,"Ł115,099.00"
Dept. for Education,QCDA,29/04/2010,Professional Services Learning & Development,Assessment & Test Policy Programme,NFER,PBAC/00126128,"Ł59,377.00"
Dept. for Education,QCDA,16/04/2010,Professional Services Learning & Development,General Qualifications Programme,O C R,PBAC/00125191,"Ł80,400.00"
Dept. for Education,QCDA,21/04/2010,Professional Services Learning & Development,Diploma Programme,O C R,PBAC/00125915,"Ł57,489.97"
Dept. for Education,QCDA,16/04/2010,Facilities,Corporate Support,Office World (UK) Ltd,PBAC/00125463,"Ł127,830.60"
Dept. for Education,QCDA,16/04/2010,Professional Services Consultancy,Diploma Programme,PA Consulting Services Ltd,PBAC/00125568,"Ł54,508.62"
Dept. for Education,QCDA,16/04/2010,Logistics,General Qualifications Programme,Parcelforce Worldwide,PBAC/00125415,"Ł155,638.00"
Dept. for Education,QCDA,16/04/2010,Logistics,General Qualifications Programme,Parcelforce Worldwide,PBAC/00125421,"Ł49,115.40"
Dept. for Education,QCDA,19/04/2010,Personnel Related,Corporate Support,PENNA PLC,PBAC/00125894,"Ł712,816.21"
Dept. for Education,QCDA,07/04/2010,Personnel Related,Corporate Support,PENNA PLC,PBAC/00123703,"Ł163,462.29"
Dept. for Education,QCDA,09/04/2010,Personnel Related,Corporate Support,PENNA PLC,PBAC/00123892,"Ł78,207.62"
Dept. for Education,QCDA,16/04/2010,Professional Services Consultancy,Test Delivery Operations Programme,PriceWaterhouseCoopers,PBAC/00125566,"Ł1,131,426.31"
Dept. for Education,QCDA,16/04/2010,Professional Services Consultancy,Diploma Programme,PriceWaterhouseCoopers,PBAC/00125416,"Ł87,133.30"
Dept. for Education,QCDA,06/04/2010,Professional Services Consultancy,Test Delivery Operations Programme,PriceWaterhouseCoopers,PBAC/00123582,"Ł76,477.94"
Dept. for Education,QCDA,19/04/2010,Professional Services Consultancy,Test Delivery Operations Programme,PriceWaterhouseCoopers,PBAC/00125789,"Ł26,002.75"
Dept. for Education,QCDA,21/04/2010,Professional Services Learning & Development,Diploma Programme,Ricoh UK Ltd (was NRG Group),PBAC/00125913,"Ł31,602.55"
Dept. for Education,QCDA,16/04/2010,Office Solutions,Corporate Support,Right Now Technologies (UK) Ltd,PBAC/00125489,"Ł43,388.56"
Dept. for Education,QCDA,16/04/2010,Professional Services Learning & Development,Test Delivery Operations Programme,RM Education Plc,PBAC/00125198,"Ł51,250.00"
Dept. for Education,QCDA,08/04/2010,Professional Services Temporary Staff,Corporate Support,Salford City Council,PBAC/00123767,"Ł26,418.00"
Dept. for Education,QCDA,07/04/2010,Travel & Events,Corporate Support,SCQF Partnerships,PBAC/00123698,"Ł54,000.00"
Dept. for Education,QCDA,16/04/2010,Facilities,Corporate Support,SGP Property & Facilities Management Ltd,PBAC/00125276,"Ł223,847.60"
Dept. for Education,QCDA,16/04/2010,Facilities,Corporate Support,SGP Property & Facilities Management Ltd,PBAC/00125488,"Ł48,727.71"
Dept. for Education,QCDA,23/04/2010,Facilities,Corporate Support,SGP Property & Facilities Management Ltd,PBAC/00126021,"Ł35,566.62"
Dept. for Education,QCDA,21/04/2010,Facilities,Corporate Support,SGP Property & Facilities Management Ltd,PBAC/00125943,"Ł26,916.87"
Dept. for Education,QCDA,16/04/2010,ICT,Test Delivery Operations Programme,Software for Data Analysis Ltd,PBAC/00125465,"Ł66,105.95"
Dept. for Education,QCDA,16/04/2010,Professional Services Learning & Development,Corporate Support,Sole Trader,PBAC/00125347,"Ł26,290.29"
Dept. for Education,QCDA,16/04/2010,Professional Services Learning & Development,Assessment & Test Policy Programme,Sole Trader,PBAC/00125531,"Ł36,561.00"
Dept. for Education,QCDA,29/04/2010,Marketing & Media,General Qualifications Programme,Speakeasy Productions Ltd,PCREDT/00000707,"-Ł54,869.20"
Dept. for Education,QCDA,16/04/2010,Marketing & Media,Corporate Support,SQUARE I MEDIA,PBAC/00125385,"Ł36,106.88"
Dept. for Education,QCDA,27/04/2010,ICT,Corporate Support,Steria Ltd,PBAC/00126093,"Ł384,574.56"
Dept. for Education,QCDA,29/04/2010,ICT,Corporate Support,Steria Ltd,PBAC/00126137,"Ł192,287.28"
Dept. for Education,QCDA,16/04/2010,ICT,Corporate Support,Steria Services Ltd (IT),PBAC/00125567,"Ł682,421.55"
Dept. for Education,QCDA,19/04/2010,ICT,Corporate Support,Steria Services Ltd (IT),PBAC/00125805,"Ł231,932.12"
Dept. for Education,QCDA,23/04/2010,ICT,Corporate Support,Steria Services Ltd (IT),PBAC/00126015,"Ł176,250.00"
Dept. for Education,QCDA,21/04/2010,ICT,Corporate Support,Steria Services Ltd (IT),PBAC/00125930,"Ł28,460.48"
Dept. for Education,QCDA,16/04/2010,Marketing & Media,Diploma Programme,Take 3 Productions,PBAC/00125361,"Ł54,223.92"
Dept. for Education,QCDA,16/04/2010,Marketing & Media,Diploma Programme,The Mackinnon Partnership,PBAC/00125362,"Ł28,082.50"
Dept. for Education,QCDA,16/04/2010,Professional Services Learning & Development,General Qualifications Programme,Tribal Education Ltd,PBAC/00125358,"Ł378,656.20"
Dept. for Education,QCDA,16/04/2010,Professional Services Learning & Development,General Qualifications Programme,Twofour Group Ltd,PBAC/00125299,"Ł54,629.24"
Dept. for Education,QCDA,16/04/2010,Professional Services Learning & Development,"Research, Development & Evaluation",University of Bristol,PBAC/00125436,"Ł100,000.00"
Dept. for Education,QCDA,08/04/2010,Professional Services Learning & Development,Curriculum Development Programme,University of Nottingham,PBAC/00123737,"Ł172,300.00"
Dept. for Education,QCDA,16/04/2010,Professional Services Learning & Development,Test Delivery Operations Programme,UNSW Global PTY LTD,PLFP/00000010,"Ł139,320.00"
Dept. for Education,QCDA,06/04/2010,Professional Services Learning & Development,Corporate Support,Welsh Joint Education Committee,PBAC/00123584,"Ł29,200.00"
Dept. for Education,QCDA,16/04/2010,Professional Services Consultancy,Corporate Support,White Consultants Ltd,PBAC/00125237,"Ł82,384.61"
Dept. for Education,QCDA,21/04/2010,Professional Services Consultancy,Corporate Support,White Consultants Ltd,PBAC/00125988,"Ł47,564.49"
Dept. for Education,QCDA,06/04/2010,Professional Services Consultancy,Diploma Programme,White Consultants Ltd,PBAC/00123605,"Ł41,638.24"
