2011 CMIR 7 - TRANSPARENCY REPORT,,,,,,,
Month: December 2010,,,,,,,

Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Dept. for Education,QCDA,09/12/2010,Professional Services Learning & Development,General Qualifications Programme,AlphaPlus Consultancy Ltd,PBAC/00131485,145584
Dept. for Education,QCDA,16/12/2010,ICT,Diploma Programme,Amor Business Technology Solutions Ltd,PBAC/00131577,43976.86
Dept. for Education,QCDA,16/12/2010,ICT,Corporate Services,Amor Business Technology Solutions Ltd,PCREDT/00000788,-37666.51
Dept. for Education,QCDA,09/12/2010,Professional Services Learning & Development,General Qualifications Programme,Assessment & Qualifications Alliance,PBAC/00131479,88176.63
Dept. for Education,QCDA,16/12/2010,Professional Services Learning & Development,General Qualifications Programme,Assessment & Qualifications Alliance,PBAC/00131553,61626
Dept. for Education,QCDA,13/12/2010,Professional Services Temporary Staff,Test Delivery Operations Programme,BSS,PBAC/00131548,49557.31
Dept. for Education,QCDA,22/12/2010,Professional Services Learning & Development,CIEA,Chartered Institute Educational Assessor,PBAC/00131633,73988.89
Dept. for Education,QCDA,01/12/2010,Facilities,Corporate Services,Coventry City Council,PBAC/00131403,496485.75
Dept. for Education,QCDA,16/12/2010,Professional Services Other,Corporate Services,DTZ London,PBAC/00131585,129763.4
Dept. for Education,QCDA,16/12/2010,Professional Services Learning & Development,Test Delivery Operations Programme,Edexcel Ltd,PBAC/00131591,1480795.25
Dept. for Education,QCDA,16/12/2010,Professional Services Learning & Development,General Qualifications Programme,Edexcel Ltd,POCRDT/00000556,-80000
Dept. for Education,QCDA,16/12/2010,Professional Services Learning & Development,General Qualifications Programme,Edexcel Ltd,POCRDT/00000557,-80000
Dept. for Education,QCDA,01/12/2010,Professional Services Temporary Staff,Policy & Strategy,Essex County Council,PBAC/00131405,41753.93
Dept. for Education,QCDA,06/12/2010,Facilities,Corporate Services,MCD (Coventry) Ltd,PBAC/00131458,359344.67
Dept. for Education,QCDA,22/12/2010,Facilities,Corporate Services,MCD (Coventry) Ltd,PBAC/00131634,64977.5
Dept. for Education,QCDA,20/12/2010,ICT,Corporate Services,Methods Consulting Ltd,PBAC/00131603,48614.45
Dept. for Education,QCDA,09/12/2010,Logistics,General Qualifications Programme,Parcelforce Worldwide,PBAC/00131473,222392.6
Dept. for Education,QCDA,20/12/2010,Logistics,General Qualifications Programme,Parcelforce Worldwide,PBAC/00131593,111841.4
Dept. for Education,QCDA,06/12/2010,Professional Services Learning & Development,Corporate Services,PCUBED,PBAC/00131461,42207.53
Dept. for Education,QCDA,01/12/2010,Professional Services Temporary Staff,Corporate Services,PENNA PLC,PBAC/00131407,196112.05
Dept. for Education,QCDA,01/12/2010,Professional Services Temporary Staff,Corporate Services,PENNA PLC,PCREDT/00000899,-47809.08
Dept. for Education,QCDA,09/12/2010,Professional Services Consultancy,Test Delivery Operations Programme,PriceWaterhouseCoopers,PBAC/00131474,88083.88
Dept. for Education,QCDA,09/12/2010,Professional Services Consultancy,Test Delivery Operations Programme,PriceWaterhouseCoopers,POCRDT/00000558,-70182.75
Dept. for Education,QCDA,09/12/2010,Facilities,Corporate Services,SGP Property & Facilities Management Ltd,PBAC/00131507,88073.05
Dept. for Education,QCDA,16/12/2010,ICT,Corporate Services,Steria Ltd,PBAC/00131572,201324.78
Dept. for Education,QCDA,01/12/2010,ICT,Corporate Services,Steria Services Ltd,PBAC/00131408,67681.59
Dept. for Education,QCDA,06/12/2010,ICT,Corporate Services,Steria Services Ltd,PBAC/00131445,92473.56
Dept. for Education,QCDA,09/12/2010,ICT,Corporate Services,Steria Services Ltd,PBAC/00131484,221606.04
