Dept.,Entity,Payment Date,OGC Master Category,Project Code,Supplier,Transaction Number,Payment_Value
Department for Education,QCDA,07/10/2010,ICT,Diploma Programme,Amor Business Technology Solutions Ltd,PBAC/00130717,49424.85
Department for Education,QCDA,21/10/2010,ICT,Corporate Support,British Telecommunication Plc Telephone,PBAC/00130871,30621.54
Department for Education,QCDA,14/10/2010,Professional Services Temporary Staff,Test Delivery Operations Programme,BSS,PBAC/00130806,38407.44
Department for Education,QCDA,04/10/2010,Professional Services Learning & Development,Assessment & Test Policy Programme,Chartered Institute Educational Assessor,PBAC/00130604,81250.00
Department for Education,QCDA,19/10/2010,Facilities,Corporate Support,DCSF,PBAC/00130861,1581278.50
Department for Education,QCDA,14/10/2010,ICT,Test Delivery Operations Programme,DELOITTE LLP,PBAC/00130800,54271.12
Department for Education,QCDA,19/10/2010,Professional Services Learning & Development,Test Delivery Operations Programme,Edexcel Ltd,PBAC/00130863,1025000.00
Department for Education,QCDA,11/10/2010,Professional Services Learning & Development,General Qualifications Programme,Edexcel Ltd,PBAC/00130744,195958.00
Department for Education,QCDA,14/10/2010,Energy & Utilities,Corporate Support,EDF Energy,PBAC/00130771,41994.31
Department for Education,QCDA,18/10/2010,Professional Services Learning & Development,Corporate Support,Exam Officers Association,PBAC/00130830,25000.00
Department for Education,QCDA,18/10/2010,Professional Services Temporary Staff,Corporate Support,GETTING@IT LTD,PBAC/00130834,32990.62
Department for Education,QCDA,11/10/2010,Professional Services Consultancy,Corporate Support,Methods Consulting Ltd,PBAC/00130752,52405.00
Department for Education,QCDA,14/10/2010,Professional Services Consultancy,Corporate Support,Methods Consulting Ltd,PBAC/00130788,41252.62
Department for Education,QCDA,11/10/2010,Professional Services Consultancy,Corporate Support,Methods Consulting Ltd,POCRDT/00000537,-53345.00
Department for Education,QCDA,21/10/2010,Professional Services Learning & Development,Assessment & Test Policy Programme,NCS Services UK Ltd,PBAC/00130900,160000.00
Department for Education,QCDA,19/10/2010,Professional Services Learning & Development,Assessment & Test Policy Programme,NFER,PBAC/00130865,272717.00
Department for Education,QCDA,28/10/2010,Professional Services Learning & Development,Test Delivery Operations Programme,NFER,PBAC/00130970,84568.90
Department for Education,QCDA,11/10/2010,Professional Services Learning & Development,General Qualifications Programme,O C R,PBAC/00130739,41256.00
Department for Education,QCDA,11/10/2010,Professional Services Learning & Development,General Qualifications Programme,O C R,POCRDT/00000506,-41297.00
Department for Education,QCDA,04/10/2010,Facilities,Corporate Support,Office World (UK) Ltd,PBAC/00130595,51267.60
Department for Education,QCDA,18/10/2010,ICT,Corporate Support,Open Text UK Ltd,PBAC/00130824,47006.09
Department for Education,QCDA,18/10/2010,ICT,Corporate Support,Open Text UK Ltd,POCRDT/00000549,-76092.82
Department for Education,QCDA,28/10/2010,Professional Services Temporary Staff,Corporate Support,PENNA PLC,PBAC/00130962,697900.73
Department for Education,QCDA,11/10/2010,Personnel Related,Corporate Support,PENNA PLC,PBAC/00130743,133097.79
Department for Education,QCDA,28/10/2010,Professional Services Temporary Staff,Corporate Support,PENNA PLC,PCREDT/00000880,-901458.90
Department for Education,QCDA,28/10/2010,Professional Services Temporary Staff,Corporate Support,PENNA PLC,PCREDT/00000881,-53439.39
Department for Education,QCDA,28/10/2010,Professional Services Temporary Staff,Corporate Support,PENNA PLC,PCREDT/00000882,-67511.02
Department for Education,QCDA,28/10/2010,Professional Services Temporary Staff,Corporate Support,PENNA PLC,PCREDT/00000883,-87448.79
Department for Education,QCDA,28/10/2010,Professional Services Temporary Staff,Corporate Support,PENNA PLC,PCREDT/00000884,-46962.91
Department for Education,QCDA,28/10/2010,Professional Services Temporary Staff,Corporate Support,PENNA PLC,PCREDT/00000885,-190904.36
Department for Education,QCDA,28/10/2010,Professional Services Temporary Staff,Corporate Support,PENNA PLC,PCREDT/00000886,-159563.91
Department for Education,QCDA,28/10/2010,Professional Services Temporary Staff,Corporate Support,PENNA PLC,PCREDT/00000887,-135770.25
Department for Education,QCDA,18/10/2010,Professional Services Consultancy,Test Delivery Operations Programme,PriceWaterhouseCoopers,PBAC/00130844,309771.13
Department for Education,QCDA,19/10/2010,Professional Services Consultancy,Test Delivery Operations Programme,PriceWaterhouseCoopers,PBAC/00130859,29624.10
Department for Education,QCDA,19/10/2010,Professional Services Learning & Development,Test Delivery Operations Programme,PriceWaterhouseCoopers,PCREDT/00000872,-568334.58
Department for Education,QCDA,14/10/2010,Professional Services Learning & Development,Test Delivery Operations Programme,RM Education Plc,PBAC/00130777,274418.47
Department for Education,QCDA,21/10/2010,Professional Services Financial Services,Corporate Support,RSM Tenon Limited,PBAC/00130912,26332.23
Department for Education,QCDA,19/10/2010,Facilities,Corporate Support,SGP Property & Facilities Management Ltd,PBAC/00130870,81627.13
Department for Education,QCDA,11/10/2010,Facilities,Corporate Support,SGP Property & Facilities Management Ltd,PBAC/00130755,76226.35
Department for Education,QCDA,28/10/2010,Facilities,Corporate Support,SGP Property & Facilities Management Ltd,PBAC/00130972,41820.22
Department for Education,QCDA,21/10/2010,ICT,Corporate Support,Steria Ltd,PBAC/00130891,192287.28
Department for Education,QCDA,19/10/2010,ICT,Corporate Support,Steria Services Ltd,PBAC/00130864,140654.96
Department for Education,QCDA,07/10/2010,ICT,Corporate Support,Steria Services Ltd,PBAC/00130687,100298.92
Department for Education,QCDA,11/10/2010,ICT,Test Delivery Operations Programme,The Stationery Office,PBAC/00130742,49639.29
Department for Education,QCDA,14/10/2010,Professional Services Learning & Development,General Qualifications Programme,Tribal Education Ltd,PBAC/00130801,122335.22
