2011 CMIR 7 - TRANSPARENCY REPORT,,,,,,,
Month: September 2010,,,,,,,

Department Family,Entity,Date,OGC Master Category,Project Code,Supplier,Transaction Number,Amount
Dept. for Education,QCDA,30/09/2010,N/A,Corporate Services,Civil Superannuation Vote,PRFT/00001485,"Ł376,800.04"
Dept. for Education,QCDA,30/09/2010,N/A,Corporate Services,Contributions Agency,PRFT/00001484,"Ł270,434.51"
Dept. for Education,QCDA,09/09/2010,Professional Services Temporary Staff,Corporate Services,Cornwall County Council,PBAC/00130361,"Ł37,438.62"
Dept. for Education,QCDA,23/09/2010,ICT,Corporate Services,Energis Comm (Cable & Wireless),PBAC/00130509,"Ł50,929.79"
Dept. for Education,QCDA,30/09/2010,N/A,Corporate Services,Inland Revenue Only,PRFT/00001483,"Ł373,576.10"
Dept. for Education,QCDA,02/09/2010,N/A,Corporate Services,Inland Revenue Only,PRFT/00001481,"Ł220,748.78"
Dept. for Education,QCDA,30/09/2010,Facilities,Corporate Services,MCD (Coventry) Ltd,POCRDT/00000364,"-Ł376,829.70"
Dept. for Education,QCDA,30/09/2010,Facilities,Corporate Services,MCD (Coventry) Ltd,PBAC/00130570,"Ł359,344.67"
Dept. for Education,QCDA,23/09/2010,ICT,Corporate Services,Methods Consulting Ltd,PBAC/00130496,"Ł48,561.58"
Dept. for Education,QCDA,30/09/2010,Professional Services Learning & Development,Assessment & Test Development,NCS Services UK Ltd,PBAC/00130569,"Ł77,289.00"
Dept. for Education,QCDA,16/09/2010,Professional Services Learning & Development,Assessment & Test Development,NFER,PBAC/00130422,"Ł1,081,701.00"
Dept. for Education,QCDA,02/09/2010,Professional Services Learning & Development,Assessment & Test Development,NFER,PBAC/00130282,"Ł57,814.00"
Dept. for Education,QCDA,30/09/2010,Professional Services Learning & Development,Assessment & Test Development,NFER,PBAC/00130554,"Ł48,057.00"
Dept. for Education,QCDA,16/09/2010,Personnel Related,Corporate Services,PENNA PLC,PBAC/00130420,"Ł130,148.93"
Dept. for Education,QCDA,23/09/2010,Professional Services Learning & Development,Test Delivery Operations,PriceWaterhouseCoopers,PBAC/00130483,"Ł164,669.79"
Dept. for Education,QCDA,23/09/2010,Professional Services Learning & Development,Test Delivery Operations,RM Education Plc,PBAC/00130489,"Ł252,857.59"
Dept. for Education,QCDA,06/09/2010,Professional Services Learning & Development,Test Delivery Operations,RM Education Plc,PBAC/00130303,"Ł97,306.52"
Dept. for Education,QCDA,27/09/2010,Professional Services Learning & Development,Test Delivery Operations,RM Education Plc,POCRDT/00000536,"-Ł34,910.67"
Dept. for Education,QCDA,27/09/2010,Professional Services Learning & Development,Test Delivery Operations,RM Education Plc,PBAC/00130523,"Ł25,285.61"
Dept. for Education,QCDA,16/09/2010,Facilities,Corporate Services,SGP Property & Facilities Management Ltd,PBAC/00130429,"Ł90,081.57"
Dept. for Education,QCDA,06/09/2010,Facilities,Corporate Services,SGP Property & Facilities Management Ltd,PBAC/00130315,"Ł31,454.73"
