September 2011 Spend over £25k (inc vat),,,,, ,, ,, ,,,,,
Department Family,Entity,Transaction Date,A/C - Type of Expenditure,C/C - Business Area,Supplier,Invoice No.,Spend Month,Inc VAT (where applicable),Description,Supplier Postcode,Supplier Type,Contract/PO #,Project Code,Expenditure Type
DEFRA,RPA,29-Sep-11,IT Outsourced Services,Programmes & Projects & Service Management,Accenture,3003163808,Sep,"401,673.60",IT Outsourced Services,B63 3NP,Large,n/a,n/a,Admin
DEFRA,RPA,07-Sep-11,Printing,Managed Document Service,Adare,IS1190132,Sep,"47,764.94",British Cattle Movement Services Scan costs April - July 2011,HD8 9QQ,Large,PO63150,MDSBCMS1       ,Admin
DEFRA,RPA,16-Sep-11,Printing,Managed Document Service,Adare,IS1190209,Sep,"62,645.69",Cattle Passport Apr - July,HD8 9QQ,SME,PO63149,MDSBCMS1,Admin
DEFRA,RPA,07-Sep-11,RPA Lease Cars Rental Fee,All,Arval,1016608,Sep,"50,320.98",Lease Rental & Service charges,SN5 6PE,Large,PO 59384,none,Admin
DEFRA,RPA,26-Sep-11,IT Outsourced Services,Service Management,Computacenter UK Ltd,3803417642,Sep,"36,224.34",3rd party software and maintenance charges ,AL10 9TW,Global,PO 63431,PPT01000,Admin
DEFRA,RPA,02-Sep-11,IT Outsourced Services,Service Management,DSGi,1145824,Sep,"75,834.00",Monthly Service Charges,BL9 7BJ,Large,PO 62964,OFFS0125,Admin
DEFRA,RPA,16-Sep-11,IT Outsourced Services,Service Management,DSGi,11070275,Sep,"29,700.93","Balance payment for June, July & August",BL9 7BJ,Large,PO 62964,OFFS0125,Admin
DEFRA,RPA,01-Sep-11,IT Outsourced Services,Programmes & Projects,IBM UK,5808111282,Sep,"25,266.34",Backup and Recovery Project,PO6 3AE,Large,PO 61868,PPT01400,Admin
DEFRA,RPA,05-Sep-11,IT Outsourced Services,Service Management & Programmes & Projects ,IBM UK,5808111835,Sep,"869,311.77",RPA Defra IT Base Services September 11,PO6 3AE,Large,PO 63382,PPT01000   IBMBS000,Admin
DEFRA,RPA,05-Sep-11,IT Outsourced Services,Programmes & Projects,IBM UK,5808111836,Sep,"31,950.00",IT equipment Move to North Gate House,PO6 3AE,Large,PO 62764,NGHM0001,Admin
DEFRA,RPA,06-Sep-11,IT Outsourced Services,Programmes & Projects ,IBM UK,5808110339,Sep,"64,986.01",Microsoft Infrastructure Programme,PO6 3AE,Large,PO 62575,PPT01500,Admin
DEFRA,RPA,15-Sep-11,IT Outsourced Services,Programmes & Projects,IBM UK,5809110354,Sep,"82,437.60",Kings House Data Centre Move,PO6 3AE,Large,PO62517,PPT01000,Admin
DEFRA,RPA,21-Sep-11,IT Outsourced Services,Service Management,IBM UK,5809110904,Sep,"31,234.93",Systems Delivery - Solaris Vintage Support,PO6 3AE,Large,PO63502,IBMBS000,Admin
DEFRA,RPA,14-Sep-11,Supplier Contractors,GI Services,InfoTech,970000866,Sep,"76,642.80",Rural Land Register GIS Phase 6 Digitising work completed in May 2011,WC1V 6RL,Large,PO 62576,none,Admin
DEFRA,RPA,30-Sep-11,Supplier Contractors,GI Services,InfoTech,970001000,Sep,"71,192.94",Rural Land Register GIS Phase 6 Digitising work completed in July 2011,WC1V 6RL,Large,PO 62576,none,Admin
DEFRA,RPA,16-Sep-11,,Customer Improvements,ORC International,0811/080,Sep,"35,173.50",Customer Satisfaction Survey,N1 9AH,Large,PO 63080,none,Admin
DEFRA,RPA,15-Sep-11,,CA-Cross Compliance & Inspections Management Unit,Remote Sensing Applications,589,Sep,"31,205.58",Remote Sensing 2011,SO24 0AA,Large,PO 62823,none,Admin
,,,,,,,,, ,,,,, 
