Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction number,Nett,,,,,,,,,,,,,,,,,
DEFRA,Rural Payments Agency,01-Apr-10,Contractors (VAT Irrecoverable),COO/Performance Directorate (Research Unit),Serco Consulting Ltd~114639650,90414238,49702.50 ,,,,,,,,,,,,,,,,,
DEFRA,Rural Payments Agency,01-Apr-10,Contractors (VAT Irrecoverable),Ops - Exeter GI Services,InfoTech Enterprises Europe Ltd~108795328,12892,99468.92 ,,,,,,,,,,,,,,,,,
DEFRA,Rural Payments Agency,01-Apr-10,Hardware Datacentre Clearing A/C,CIO - PPD Programme Technical,INSIGHT DIRECT (UK) LTD,10417059,28509.16 ,,,,,,,,,,,,,,,,,
DEFRA,Rural Payments Agency,01-Apr-10,Hardware Datacentre Clearing A/C,CIO - PPD Programme Technical,INSIGHT DIRECT (UK) LTD,10417028,32756.39 ,,,,,,,,,,,,,,,,,
DEFRA,Rural Payments Agency,01-Apr-10,Hardware Datacentre Clearing A/C,CIO - PPD Programme Technical,INSIGHT DIRECT (UK) LTD,10416751,68364.49 ,,,,,,,,,,,,,,,,,
DEFRA,Rural Payments Agency,01-Apr-10,Hardware Datacentre Clearing A/C,CIO - PPD Programme Technical,INSIGHT DIRECT (UK) LTD,10417045,68489.94 ,,,,,,,,,,,,,,,,,
DEFRA,Rural Payments Agency,01-Apr-10,IT Outsourced Services,CIO - PPD Corporate Services,IBM UK LTD~105002620,5803102164,208485.00 ,,,,,,,,,,,,,,,,,
DEFRA,Rural Payments Agency,01-Apr-10,IT Outsourced Services,CIO - Service Management,IBM UK LTD~105002620,5803102243,37937.97 ,,,,,,,,,,,,,,,,,
DEFRA,Rural Payments Agency,01-Apr-10,IT Outsourced Services,Inspectorate - Delivery A,IBM UK LTD~105002620,5803102163,30127.24 ,,,,,,,,,,,,,,,,,
DEFRA,Rural Payments Agency,01-Apr-10,Supplier Contractors (VAT Recoverable),COO/Preformance Directorate (Research Unit),Serco Consulting Ltd~114639650,90414234,111174.80 ,,,,,,,,,,,,,,,,,
DEFRA,Rural Payments Agency,01-Apr-10,Supplier Contractors (VAT Recoverable),Ops - Exeter GI Services,InfoTech Enterprises Europe Ltd~108795328,12880,24428.32 ,,,,,,,,,,,,,,,,,
DEFRA,Rural Payments Agency,01-Apr-10,Travel & Subsistence - Travel (UK),COO/Preformance Directorate (Research Unit),Serco Consulting Ltd~114639650,90414239,25112.68 ,,,,,,,,,,,,,,,,,
DEFRA,Rural Payments Agency,01-Apr-10,Travel & Subsistence - Travel (UK),COO/Preformance Directorate (Research Unit),Serco Consulting Ltd~114639650,90414235,28611.25 ,,,,,,,,,,,,,,,,,
DEFRA,Rural Payments Agency,06-Apr-10,Agency Staff,Ops - Exeter GI Services,OFFICE ANGELS LTD~105014043,15077831,25421.27 ,,,,,,,,,,,,,,,,,
DEFRA,Rural Payments Agency,06-Apr-10,Agency Staff,Ops - Exeter GI Services,OFFICE ANGELS LTD~105014043,15079983,25779.39 ,,,,,,,,,,,,,,,,,
DEFRA,Rural Payments Agency,06-Apr-10,Agency Staff,Ops - Exeter GI Services,OFFICE ANGELS LTD~105014043,15077832,29786.78 ,,,,,,,,,,,,,,,,,
DEFRA,Rural Payments Agency,06-Apr-10,Contractors (VAT Irrecoverable),CIO - PPD Programme Customer,SOFTWARE AG (UK) LIMITED~111720391,3090011494,44847.40 ,,,,,,,,,,,,,,,,,
DEFRA,Rural Payments Agency,06-Apr-10,IT Outsourced Services,CIO - PPD Programme Health Check,SOFTWARE AG (UK) LIMITED~111720391,3090011491,72622.00 ,,,,,,,,,,,,,,,,,
DEFRA,Rural Payments Agency,06-Apr-10,IT Outsourced Services,CIO - PPD Projects,IBM UK LTD~105002620,5803102033,99752.00 ,,,,,,,,,,,,,,,,,
DEFRA,Rural Payments Agency,06-Apr-10,IT Software Development Clearing A/C,CIO - PPD Programme Customer,SOFTWARE AG (UK) LIMITED~111720391,3090011495,81000.00 ,,,,,,,,,,,,,,,,,
DEFRA,Rural Payments Agency,06-Apr-10,RPA Vehicle Scheme Costs,,ARVAL,982628,22577.77 ,,,,,,,,,,,,,,,,,
