January - Spend over £25k,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Department Family,Entity,Transaction Date,Expense Type (a/c),Expense Area (c/c),Supplier,Invoice No.,Gross ,Gross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEFRA,RPA,11-Jan-11,Travel UK,HR Business Support,DEFRA,193584,,"25,090.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEFRA,RPA,14-Jan-11,Contractors (VAT Irrecoverable),Operational Performance Team,Methods Consulting,100011910,,"25,673.75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEFRA,RPA,17-Jan-11,Contractors (VAT Irrecoverable),Strategy & Enterprise Architecture,Methods Consulting,100012067,,"26,155.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEFRA,RPA,05-Jan-11,Printing,Managed Document Service (MDS),Adare,IS1178115,,"26,185.49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEFRA,RPA,17-Jan-11,Contractors (VAT Irrecoverable),Strategy & Enterprise Architecture,Methods Consulting,100012637,,"26,872.02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEFRA,RPA,10-Jan-11,Historic Costs Additions In year - IT Software,Programme and Projects - Technical Infrastructure Programme,IBM,5801110284,,"28,924.16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEFRA,RPA,06-Jan-11,CHAPS PAYMENT FOR SPS DISALLOWANCE CONTRACT,Balance Sheet,BARCLAYS BANK P L C~105025912,335216/060111,,"31,360.16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEFRA,RPA,24-Jan-11,Supplier Contractors (VAT Recoverable),Customer Strategy,ORC International ,0111/003,,"35,173.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEFRA,RPA,06-Jan-11,various,various,Barclaycard Business,December GPC Transactions,,"37,135.94",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEFRA,RPA,18-Jan-11,RPA Vehicle Scheme Costs,various,Arval,999116,,"37,633.65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEFRA,RPA,13-Jan-11,Printing,Managed Document Service (MDS),Adare,IS1179297,,"40,430.20", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
