Department Family,Entity,Transaction Date,Expense Type (a/c),Expense Area (c/c),Supplier,Invoice No.,Month,Gross ,Gross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEFRA,RPA,09-Feb-11,Office Solutions,Managed Document Services,ADARE LIMITED,IS1180772,Feb-11,,"£196,538.13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEFRA,RPA,24-Feb-11,Office Solutions,Managed Document Services,ADARE LIMITED,IS1180727,Feb-11,,"£48,913.95",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEFRA,RPA,02-Feb-11,Vehicles,Various,ARVAL,1001025,Feb-11,,"£38,193.62", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEFRA,RPA,24-Feb-11,ICT,PPD Programme Technical,AZZURRI COMMUNICATIONS LTD,13017878.1,Feb-11,,"£87,410.40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEFRA,RPA,24-Feb-11,ICT,Service Management,AZZURRI COMMUNICATIONS LTD,13024898,Feb-11,,"£64,521.46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEFRA,RPA,04-Feb-11,Various - Travel,Various,BARCLAYCARD BUSINESS,Jan - Travel ,Feb-11,,"£38,161.48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEFRA,RPA,16-Feb-11,Various ,Various,BARCLAYCARD BUSINESS,Jan - GPC Transactions,Feb-11,,"£41,205.63",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEFRA,RPA,10-Feb-11,Professional Services - Consultancy,Legal Costs,BRIDGE MCFARLAND SOLICITORS,CO/13573/2009,Feb-11,,"£34,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEFRA,RPA,28-Feb-11,Recharges,Salary Recharges,CEFAS,8000640,Feb-11,,"£28,216.52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEFRA,RPA,02-Feb-11,Recharges,Legal Costs,DEFRA,1000006398,Feb-11,,"£215,000.01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
