Department,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,
Home Office,UKBA - UK Border Agency,15/09/2011,Law Enforcement & safety Equip.Surveillance & Det Equip- PROG,UKBA - UK Border Agency,AIRWAVE SOLUTIONS LTD,4000004112,"1,272.73",
Home Office,UKBA - UK Border Agency,15/09/2011,Law Enforcement & safety Equip.Surveillance & Det Equip- PROG,UKBA - UK Border Agency,AIRWAVE SOLUTIONS LTD,4000004112,"1,272.73",
Home Office,UKBA - UK Border Agency,16/09/2011,Law Enforcement & safety Equip.Surveillance & Det Equip- PROG,UKBA - UK Border Agency,ARQIVA LTD,1001156532,477.84,
Home Office,UKBA - UK Border Agency,09/09/2011,"IT, Broadcasting & Telecomms.IT Run Costs other -Prog",UKBA - UK Border Agency,ATOS IT SERVICES UK LTD,1001153998,"233,363.92",
Home Office,UKBA - UK Border Agency,16/09/2011,"IT, Broadcasting & Telecomms.IT Run Costs other -Prog",UKBA - UK Border Agency,ATOS IT SERVICES UK LTD,1001156535,"130,404.04",
Home Office,UKBA - UK Border Agency,16/09/2011,"IT, Broadcasting & Telecomms.IT Run Costs other -Prog",UKBA - UK Border Agency,ATOS IT SERVICES UK LTD,1001156535,"229,042.48",
Home Office,UKBA - UK Border Agency,16/09/2011,"IT, Broadcasting & Telecomms.IT Run Costs other -Prog",UKBA - UK Border Agency,ATOS IT SERVICES UK LTD,1001156535,"499,828.62",
Home Office,UKBA - UK Border Agency,13/09/2011,"IT, Broadcasting & Telecomms.IT Run Costs other -Prog",UKBA - UK Border Agency,ATOS IT SERVICES UK LTD,1001155125,"41,932.56",
Home Office,UKBA - UK Border Agency,09/09/2011,"IT, Broadcasting & Telecomms.IT Run Costs other -Prog",UKBA - UK Border Agency,ATOS IT SERVICES UK LTD,1001153998,"95,265.08",
Home Office,UKBA - UK Border Agency,15/09/2011,"IT, Broadcasting & Telecomms.IT Run Costs other -Prog",UKBA - UK Border Agency,ATOS IT SERVICES UK LTD,1001156103,"201,419.00",
Home Office,UKBA - UK Border Agency,16/09/2011,"IT, Broadcasting & Telecomms.IT Run Costs other -Prog",UKBA - UK Border Agency,ATOS IT SERVICES UK LTD,1001156535,"6,186.55",
Home Office,UKBA - UK Border Agency,16/09/2011,"IT, Broadcasting & Telecomms.IT Run Costs other -Prog",UKBA - UK Border Agency,ATOS IT SERVICES UK LTD,1001156535,"265,690.50",
Home Office,UKBA - UK Border Agency,16/09/2011,"IT, Broadcasting & Telecomms.IT Run Costs other -Prog",UKBA - UK Border Agency,ATOS IT SERVICES UK LTD,1001156535,"81,736.00",
Home Office,UKBA - UK Border Agency,12/09/2011,"IT, Broadcasting & Telecomms.IT Run Costs other -Prog",UKBA - UK Border Agency,ATOS IT SERVICES UK LTD,1001154434,"324,732.24",
Home Office,UKBA - UK Border Agency,09/09/2011,"IT, Broadcasting & Telecomms.IT Run Costs other -Prog",UKBA - UK Border Agency,ATOS IT SERVICES UK LTD,1001153998,"28,263.00",
Home Office,UKBA - UK Border Agency,19/09/2011,"IT, Broadcasting & Telecomms.IT Run Costs other -Prog",UKBA - UK Border Agency,ATOS IT SERVICES UK LTD,1001156963,"92,217.03",
Home Office,UKBA - UK Border Agency,19/09/2011,"IT, Broadcasting & Telecomms.IT Run Costs other -Prog",UKBA - UK Border Agency,ATOS IT SERVICES UK LTD,1001156963,"23,054.26",
Home Office,UKBA - UK Border Agency,19/09/2011,"IT, Broadcasting & Telecomms.IT Run Costs other -Prog",UKBA - UK Border Agency,ATOS IT SERVICES UK LTD,1001156963,"1,089.46",
Home Office,UKBA - UK Border Agency,19/09/2011,"IT, Broadcasting & Telecomms.IT Run Costs other -Prog",UKBA - UK Border Agency,ATOS IT SERVICES UK LTD,1001156963,"73,322.40",
Home Office,UKBA - UK Border Agency,19/09/2011,"IT, Broadcasting & Telecomms.IT Run Costs other -Prog",UKBA - UK Border Agency,ATOS IT SERVICES UK LTD,1001156963,"426,616.80",
Home Office,UKBA - UK Border Agency,30/09/2011,"IT, Broadcasting & Telecomms.IT Run Costs other -Prog",UKBA - UK Border Agency,ATOS IT SERVICES UK LTD,1001162070,"423,648.00",
Home Office,UKBA - UK Border Agency,27/09/2011,"IT, Broadcasting & Telecomms.IT Run Costs other -Prog",UKBA - UK Border Agency,ATOS IT SERVICES UK LTD,1001160379,"30,950.00",
Home Office,UKBA - UK Border Agency,27/09/2011,"IT, Broadcasting & Telecomms.IT Run Costs other -Prog",UKBA - UK Border Agency,ATOS IT SERVICES UK LTD,1001160379,"560,595.26",
Home Office,UKBA - UK Border Agency,27/09/2011,"IT, Broadcasting & Telecomms.IT Run Costs other -Prog",UKBA - UK Border Agency,ATOS IT SERVICES UK LTD,1001160379,"104,938.02",
Home Office,UKBA - UK Border Agency,27/09/2011,"IT, Broadcasting & Telecomms.IT Run Costs other -Prog",UKBA - UK Border Agency,ATOS IT SERVICES UK LTD,1001160379,"302,274.72",
Home Office,UKBA - UK Border Agency,27/09/2011,"IT, Broadcasting & Telecomms.IT Run Costs other -Prog",UKBA - UK Border Agency,ATOS IT SERVICES UK LTD,1001160379,"66,448.14",
Home Office,UKBA - UK Border Agency,27/09/2011,"IT, Broadcasting & Telecomms.IT Run Costs other -Prog",UKBA - UK Border Agency,ATOS IT SERVICES UK LTD,1001160379,"69,913.33",
Home Office,UKBA - UK Border Agency,27/09/2011,"IT, Broadcasting & Telecomms.IT Run Costs other -Prog",UKBA - UK Border Agency,ATOS IT SERVICES UK LTD,1001160379,"89,335.68",
Home Office,UKBA - UK Border Agency,27/09/2011,"IT, Broadcasting & Telecomms.IT Run Costs other -Prog",UKBA - UK Border Agency,ATOS IT SERVICES UK LTD,1001160379,"120,394.49",
Home Office,UKBA - UK Border Agency,27/09/2011,"IT, Broadcasting & Telecomms.IT Run Costs other -Prog",UKBA - UK Border Agency,ATOS IT SERVICES UK LTD,1001160379,"102,049.75",
Home Office,UKBA - UK Border Agency,27/09/2011,"IT, Broadcasting & Telecomms.IT Run Costs other -Prog",UKBA - UK Border Agency,ATOS IT SERVICES UK LTD,1001160379,"25,275.34",
Home Office,UKBA - UK Border Agency,27/09/2011,"IT, Broadcasting & Telecomms.IT Run Costs other -Prog",UKBA - UK Border Agency,ATOS IT SERVICES UK LTD,1001160379,"33,664.18",
Home Office,UKBA - UK Border Agency,30/09/2011,"IT, Broadcasting & Telecomms.IT Run Costs other -Prog",UKBA - UK Border Agency,ATOS IT SERVICES UK LTD,1001162070,"141,531.60",
Home Office,UKBA - UK Border Agency,30/09/2011,"IT, Broadcasting & Telecomms.IT Run Costs other -Prog",UKBA - UK Border Agency,ATOS IT SERVICES UK LTD,4000004114,"48,966.87",
Home Office,UKBA - UK Border Agency,30/09/2011,"IT, Broadcasting & Telecomms.IT Run Costs other -Prog",UKBA - UK Border Agency,ATOS IT SERVICES UK LTD,4000004114,"11,733.84",
Home Office,UKBA - UK Border Agency,30/09/2011,"IT, Broadcasting & Telecomms.IT Run Costs other -Prog",UKBA - UK Border Agency,ATOS IT SERVICES UK LTD,4000004114,"236,662.46",
Home Office,UKBA - UK Border Agency,30/09/2011,"IT, Broadcasting & Telecomms.IT Run Costs other -Prog",UKBA - UK Border Agency,ATOS IT SERVICES UK LTD,4000004114,"181,579.99",
Home Office,UKBA - UK Border Agency,30/09/2011,"IT, Broadcasting & Telecomms.IT Run Costs other -Prog",UKBA - UK Border Agency,ATOS IT SERVICES UK LTD,4000004114,"162,806.27",
Home Office,UKBA - UK Border Agency,14/09/2011,Grants,UKBA - UK Border Agency,BIRMINGHAM CITY COUNCIL (G),1001155944,"59,464.00",
Home Office,UKBA - UK Border Agency,28/09/2011,Grants,UKBA - UK Border Agency,BIRMINGHAM CITY COUNCIL (G),1001161400,"592,448.00",
Home Office,UKBA - UK Border Agency,05/09/2011,Grants,UKBA - UK Border Agency,BOLTON MBC 1 (G),1001152159,"38,717.00",
Home Office,UKBA - UK Border Agency,14/09/2011,Grants,UKBA - UK Border Agency,BOROUGH OF POOLE 1 (G),1001155946,"26,443.00",
Home Office,UKBA - UK Border Agency,05/09/2011,Politics & Civic Affairs.REFUGEE PROG. SECT 95,UKBA - UK Border Agency,CITY AND COUNTY OF SWANSEA,1001152082,"71,057.18",
Home Office,UKBA - UK Border Agency,26/09/2011,Politics & Civic Affairs.REFUGEE PROG. SECT 95,UKBA - UK Border Agency,CLEARSPRINGS MANAGEMENT LTD,1001159847,"114,792.43",
Home Office,UKBA - UK Border Agency,26/09/2011,Politics & Civic Affairs.Human aid & relief Sect 4,UKBA - UK Border Agency,CLEARSPRINGS MANAGEMENT LTD,1001159847,"29,438.23",
Home Office,UKBA - UK Border Agency,26/09/2011,Politics & Civic Affairs.REFUGEE PROG. SECT 95,UKBA - UK Border Agency,CLEARSPRINGS MANAGEMENT LTD,1001159847,"154,291.14",
Home Office,UKBA - UK Border Agency,26/09/2011,Politics & Civic Affairs.Human aid & relief Sect 4,UKBA - UK Border Agency,CLEARSPRINGS MANAGEMENT LTD,1001159847,"47,479.41",
