Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number, Amount ,
Home Office,Home Office  ,07/09/2012,Grants,SIIG - Safeguarding Immigration & International Group,INDEPENDENT SAFEGUARDING AUTHORITY (G),3000045326," 960,162.00 ",
Home Office,Home Office  ,04/09/2012,"IT, TelecommsManaged Service.Support (General)",SIIG - Safeguarding Immigration & International Group,LOGICA UK LTD,1001303252," 50,871.60 ",
Home Office,Home Office  ,28/09/2012,Public Administration Services.ContOut RC Services-Other,OSCT - Office of Security and Counter-Terrorism,BURNBANK SYSTEMS LTD,1001313954," 31,939.01 ",
Home Office,Home Office  ,28/09/2012,Public Administration Services.ContOut RC Services-Other,OSCT - Office of Security and Counter-Terrorism,BURNBANK SYSTEMS LTD,1001313954," 14,532.24 ",
Home Office,Home Office  ,07/09/2012,"Clothes, shoes & Personal Care.Clothing ",OSCT - Office of Security and Counter-Terrorism,CFOA NATIONAL RESILIENCE LTD,1001305220," 106,573.92 ",
Home Office,Home Office  ,06/09/2012,Laboratory & Scientific Equip.Scientific Equip Running Costs,OSCT - Office of Security and Counter-Terrorism,CT CENTRE (MOD) T/A DSTL,1001304811," 137,540.33 ",
Home Office,Home Office  ,27/09/2012,HOPG Estates Accom Rent,OSCT - Office of Security and Counter-Terrorism,"DEPARTMENT FOR BUSINESS, INNOVATION & SKILLS",3000045415," 153,285.74 ",
Home Office,Home Office  ,27/09/2012,HOPG Estates Accom Rent,OSCT - Office of Security and Counter-Terrorism,"DEPARTMENT FOR BUSINESS, INNOVATION & SKILLS",3000045415," 102,190.49 ",
Home Office,Home Office  ,26/09/2012,Grants,OSCT - Office of Security and Counter-Terrorism,DORSET POLICE AUTHORITY 1 (G),1001313172," 299,356.00 ",
Home Office,Home Office  ,26/09/2012,Grants,OSCT - Office of Security and Counter-Terrorism,DORSET POLICE AUTHORITY 1 (G),1001313172," 124,860.00 ",
Home Office,Home Office  ,26/09/2012,Grants,OSCT - Office of Security and Counter-Terrorism,DORSET POLICE AUTHORITY 1 (G),1001313172," 293,276.00 ",
Home Office,Home Office  ,26/09/2012,Grants,OSCT - Office of Security and Counter-Terrorism,DORSET POLICE AUTHORITY 1 (G),1001313172," 79,451.00 ",
Home Office,Home Office  ,26/09/2012,Grants,OSCT - Office of Security and Counter-Terrorism,DORSET POLICE AUTHORITY 1 (G),1001313172," 242,839.00 ",
Home Office,Home Office  ,26/09/2012,Grants,OSCT - Office of Security and Counter-Terrorism,DORSET POLICE AUTHORITY 1 (G),1001313172," 1,035,419.00 ",
Home Office,Home Office  ,26/09/2012,Grants,OSCT - Office of Security and Counter-Terrorism,DORSET POLICE AUTHORITY 1 (G),1001313172," 2,199,659.00 ",
Home Office,Home Office  ,26/09/2012,Grants,OSCT - Office of Security and Counter-Terrorism,DORSET POLICE AUTHORITY 1 (G),1001313172," 99,947.00 ",
Home Office,Home Office  ,26/09/2012,Grants,OSCT - Office of Security and Counter-Terrorism,DORSET POLICE AUTHORITY 1 (G),1001313172," 37,508.00 ",
Home Office,Home Office  ,17/09/2012,Agency Staff,OSCT - Office of Security and Counter-Terrorism,FOREIGN AND COMMONWEALTH OFFICE,3000045363," 6,050.00 ",
Home Office,Home Office  ,17/09/2012,Legal Advice,OSCT - Office of Security and Counter-Terrorism,FOREIGN AND COMMONWEALTH OFFICE,3000045363," 9,910.00 ",
Home Office,Home Office  ,17/09/2012,Consultancy Advice,OSCT - Office of Security and Counter-Terrorism,FOREIGN AND COMMONWEALTH OFFICE,3000045363," 5,500.00 ",
