"TRANSPARENCY - DFE TEMPLATE FOR SUBMISSION OF SPEND OVER £25,000. To be submitted to:richard.barlow@education.gsi.gov.uk.",,,,,,,,
Organisation -,School Food Trust,,,,,,,
Submitted by -,Clare Bateman,,,,,,,
Month - ,Mar-11,,,,,,,
Department family,Entity,Date (payment not invoice date),Expense type (Account Code Name),Expense area (Division within SFT e.g. Corp Services),Supplier,Transaction number (SFT Invoice No.),Amount (including VAT),VAT registration number
Department for Education,School Food Trust,16/03/2011,Professional Fees,Communications,Alfred Bagnall & Sons (Administration) Ltd,PI016024,49854,
Department for Education,School Food Trust,23/03/2011,Researchers,Research,TNS Uk LTD,PI016352,234000,
Department for Education,School Food Trust,25/03/2011,Newsletters,Lets Get Cooking,Proportion Marketing Limited,PI016506,1800,
Department for Education,School Food Trust,25/03/2011,Activity Packs,Lets Get Cooking,Proportion Marketing Limited,PI016506,9180,
Department for Education,School Food Trust,25/03/2011,Activity Packs,Lets Get Cooking,Proportion Marketing Limited,PI016507,98.4,
Department for Education,School Food Trust,25/03/2011,SUP - New clubs fulfillment and despatch,Lets Get Cooking,Proportion Marketing Limited,PI016507,349.2,
Department for Education,School Food Trust,25/03/2011,SUP - Associate clubs fulfillment & despatch,Lets Get Cooking,Proportion Marketing Limited,PI016507,330.4,
Department for Education,School Food Trust,25/03/2011,Design,Lets Get Cooking,Proportion Marketing Limited,PI016507,50.4,
Department for Education,School Food Trust,25/03/2011,Cluster Meetings,Lets Get Cooking,Proportion Marketing Limited,PI016507,62.4,
Department for Education,School Food Trust,25/03/2011,Events Resources,Lets Get Cooking,Proportion Marketing Limited,PI016507,111.6,
Department for Education,School Food Trust,25/03/2011,Associate Club Promotion,Lets Get Cooking,Proportion Marketing Limited,PI016507,6,
Department for Education,School Food Trust,25/03/2011,Let's Get Cooking order fulfillment,Lets Get Cooking,Proportion Marketing Limited,PI016507,5046
Department for Education,School Food Trust,25/03/2011,Let's Get Cooking E-bulletin,Lets Get Cooking,Proportion Marketing Limited,PI016509,1754.4
Department for Education,School Food Trust,25/03/2011,Let's Get Cooking Awards,Lets Get Cooking,Proportion Marketing Limited,PI016509,414
Department for Education,School Food Trust,25/03/2011,Let's Get Cooking comms stationery,Lets Get Cooking,Proportion Marketing Limited,PI016509,300
Department for Education,School Food Trust,25/03/2011,Market Research,Lets Get Cooking,Proportion Marketing Limited,PI016509,7920
Department for Education,School Food Trust,25/03/2011,SUP - Associate clubs fulfillment & despatch,Lets Get Cooking,Proportion Marketing Limited,PI016509,3910.2
Department for Education,School Food Trust,29/03/2011,Survey Participation,Research,TNS Uk LTD,PI016600,46800
