"TRANSPARENCY - DFE TEMPLATE FOR SUBMISSION OF SPEND OVER £25,000. To be submitted to:richard.barlow@education.gsi.gov.uk.",,,,,,,
Organisation -,School Food Trust,,,,,,
Submitted by -,Clare Bateman,,,,,,
Month - ,Dec-10,,,,,,
Department family,Entity,Date (payment not invoice date),Expense type (Account Code Name),Expense area (Division within SFT e.g. Corp Services),Supplier,Transaction number (SFT Invoice No.),Amount (including VAT)
Department for Education,School Food Trust,15/12/2010,Printing & Marketing Resources,Lets Get Cooking,Proportion Marketing Limited,PI014103,505.25
Department for Education,School Food Trust,15/12/2010,Printing & Marketing Resources,Lets Get Cooking,Proportion Marketing Limited,PI014105,211.5
Department for Education,School Food Trust,15/12/2010,Printing & Marketing Resources,Lets Get Cooking,Proportion Marketing Limited,PI014104,1195
Department for Education,School Food Trust,15/12/2010,Let's Get Cooking order fulfillment,Lets Get Cooking,Proportion Marketing Limited,PI014102,3427.48
Department for Education,School Food Trust,15/12/2010,SUP - New clubs fulfillment and despatch,Lets Get Cooking,Proportion Marketing Limited,PI014102,544.02
Department for Education,School Food Trust,15/12/2010,Associate Club Promotion,Lets Get Cooking,Proportion Marketing Limited,PI014106,6809.88
Department for Education,School Food Trust,15/12/2010,Printing & Marketing Resources,Lets Get Cooking,Proportion Marketing Limited,PI014110,1120.25
Department for Education,School Food Trust,15/12/2010,Printing & Marketing Resources,Lets Get Cooking,Proportion Marketing Limited,PI014447,9150
Department for Education,School Food Trust,15/12/2010,Activity Packs,Lets Get Cooking,Proportion Marketing Limited,PI014446,8872
Department for Education,School Food Trust,15/12/2010,Newsletters,Lets Get Cooking,Proportion Marketing Limited,PI014446,1750
Department for Education,School Food Trust,15/12/2010,SUP - New clubs fulfillment and despatch,Lets Get Cooking,Proportion Marketing Limited,PI014446,1880
