Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Transactions Number, Amount (£)
Foreign & Commonwealth Office,Foreign & Commonwealth Office,03-Aug-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,GILBERT-ASH FITOUT LIMITED,1169438,"113,083.55"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,03-Aug-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,GILBERT-ASH FITOUT LIMITED,1169438,"19,789.62"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,03-Aug-10,IT/IS Consultancy,DG CENTRAL GROUP,INTUITY CONSULTING LIMITED,1169450,"15,920.00"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,03-Aug-10,IT/IS Consultancy,DG CENTRAL GROUP,INTUITY CONSULTING LIMITED,1169450,"5,970.00"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,03-Aug-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,INTUITY CONSULTING LIMITED,1169450,"3,830.75"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,04-Aug-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,GIBS LTD,1002489,"58,659.83"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,04-Aug-10,Programme Spend (Oracle Projects Control Account),DG POLITICAL,UNITED NATIONS,1002490,"3,713,155.53"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,04-Aug-10,Programme Spend (Oracle Projects Control Account),DG POLITICAL,UNITED NATIONS,1002491,"6,179,354.73"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,04-Aug-10,Programme Spend (Oracle Projects Control Account),DG POLITICAL,UNITED NATIONS,1002492,"8,763,706.15"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,04-Aug-10,Programme Spend (Oracle Projects Control Account),DG POLITICAL,UNITED NATIONS,1002493,"1,134,575.12"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,04-Aug-10,Programme Spend (Oracle Projects Control Account),DG POLITICAL,UNITED NATIONS,1002494,"6,512,934.48"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,04-Aug-10,Programme Spend (Oracle Projects Control Account),DG POLITICAL,UNITED NATIONS,1002495,"2,256,416.94"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,04-Aug-10,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,DTZ DEBENHAM TIE LEUNG,1169579,"32,721.56"
