Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount in Sterling
Export Credits Guarantee Department,Export Credits Guarantee Department,07-Feb-11,Home Travel /Subsistence,(DAB) IA: Administration Costs,American Express,60449,Ł76.39
Export Credits Guarantee Department,Export Credits Guarantee Department,07-Feb-11,Home Travel /Subsistence,(DAB) Others HRD PP: Admin Costs,American Express,60449,Ł102.63
Export Credits Guarantee Department,Export Credits Guarantee Department,07-Feb-11,Home Travel /Subsistence,(DAB) Others HRD PP: Admin Costs,American Express,60449,Ł53.94
Export Credits Guarantee Department,Export Credits Guarantee Department,07-Feb-11,Overseas Travel (Case Related),(DAB)BG Business Division 3,American Express,60449,Ł187.50
Export Credits Guarantee Department,Export Credits Guarantee Department,07-Feb-11,Overseas Travel (Case Related),(DAB)BG Business Division 3,American Express,60449,Ł158.50
Export Credits Guarantee Department,Export Credits Guarantee Department,07-Feb-11,Overseas Travel (Case Related),(DAB)BG Business Division 3,American Express,60449,Ł39.46
Export Credits Guarantee Department,Export Credits Guarantee Department,07-Feb-11,Overseas Travel (Case Related),(DAB)BG Business Division 3,American Express,60449,Ł88.45
Export Credits Guarantee Department,Export Credits Guarantee Department,07-Feb-11,Overseas Travel (Case Related),(DAB)BG Business Division 3,American Express,60449,Ł68.63
Export Credits Guarantee Department,Export Credits Guarantee Department,07-Feb-11,Overseas Travel (Case Related),(DAB)BG Business Division 3,American Express,60449,Ł118.45
Export Credits Guarantee Department,Export Credits Guarantee Department,07-Feb-11,Overseas Travel (Case Related),(DAB)BG Business Division 3,American Express,60449,Ł187.50
Export Credits Guarantee Department,Export Credits Guarantee Department,07-Feb-11,Overseas Travel (Case Related),(DAB)BG Business Division 3,American Express,60449,Ł158.50
Export Credits Guarantee Department,Export Credits Guarantee Department,07-Feb-11,Overseas Travel (Case Related),(DAB)BG Business Division 3,American Express,60449,"Ł5,254.10"
Export Credits Guarantee Department,Export Credits Guarantee Department,07-Feb-11,Overseas Travel (Case Related),(DAB)BG Business Division1,American Express,60449,Ł243.16
Export Credits Guarantee Department,Export Credits Guarantee Department,07-Feb-11,Overseas Travel (Case Related),(DAB)BG Business Division1,American Express,60449,Ł132.76
Export Credits Guarantee Department,Export Credits Guarantee Department,07-Feb-11,Overseas Travel (Case Related),(DAB)BG Business Division1,American Express,60449,Ł201.40
Export Credits Guarantee Department,Export Credits Guarantee Department,07-Feb-11,Overseas Travel (Case Related),(DAB)BG Business Division1,American Express,60449,Ł201.40
Export Credits Guarantee Department,Export Credits Guarantee Department,07-Feb-11,Overseas Travel (Case Related),(DAB)BG Business Division1,American Express,60449,Ł201.40
Export Credits Guarantee Department,Export Credits Guarantee Department,07-Feb-11,Overseas Travel (Case Related),(DAB)BG Business Division2,American Express,60449,Ł320.25
Export Credits Guarantee Department,Export Credits Guarantee Department,07-Feb-11,Overseas Travel (Case Related),(DAB)BG Business Division2,American Express,60449,Ł320.25
Export Credits Guarantee Department,Export Credits Guarantee Department,07-Feb-11,Overseas Travel (Case Related),(DAB)BG Business Division2,American Express,60449,Ł68.63
Export Credits Guarantee Department,Export Credits Guarantee Department,07-Feb-11,Overseas Travel (Case Related),(DAB)BG Business Division2,American Express,60449,"Ł5,254.10"
Export Credits Guarantee Department,Export Credits Guarantee Department,07-Feb-11,Overseas Travel (Case Related),(DAB)BG Business Division2,American Express,60449,Ł88.45
Export Credits Guarantee Department,Export Credits Guarantee Department,07-Feb-11,Overseas Travel (Case Related),(DAB)BG Business Division2,American Express,60449,Ł39.46
Export Credits Guarantee Department,Export Credits Guarantee Department,07-Feb-11,Overseas Travel (Case Related),(DAB)BG Business Division2,American Express,60449,Ł118.45
Export Credits Guarantee Department,Export Credits Guarantee Department,07-Feb-11,Overseas Travel (Case Related),(DAB)BG Business Division2,American Express,60449,Ł181.00
Export Credits Guarantee Department,Export Credits Guarantee Department,07-Feb-11,Overseas Travel (Case Related),(DAB)BG Business Division2,American Express,60449,"Ł1,177.99"
Export Credits Guarantee Department,Export Credits Guarantee Department,07-Feb-11,Overseas Travel (Case Related),(DAB)BG Business Division2,American Express,60449,Ł320.25
Export Credits Guarantee Department,Export Credits Guarantee Department,07-Feb-11,Overseas Travel/Subsistence,(DAB) CRG CRAD Admin Costs,American Express,60449,Ł279.25
Export Credits Guarantee Department,Export Credits Guarantee Department,07-Feb-11,Overseas Travel/Subsistence,(DAB) CRG CRAD Admin Costs,American Express,60449,Ł299.75
Export Credits Guarantee Department,Export Credits Guarantee Department,07-Feb-11,Overseas Travel/Subsistence,(DAB)BG Business Division 3,American Express,60449,Ł4.95
Export Credits Guarantee Department,Export Credits Guarantee Department,07-Feb-11,Overseas Travel/Subsistence,(DAB)BG Business Division 3,American Express,60449,"Ł4,703.60"
Export Credits Guarantee Department,Export Credits Guarantee Department,07-Feb-11,Overseas Travel/Subsistence,(DAB)BG Business Division 3,American Express,60449,Ł4.95
Export Credits Guarantee Department,Export Credits Guarantee Department,07-Feb-11,Overseas Travel/Subsistence,(DAB)BG Business Division 3,American Express,60449,"Ł4,703.60"
Export Credits Guarantee Department,Export Credits Guarantee Department,07-Feb-11,Overseas Travel/Subsistence,(DAB)BG Business Division1,American Express,60449,Ł322.60
Export Credits Guarantee Department,Export Credits Guarantee Department,07-Feb-11,Overseas Travel/Subsistence,(DAB)BG Business Division1,American Express,60449,Ł263.70
Export Credits Guarantee Department,Export Credits Guarantee Department,07-Feb-11,Overseas Travel/Subsistence,(DAB)BG Business Division1,American Express,60449,Ł277.60
Export Credits Guarantee Department,Export Credits Guarantee Department,07-Feb-11,Overseas Travel/Subsistence,CXO: admin,American Express,60449,Ł74.25
Export Credits Guarantee Department,Export Credits Guarantee Department,07-Feb-11,Fixed IT charges,(DAB) FG ID: Admin Costs,Logica UK Limited,60468,"Ł122,237.09"
Export Credits Guarantee Department,Export Credits Guarantee Department,07-Feb-11,IT Non Project Expenditure,(DAB) FG ID: Admin Costs,Logica UK Limited,60468,"Ł7,003.53"
Export Credits Guarantee Department,Export Credits Guarantee Department,08-Feb-11,Online costs,(DAB) CRG CRAD Admin Costs,Institute of International Finance,60528,"Ł57,464.12"
Export Credits Guarantee Department,Export Credits Guarantee Department,22-Feb-11,Online costs,(DAB) CRG CRAD Admin Costs,IHS Global Insight Limited,60577,"Ł27,917.00"
Export Credits Guarantee Department,Export Credits Guarantee Department,11-Feb-11,Legal Cost,(DAB) GCO: Legal Serv - Admin,Norton Rose,351,"Ł10,734.46"
Export Credits Guarantee Department,Export Credits Guarantee Department,11-Feb-11,Legal Cost,(DAB) GCO: Legal Serv - Admin,Norton Rose,351,"Ł10,734.47"
Export Credits Guarantee Department,Export Credits Guarantee Department,11-Feb-11,Legal Cost,(DAB) GCO: Legal Serv - Admin,Norton Rose,351,"Ł10,734.47"
