Department family,Entity,Payment Date,Expense type,Expense area,Supplier,Transaction number,Amount
Export Credits Guarantee Department,Export Credits Guarantee Department,02/06/2010,Rates,Human Resources / Facilities ,London Borough of Tower Hamlets,58578,"83,379.00"
Export Credits Guarantee Department,Export Credits Guarantee Department,05/06/2010,"Rent, building, fuel",Human Resources / Facilities ,Cushman & Wakefield,2265,"-29,139.65"
Export Credits Guarantee Department,Export Credits Guarantee Department,05/06/2010,Rates,Human Resources / Facilities ,London Borough of Tower Hamlets,58655,"83,379.00"
Export Credits Guarantee Department,Export Credits Guarantee Department,05/06/2010,"Rent, building, fuel",Human Resources / Facilities ,Cushman & Wakefield,58663,"612,500.00"
Export Credits Guarantee Department,Export Credits Guarantee Department,05/06/2010,"Rent, building, fuel",Human Resources / Facilities ,Cushman & Wakefield,58663,"229,534.75"
Export Credits Guarantee Department,Export Credits Guarantee Department,19/06/2010,Capital Computers,Infrastructure Division,Bytes Software Services,58801,"136,587.00"
Export Credits Guarantee Department,Export Credits Guarantee Department,22/06/2010,Fixed IT charges,Infrastructure Division,Logica UK Limited,58839,"115,344.02"
Export Credits Guarantee Department,Export Credits Guarantee Department,22/06/2010,IT Non Project Expenditure,Infrastructure Division,Logica UK Limited,58839,"2,143.57"
Export Credits Guarantee Department,Export Credits Guarantee Department,22/06/2010,BSIC Projects,BSIC Projects,Logica UK Limited,58839,"120,879.18"
Export Credits Guarantee Department,Export Credits Guarantee Department,27/06/2010,GEFCO2 FEES,FREF,Guaranteed Export Finance Corp Ltd,1136,"108,098.51"
