Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount in Sterling,Line Description
ECGD,ECGD,18-Nov-11,Rates,(DAB) Others HRD PP: Admin Costs,London Borough Of Tower Hamlets,2316,"-£56,931.91",Business Rates rebate for 1/4/10-31/3/11
ECGD,ECGD,01-Nov-11,Rates,(DAB) Others HRD PP: Admin Costs,London Borough Of Tower Hamlets,62197,"£91,959.00",Business Rates for ECGD's premises
ECGD,ECGD,10-Nov-11,Home Travel /Subsistence,(DAB)BG Business Division 3,American Express,62245,£205.00,Business Travel
ECGD,ECGD,10-Nov-11,Home Travel /Subsistence,(DAB)BG Business Division1,American Express,62245,£88.30,Business Travel
ECGD,ECGD,10-Nov-11,Home Travel /Subsistence,BCFOD Admin Costs,American Express,62245,£71.55,Business Travel
ECGD,ECGD,10-Nov-11,Home Travel /Subsistence,BCFOD Admin Costs,American Express,62245,£86.00,Business Travel
ECGD,ECGD,10-Nov-11,Overseas Travel (Case Related),(DAB) CRG CRAD Admin Costs,American Express,62245,£204.30,Business Travel
ECGD,ECGD,10-Nov-11,Overseas Travel (Case Related),(DAB) CRG CRAD Admin Costs,American Express,62245,"£6,558.35",Business Travel
ECGD,ECGD,10-Nov-11,Overseas Travel (Case Related),(DAB) CRG CRAD Admin Costs,American Express,62245,£299.82,Business Travel
ECGD,ECGD,10-Nov-11,Overseas Travel (Case Related),(DAB) GCO: Legal Serv - Admin,American Express,62245,£575.50,Business Travel
ECGD,ECGD,10-Nov-11,Overseas Travel (Case Related),(DAB) GCO: Legal Serv - Admin,American Express,62245,"£5,868.93",Business Travel
ECGD,ECGD,10-Nov-11,Overseas Travel (Case Related),(DAB)BG Business Division 3,American Express,62245,£607.50,Business Travel
ECGD,ECGD,10-Nov-11,Overseas Travel (Case Related),(DAB)BG Business Division 3,American Express,62245,"£6,488.93",Business Travel
ECGD,ECGD,10-Nov-11,Overseas Travel (Case Related),(DAB)BG Business Division1,American Express,62245,£299.75,Business Travel
ECGD,ECGD,10-Nov-11,Overseas Travel (Case Related),(DAB)BG Business Division1,American Express,62245,£170.83,Business Travel
ECGD,ECGD,10-Nov-11,Overseas Travel (Case Related),(DAB)BG Business Division1,American Express,62245,£204.30,Business Travel
ECGD,ECGD,10-Nov-11,Overseas Travel (Case Related),(DAB)BG Business Division1,American Express,62245,£299.75,Business Travel
ECGD,ECGD,10-Nov-11,Overseas Travel (Case Related),(DAB)BG Business Division1,American Express,62245,"£7,426.30",Business Travel
ECGD,ECGD,10-Nov-11,Overseas Travel (Case Related),(DAB)BG Business Division1,American Express,62245,£155.23,Business Travel
ECGD,ECGD,10-Nov-11,Overseas Travel (Case Related),(DAB)BG Business Division1,American Express,62245,£273.00,Business Travel
ECGD,ECGD,10-Nov-11,Overseas Travel (Case Related),(DAB)BG Business Division1,American Express,62245,£299.75,Business Travel
ECGD,ECGD,10-Nov-11,Overseas Travel (Case Related),(DAB)BG Business Division2,American Express,62245,£526.23,Business Travel
ECGD,ECGD,10-Nov-11,Overseas Travel (Case Related),(DAB)BG Business Division2,American Express,62245,£301.20,Business Travel
ECGD,ECGD,10-Nov-11,Overseas Travel (Case Related),(DAB)BG Business Division2,American Express,62245,£299.82,Business Travel
ECGD,ECGD,10-Nov-11,Overseas Travel (Case Related),(DAB)BG Business Division2,American Express,62245,£322.20,Business Travel
ECGD,ECGD,10-Nov-11,Overseas Travel (Case Related),(DAB)BG Business Division2,American Express,62245,£526.23,Business Travel
ECGD,ECGD,10-Nov-11,Overseas Travel (Case Related),BCFOD Admin Costs,American Express,62245,£279.25,Business Travel
ECGD,ECGD,10-Nov-11,Overseas Travel (Case Related),BCFOD Admin Costs,American Express,62245,£279.25,Business Travel
ECGD,ECGD,10-Nov-11,Overseas Travel/Subsistence,(DAB)BG Business Division 3,American Express,62245,£57.90,Business Travel
ECGD,ECGD,10-Nov-11,Overseas Travel/Subsistence,(DAB)BG Business Division 3,American Express,62245,-£45.50,Business Travel
ECGD,ECGD,10-Nov-11,Overseas Travel/Subsistence,(DAB)BG Business Division 3,American Express,62245,"£3,894.34",Business Travel
ECGD,ECGD,10-Nov-11,Overseas Travel/Subsistence,(DAB)BG Business Division 3,American Express,62245,"£3,894.34",Business Travel
ECGD,ECGD,10-Nov-11,Overseas Travel/Subsistence,(DAB)BG Business Division1,American Express,62245,£34.50,Business Travel
ECGD,ECGD,10-Nov-11,Overseas Travel/Subsistence,(DAB)BG Business Division1,American Express,62245,£62.89,Business Travel
