Department family,Entity,Payment Date,Expense type,Expense area,Supplier,Transaction number,Amount
Export Credits Guarantee Department,Export Credits Guarantee Department,04/09/2010,"Rent, building, fuel",Human Resources / Facilities ,Cushman & Wakefield,59373,"612,500.00"
Export Credits Guarantee Department,Export Credits Guarantee Department,04/09/2010,"Rent, building, fuel",Human Resources / Facilities ,Cushman & Wakefield,59373,"229,534.75"
Export Credits Guarantee Department,Export Credits Guarantee Department,07/09/2010,"Rent, building, fuel",Human Resources / Facilities ,Cushman & Wakefield,59373,"612,500.00"
Export Credits Guarantee Department,Export Credits Guarantee Department,07/09/2010,"Rent, building, fuel",Human Resources / Facilities ,Cushman & Wakefield,59373,"229,534.75"
Export Credits Guarantee Department,Export Credits Guarantee Department,11/09/2010,Overseas Travel (case related),Business Division 2,American Express (Portman Travel),59393,"4,715.77"
Export Credits Guarantee Department,Export Credits Guarantee Department,11/09/2010,Overseas Travel (case related),General Counsel Office,American Express (Portman Travel),59393,"4,417.77"
Export Credits Guarantee Department,Export Credits Guarantee Department,11/09/2010,Overseas Travel (case related),Business Division 2,American Express (Portman Travel),59393,"4,417.77"
Export Credits Guarantee Department,Export Credits Guarantee Department,11/09/2010,Overseas Travel (case related),Business Division 1,American Express (Portman Travel),59393,-423
Export Credits Guarantee Department,Export Credits Guarantee Department,11/09/2010,Home Travel & Subsistence,Human Resources / Facilities ,American Express (Portman Travel),59393,89.5
Export Credits Guarantee Department,Export Credits Guarantee Department,11/09/2010,Home Travel & Subsistence,Human Resources / Facilities ,American Express (Portman Travel),59393,89.5
Export Credits Guarantee Department,Export Credits Guarantee Department,11/09/2010,Overseas Travel (case related),Business Division 2,American Express (Portman Travel),59393,"3,389.47"
Export Credits Guarantee Department,Export Credits Guarantee Department,11/09/2010,Overseas Travel (case related),Business Division 2,American Express (Portman Travel),59393,"2,559.47"
Export Credits Guarantee Department,Export Credits Guarantee Department,11/09/2010,Overseas Travel (case related),Business Division 2,American Express (Portman Travel),59393,557.5
Export Credits Guarantee Department,Export Credits Guarantee Department,11/09/2010,Overseas Travel (case related),Business Division 2,American Express (Portman Travel),59393,-424
Export Credits Guarantee Department,Export Credits Guarantee Department,11/09/2010,Overseas Travel (case related),Business Division 2,American Express (Portman Travel),59393,"-2,334.97"
Export Credits Guarantee Department,Export Credits Guarantee Department,11/09/2010,Home Travel & Subsistence,Human Resources / Facilities ,American Express (Portman Travel),59393,89.5
Export Credits Guarantee Department,Export Credits Guarantee Department,11/09/2010,Overseas Travel (case related),Business Division 2,American Express (Portman Travel),59393,"1,929.70"
Export Credits Guarantee Department,Export Credits Guarantee Department,11/09/2010,Overseas Travel (case related),Business Division 2,American Express (Portman Travel),59393,"2,000.77"
Export Credits Guarantee Department,Export Credits Guarantee Department,11/09/2010,Overseas Travel (case related),Business Division 2,American Express (Portman Travel),59393,"5,305.47"
Export Credits Guarantee Department,Export Credits Guarantee Department,11/09/2010,Overseas Travel & Subsistence,Chief Executive's Office,American Express (Portman Travel),59393,104.5
Export Credits Guarantee Department,Export Credits Guarantee Department,11/09/2010,Overseas Travel & Subsistence,Chief Executive's Office,American Express (Portman Travel),59393,265.17
Export Credits Guarantee Department,Export Credits Guarantee Department,11/09/2010,Overseas Travel & Subsistence,Chief Executive's Office,American Express (Portman Travel),59393,266.3
Export Credits Guarantee Department,Export Credits Guarantee Department,11/09/2010,Home Travel & Subsistence,Business Division 2,American Express (Portman Travel),59393,296.7
Export Credits Guarantee Department,Export Credits Guarantee Department,11/09/2010,Overseas Travel (case related),General Counsel Office,American Express (Portman Travel),59393,333
Export Credits Guarantee Department,Export Credits Guarantee Department,11/09/2010,Overseas Travel & Subsistence,Credit Risk Group,American Express (Portman Travel),59393,67
Export Credits Guarantee Department,Export Credits Guarantee Department,11/09/2010,Overseas Travel (case related),Business Division 1,American Express (Portman Travel),59393,155.8
Export Credits Guarantee Department,Export Credits Guarantee Department,11/09/2010,Overseas Travel (case related),Business Division 1,American Express (Portman Travel),59393,"2,314.57"
Export Credits Guarantee Department,Export Credits Guarantee Department,11/09/2010,Overseas Travel (case related),Business Division 1,American Express (Portman Travel),59393,"2,350.77"
Export Credits Guarantee Department,Export Credits Guarantee Department,11/09/2010,Overseas Travel & Subsistence,Credit Risk Group,American Express (Portman Travel),59393,293
Export Credits Guarantee Department,Export Credits Guarantee Department,11/09/2010,Overseas Travel & Subsistence,Chief Executive's Office,American Express (Portman Travel),59393,164
Export Credits Guarantee Department,Export Credits Guarantee Department,11/09/2010,Overseas Travel & Subsistence,Chief Executive's Office,American Express (Portman Travel),59393,265.17
Export Credits Guarantee Department,Export Credits Guarantee Department,11/09/2010,Overseas Travel (case related),Business Division 2,American Express (Portman Travel),59393,"-3,179.97"
Export Credits Guarantee Department,Export Credits Guarantee Department,11/09/2010,Overseas Travel (case related),Business Division 2,American Express (Portman Travel),59393,130.5
Export Credits Guarantee Department,Export Credits Guarantee Department,11/09/2010,Overseas Travel (case related),Business Division 2,American Express (Portman Travel),59393,"2,182.37"
Export Credits Guarantee Department,Export Credits Guarantee Department,11/09/2010,Overseas Travel & Subsistence,Credit Risk Group,American Express (Portman Travel),59393,273
Export Credits Guarantee Department,Export Credits Guarantee Department,11/09/2010,Overseas Travel (case related),General Counsel Office,American Express (Portman Travel),59393,333
Export Credits Guarantee Department,Export Credits Guarantee Department,11/09/2010,Overseas Travel & Subsistence,Chief Executive's Office,American Express (Portman Travel),59393,266.3
Export Credits Guarantee Department,Export Credits Guarantee Department,27/09/2010,GEFCO2 FEES,FREF,Guaranteed Export Finance Corp Ltd,1164,"76,076.52"
Export Credits Guarantee Department,Export Credits Guarantee Department,28/09/2010,Fixed IT charges,Infrastructure Division,Logica UK Limited,59513,"115,344.02"
Export Credits Guarantee Department,Export Credits Guarantee Department,28/09/2010,IT Non Project Expenditure,Infrastructure Division,Logica UK Limited,59513,700
Export Credits Guarantee Department,Export Credits Guarantee Department,28/09/2010,IT Non Project Expenditure,Infrastructure Division,Logica UK Limited,59513,"3,865.14"
Export Credits Guarantee Department,Export Credits Guarantee Department,28/09/2010,BSIC Projects,BSIC Projects,Logica UK Limited,59513,"12,265.27"
Export Credits Guarantee Department,Export Credits Guarantee Department,28/09/2010,BSIC Projects,BSIC Projects,Logica UK Limited,59513,"5,868.45"
Export Credits Guarantee Department,Export Credits Guarantee Department,28/09/2010,BSIC Projects,BSIC Projects,Logica UK Limited,59513,"26,626.56"
Export Credits Guarantee Department,Export Credits Guarantee Department,28/09/2010,BSIC Projects,BSIC Projects,Logica UK Limited,59513,"2,576.76"
