Department Family,Entity,Transaction Date,Expense Type,Expense Area,Supplier Name,Transaction Number, Amount (Sterling) 
DFID,DFID,11/02/2011,Aid to civil society organisations / NGOs,Policy and Research Directorate,Royal Institute for Int. Affairs,400136444,"40,398.19"
DFID,DFID,15/02/2011,Technical & Advisory services,West and Southern Africa,CAMBRIDGE EDUCATION CONSUL,400137030,"43,881.65"
DFID,DFID,16/02/2011,Aid to civil society organisations / NGOs,Policy and Research Directorate,State Information Center,400138424,"60,583.92"
DFID,DFID,16/02/2011,Aid to civil society organisations / NGOs,Asia Division,State Information Center,400138424,"29,839.84"
DFID,DFID,01/02/2011,Emergency / Humanitarian Assistance,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",Pan American Health Organisation,400138666,"2,000,000.00"
DFID,DFID,09/02/2011,Aid to civil society organisations / NGOs,West and Southern Africa,Institute of Governance and Social Research,400139205,"52,494.06"
DFID,DFID,02/02/2011,Emergency / Humanitarian Assistance,Western Asia and Stabilisation Division,THE CROWN AGENTS,400139232,"366,085.58"
DFID,DFID,03/02/2011,Technical & Advisory services,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",BRITISH COUNCIL,400139642,"-83,694.62"
DFID,DFID,03/02/2011,Technical & Advisory services,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",BRITISH COUNCIL,400139642,"140,166.62"
DFID,DFID,01/02/2011,Aid to international organisations,Policy and Research Directorate,AERAS Global TB Vaccine Foundation,400139672,"2,500,000.00"
DFID,DFID,01/02/2011,Technical & Advisory services,Asia Division,OPTIONS CONSULTANCY SERVICES LIMITED,400139724,"52,149.00"
DFID,DFID,02/02/2011,"Property Repairs, Maintenance & Alterations",East and Central Africa,CHARLES KENDALL & PARTNERS LTD(FEE,400139958,"36,019.78"
DFID,DFID,01/02/2011,Aid to international organisations,West and Southern Africa,THE ASSOCIATION OF AFRICAN UNIVERSITIES,400140000,"936,537.22"
DFID,DFID,01/02/2011,Aid to civil society organisations / NGOs,East and Central Africa,East African Community Secretariat,400140038,"850,000.00"
DFID,DFID,01/02/2011,Aid to other bilateral donors,Asia Division,EUROPEAN COMMISSION,400140143,"2,700,000.00"
DFID,DFID,10/02/2011,Technical & Advisory services,West and Southern Africa,THE CROWN AGENTS,400140303,"58,185.81"
DFID,DFID,03/02/2011,Aid to civil society organisations / NGOs,West and Southern Africa,EFInA,400140320,"335,052.04"
DFID,DFID,02/02/2011,Aid to civil society organisations / NGOs,Policy and Research Directorate,THE CO-OPERATIVE COLLEGE,400140445,"50,070.52"
DFID,DFID,01/02/2011,Technical & Advisory services,East and Central Africa,BMB  MOTT  MACDONALD,400140451,"339,534.05"
DFID,DFID,01/02/2011,Aid to partner government,East and Central Africa,THE CROWN AGENTS,400140462,"1,000,000.00"
DFID,DFID,02/02/2011,Technical & Advisory services,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",Crown Agents Bank,400140508,"190,000.00"
DFID,DFID,01/02/2011,Aid to civil society organisations / NGOs,Policy and Research Directorate,ICAR (UK),400140539,"250,000.00"
DFID,DFID,01/02/2011,Aid to civil society organisations / NGOs,East and Central Africa, KENYA INDEPENDENT SCHOOLS ASSOCIATION,400140650,"28,595.00"
DFID,DFID,01/02/2011,Aid to international organisations,West and Southern Africa,UNAIDS,400140672,"170,418.00"
DFID,DFID,01/02/2011,Aid to other bilateral donors,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division", Social Fund for Development ,400140675,"5,000,000.00"
DFID,DFID,03/02/2011,Technical & Advisory services,East and Central Africa,OXFAM,400140702,"269,200.00"
DFID,DFID,01/02/2011,Technical & Advisory services,East and Central Africa,COFFEY INTERNATIONAL DEVELOPMENT LTD,400140729,"25,964.32"
DFID,DFID,01/02/2011,Aid to civil society organisations / NGOs,East and Central Africa, INTERNATIONAL ALERT,400140752,"120,000.00"
DFID,DFID,01/02/2011,Technical & Advisory services,Western Asia and Stabilisation Division,PRICEWATERHOUSECOOPERS,400140853,"185,071.39"
DFID,DFID,01/02/2011,Technical & Advisory services,West and Southern Africa,ATOS CONSULTING LIMITED,400140881,"77,273.00"
DFID,DFID,01/02/2011,Medical & Health Supplies/Services,West and Southern Africa,THE CROWN AGENTS,400140926,"113,539.26"
DFID,DFID,01/02/2011,Technical & Advisory services,West and Southern Africa,ADAM SMITH INTERNATIONAL  LTD,400140930,"359,466.38"
DFID,DFID,01/02/2011,Technical & Advisory services,Communications Division,BRITISH COUNCIL,400140941,"570,906.81"
DFID,DFID,01/02/2011,Technical & Advisory services,Communications Division,BRITISH COUNCIL,400140941,"890,137.31"
DFID,DFID,02/02/2011,Technical & Advisory services,East and Central Africa,COFFEY INTERNATIONAL DEVELOPMENT LTD,400140973,"30,689.02"
DFID,DFID,01/02/2011,Aid to civil society organisations / NGOs,Policy and Research Directorate,Triple Line Consulting Limited,400140978,"512,728.73"
DFID,DFID,02/02/2011,Aid to civil society organisations / NGOs,East and Central Africa,POPULATION  SERVICES INTERNATIONAL,400140983,"2,060,443.00"
DFID,DFID,01/02/2011,Aid to international organisations,East and Central Africa,UNDP CONTRIBUTIONS ACCOUNT,400140984,"1,157,439.00"
DFID,DFID,02/02/2011,Aid to partner government,Asia Division,THE CROWN AGENTS,400140988,"2,699,400.97"
DFID,DFID,02/02/2011,Aid to other bilateral donors,Asia Division,GTZ GmBH Eschborn,400140989,"500,000.00"
DFID,DFID,18/02/2011,Communications,Business Solutions Division Level,FCO RECOVERIES UNIT,400140993,"827,514.90"
