Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Transactions Number, Amount (£)
Foreign & Commonwealth Office,Foreign & Commonwealth Office,01-Sep-10,Nursery Childcare Subsidy,DG CHANGE & DELIVERY,BRIGHT HORIZONS FAMILY SOLUTION LTD,1171395,"39,499.00"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,01-Sep-10,Inward Visits/Uk Conferences,DG CHANGE & DELIVERY,MANTAPLAN LTD,2000061,"391,992.93"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,01-Sep-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,MANTAPLAN LTD,2000061,"68,598.76"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,01-Sep-10,Inward Visits/Uk Conferences,DG CHANGE & DELIVERY,MANTAPLAN LTD,2000061,"-391,992.93"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,01-Sep-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,MANTAPLAN LTD,2000061,"-68,598.76"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,01-Sep-10,Inward Visits/Uk Conferences,DG CHANGE & DELIVERY,MANTAPLAN LTD,2000061,"333,611.00"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,01-Sep-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,MANTAPLAN LTD,2000061,"58,381.93"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,01-Sep-10,Recharge Suspense Account (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,COB EMPLOYEE EXPENSES,3007410,"284,053.60"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,02-Sep-10,IT/IS Consultancy,DG FINANCE,BUSINESS OBJECTS(UK)LTD -SAP UK LIMITED,1171463,"9,400.00"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,02-Sep-10,IT/IS Consultancy,DG FINANCE,BUSINESS OBJECTS(UK)LTD -SAP UK LIMITED,1171463,"12,250.00"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,02-Sep-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,BUSINESS OBJECTS(UK)LTD -SAP UK LIMITED,1171463,"3,788.75"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,02-Sep-10,Property and Construction Consultancy,DG CHANGE & DELIVERY,COLLIERS,1171470,"49,250.00"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,03-Sep-10,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,DTZ DEBENHAM TIE LEUNG,1171567,"25,446.84"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,03-Sep-10,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,ELECTORAL REFORM INTERNATIONAL SERVICES LTD,1171568,"25,225.85"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,06-Sep-10,Recharge Suspense Account (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,TJD OTHER DEBTORS,100000374,"26,535.86"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,07-Sep-10,Recharge Suspense Account (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,INTERNATIONAL CAPITAL TRADING,925150,"33,166.18"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,07-Sep-10,Programme Spend (Oracle Projects Control Account),DG POLITICAL,UNITED NATIONS,1002595,"1,191,890.79"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,07-Sep-10,Programme Spend (Oracle Projects Control Account),DG POLITICAL,UNITED NATIONS,1002596,"1,440,241.68"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,07-Sep-10,Programme Spend (Oracle Projects Control Account),DG POLITICAL,UNITED NATIONS,1002597,"730,149.92"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,07-Sep-10,Programme Spend (Oracle Projects Control Account),DG POLITICAL,UNITED NATIONS,1002598,"12,853,675.61"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,07-Sep-10,Programme Spend (Oracle Projects Control Account),DG POLITICAL,UNITED NATIONS,1002599,"5,923,510.18"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,07-Sep-10,Programme Spend (Oracle Projects Control Account),DG POLITICAL,UNITED NATIONS,1002600,"11,290,598.38"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,07-Sep-10,Programme Spend (Oracle Projects Control Account),DG POLITICAL,UNITED NATIONS,1002601,"11,171,476.57"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,07-Sep-10,Programme Spend (Oracle Projects Control Account),DG POLITICAL,UNITED NATIONS,1002602,"4,772,096.93"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,07-Sep-10,Programme Spend (Oracle Projects Control Account),DG POLITICAL,UNITED NATIONS,1002603,"22,848,414.22"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,07-Sep-10,Programme Spend (Oracle Projects Control Account),DG POLITICAL,UNITED NATIONS,1002604,"5,062,507.27"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,07-Sep-10,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,UNITED NATIONS,1002605,"59,162.52"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,07-Sep-10,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,UNITED NATIONS,1002605,"26,251.37"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,07-Sep-10,Contract Fees,DG EUROPE AND GLOBALISATION,MORSON HUMAN RESOURCES LTD,1171741,"35,660.83"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,07-Sep-10,Property Maintenance Overseas Non Residential,DG EUROPE AND GLOBALISATION,MORSON HUMAN RESOURCES LTD,1171741,"67,360.22"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,07-Sep-10,Property Maintenance Overseas Non Residential,DG EUROPE AND GLOBALISATION,MORSON HUMAN RESOURCES LTD,1171741,"30,338.07"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,07-Sep-10,Inward Visits/Uk Conferences,DG CHANGE & DELIVERY,FELTECH ELECTRONICS LTD,2000068,"980,000.00"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,07-Sep-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,FELTECH ELECTRONICS LTD,2000068,"171,500.00"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,08-Sep-10,Recharge Suspense Account (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,BRITISH COUNCIL,1008462,"38,177.95"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,08-Sep-10,Programme Spend (Oracle Projects Control Account),DG POLITICAL,ARTICLE 19,1171785,"62,821.54"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,08-Sep-10,Customer Refund Account,NON CASH & UNALLOCATED COSTS,BRITISH COUNCIL,1171791,"36,640.95"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,08-Sep-10,Fco Healthcare Scheme,DG CHANGE & DELIVERY,HEALIX INTERNATIONAL LTD,1171811,"113,130.70"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,08-Sep-10,Fco Healthcare Scheme,DG CHANGE & DELIVERY,HEALIX INTERNATIONAL LTD,1171811,16.82
Foreign & Commonwealth Office,Foreign & Commonwealth Office,08-Sep-10,Fco Healthcare Scheme,DG CHANGE & DELIVERY,HEALIX INTERNATIONAL LTD,1171811,"19,797.87"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,08-Sep-10,Fco Healthcare Scheme,DG CHANGE & DELIVERY,HEALIX INTERNATIONAL LTD,1171811,2.94
Foreign & Commonwealth Office,Foreign & Commonwealth Office,08-Sep-10,Fco Healthcare Scheme,DG CHANGE & DELIVERY,HEALIX INTERNATIONAL LTD,1171811,0.01
Foreign & Commonwealth Office,Foreign & Commonwealth Office,09-Sep-10,Programme Spend (Oracle Projects Control Account),DG POLITICAL,BRITISH INSTITUTE OF INTERNATIONAL & COMPARATIVE LAW,1171876,"78,111.00"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,09-Sep-10,Rent and Condominium Charges Non-Residential,DG CHANGE & DELIVERY,UNIVERSAL CEMENT CONSTRUCTION,10003975,"42,101.37"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,10-Sep-10,Programme Spend (Oracle Projects Control Account),DG POLITICAL,COFFEY INTERNATIONAL DEVELOPMENT,1172008,"79,370.13"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,10-Sep-10,IT/IS Consultancy,DG CENTRAL GROUP,LA INTERNATIONAL COMPUTER CONSULTANTS LTD,1172030,"9,610.88"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,10-Sep-10,IT/IS Consultancy,DG CENTRAL GROUP,LA INTERNATIONAL COMPUTER CONSULTANTS LTD,1172030,"13,070.79"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,10-Sep-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,LA INTERNATIONAL COMPUTER CONSULTANTS LTD,1172030,"3,969.29"
Foreign & Commonwealth Office,Foreign & Commonwealth Office,10-Sep-10,Inward Visits/Uk Conferences,DG CHANGE & DELIVERY,MANTAPLAN LTD,1172034,"333,611.00"
