Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Cabinet Office,Government Procurement Service,01/08/11,Information Services,eCommerce,Bravosolution UK Ltd,PINDOH 33150,"46,139.00",Procurement evaluation system
Cabinet Office,Cabinet Office,02/08/11,Resource Grants to NDPB's,HONOURS AND APPOINTMENTS,TREASURER TO THE QUEEN,3000018453,"68,230.00",Central Chancery charges for administration of Honours
Cabinet Office,Cabinet Office,02/08/11,Research services,OFFICE FOR CIVIL SOCIETY,NATIONAL CENTRE FOR SOCIAL RESEARCH,3000018447,"239,792.72",Evaluation of the National Citizen Service programme.
Cabinet Office,Cabinet Office,03/08/11,Accomodation and Utilities,IT AND TELECOMS BRANCH,GOVERNMENT PROCUREMENT SERVICE,103277,"222,825.62",Line rental and peripherals
Cabinet Office,Cabinet Office,05/08/11,Assets Under Construction,ESTATE MANAGEMENT,ECOVERT FM LTD,3000018495,"42,068.00",Refurbishment of 70 Whitehall
Cabinet Office,Government Procurement Service,08/08/11,Legal Fees,Legal Services,Field Fisher Waterhouse,PINDOH 33085,"25,356.90",Legal negotiations for public sector network procurement
Cabinet Office,Cabinet Office,09/08/11,IT Costs,ERG STRATEGY AND MANAGEMENT INFORMATION,CORPORATE DOCUMENT SERVICES LTD,3000018534,"209,694.89","Quarterly payment for contract for support, maintenance and development of e-PIMS, the government property database"
Cabinet Office,Cabinet Office,09/08/11,Hire of Plant and Machines Memorandum Accounts,IT AND TELECOMS BRANCH,FUJITSU SERVICES,3000018538,"960,797.37",Monthly core IT Service Charge 
Cabinet Office,Cabinet Office,09/08/11,Resource Grants to Private Sector,GOVERNMENT DIGITAL SERVICE,DIGITAL INCLUSION LTD,1000422,"305,411.00",Payment of race online Grant
Cabinet Office,Cabinet Office,09/08/11,Accomodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000018536,"89,937.04",Facilities Management Services
Cabinet Office,Cabinet Office,09/08/11,IT Costs,IT AND TELECOMS BRANCH,DWP,3000018535,"55,408.45",IT costs
Cabinet Office,Government Procurement Service,09/08/11,Call Charges Std,Network Services,Global Crossing,PINMTS 20510,"33,743.46",Government managed telecoms contract
