Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Cabinet Office,Buying Solutions,04/01/2011,GSI COS,Network Services,CESG,PINDOH 31846,"37,959.00",Security costs for government secure intranet
Cabinet Office,Buying Solutions,04/01/2011,Call Charges Std,Network Services,GLOBAL CROSSING,PINMTS 19056,"161,632.76",Government Managed Telecoms Contract
Cabinet Office,CABINET OFFICE,06/01/2011,IT Costs,COMMUNICATION GROUP,COI CENTRAL OFFICE OF INFORMATION,3000013969,"39,900.00","Project Management Framework website design, build and support of software and website content"
Cabinet Office,CABINET OFFICE,06/01/2011,Other Staff Related Costs,CIVIL SERVICE CAPABILITIES GROUP,PARITY SOLUTIONS LTD,3000013983,"79,518.07",Fast Stream Recruitment
Cabinet Office,CABINET OFFICE,06/01/2011,Agency and Temporary Staff,DIRECTGOV,RETHINK RECRUITMENT SOLUTIONS LTD,2018912139,"30,271.17",Interim IT specialists
Cabinet Office,Capacity Builders,06/01/2011,Grant,Programmes,London Councils,2238,"188,465.50",London Councils fund manages the Improving Reach grants programme within the London region.
Cabinet Office,Capacity Builders,06/01/2011,Grant,Programmes,London Councils,2081,"175,750.00",The purpose of the Grant is to support the London Region in making its contribution to the ChangeUp programme
Cabinet Office,Capacity Builders,06/01/2011,Grant,Programmes,London Councils,2039,"140,579.75",London Councils fund manages the Modernisation Grant programme within the London region.
Cabinet Office,Capacity Builders,06/01/2011,Grant,Programmes,London Councils,1679,"59,748.25",London Councils fund manages the Volunteer Management Programme grants within the London region. 
Cabinet Office,Capacity Builders,06/01/2011,Grant,Programmes,Federation for Community Development Learning Ltd,2219,"37,500.00",Improving Reach Programme Grant
Cabinet Office,Capacity Builders,06/01/2011,Grant,Programmes,London Councils,2463,"35,847.50",London Councils fund manages the Modernisation Grant programme within the London region.
Cabinet Office,CABINET OFFICE,07/01/2011,Consultancy,STRATEGY UNIT,WAVE TRUST LTD,3000014010,"30,381.49",Consultancy support to the Early Intervention Review Team which is led by Graham Allen MP
Cabinet Office,CABINET OFFICE,07/01/2011,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,COMMUNITY ACTION NETWORK,3000013999,"41,237.00",Final instalment 2010-11 Strategic grant
Cabinet Office,CABINET OFFICE,07/01/2011,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,INNOVATION UNIT LTD,3000014006,"100,000.00",Innovation Exchange grant
Cabinet Office,CABINET OFFICE,07/01/2011,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,V,3000014009,"399,000.00",Grants to V to support youth volunteering
Cabinet Office,CABINET OFFICE,07/01/2011,Grants -in-Aid to Private Sector,OFFICE FOR CIVIL SOCIETY,V,3000014009,"701,000.00",Grants to V to support youth volunteering
Cabinet Office,CABINET OFFICE,07/01/2011,Capital grants to Private Sector,OFFICE FOR CIVIL SOCIETY,FUTUREBUILDERS ENGLAND,3000014002,"7,173,212.86",Grant payment to the Futurebuilders Fund
Cabinet Office,CABINET OFFICE,10/01/2011,Assets Under Construction,ESTATE MANAGEMENT,ECOVERT FM LTD,3000014029,"38,874.98",70 Whitehall refurbishment project phase 3
Cabinet Office,CABINET OFFICE,10/01/2011,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,BASSAC,3000014021,"51,669.00",Final instalment 2010-11 Strategic grant
