Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Cabinet Office,Cabinet Office,03/05/2011,Accomodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000016572,"156,750.00",Facilities Management Services
Cabinet Office,Cabinet Office,03/05/2011,Accomodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000016572,"66,549.96",Facilities Management Services
Cabinet Office,Buying Solutions,03/05/2011,WSDS Maint & Rep,WSDS,Cofely,PINDOH 32682,"44,096.00",Whitehall heating systems management
Cabinet Office,Buying Solutions,03/05/2011,SAP Rental,Network Services,Global Crossing,PINMTS 19945,"59,072.68",Government managed telecoms contract
Cabinet Office,Buying Solutions,03/05/2011,SAP Rental,Network Services,Global Crossing,PINMTS 19948,"60,660.11",Government managed telecoms contract
Cabinet Office,Buying Solutions,03/05/2011,SAP Rental,Network Services,Global Crossing,PINMTS 19952,"54,902.04",Government managed telecoms contract
Cabinet Office,Buying Solutions,03/05/2011,SAP Rental,Network Services,Global Crossing,PINMTS 19954,"31,280.95",Government managed telecoms contract
Cabinet Office,Buying Solutions,03/05/2011,SAP Rental,Network Services,Global Crossing,PINMTS 19955,"175,265.99",Government managed telecoms contract
Cabinet Office,Buying Solutions,03/05/2011,Handsets,Network Services,Global Crossing,PINMTS 19955,"53,844.25",Government managed telecoms contract
Cabinet Office,Buying Solutions,03/05/2011,SAP Rental,Network Services,Global Crossing,PINMTS 19956,"271,300.86",Government managed telecoms contract
Cabinet Office,Buying Solutions,03/05/2011,SAP Rental,Network Services,Global Crossing,PINMTS 19957,"74,373.46",Government managed telecoms contract
Cabinet Office,Buying Solutions,03/05/2011,SAP Rental,Network Services,Global Crossing,PINMTS 19959,"317,612.25",Government managed telecoms contract
Cabinet Office,Buying Solutions,03/05/2011,Handsets,Network Services,Global Crossing,PINMTS 19959,"46,728.75",Government managed telecoms contract
Cabinet Office,Buying Solutions,03/05/2011,SAP Rental,Network Services,Global Crossing,PINMTS 19963,"76,475.00",Government managed telecoms contract
Cabinet Office,Buying Solutions,03/05/2011,Handsets,Network Services,Global Crossing,PINMTS 19963,"29,182.50",Government managed telecoms contract
Cabinet Office,Buying Solutions,03/05/2011,SAP Rental,Network Services,Global Crossing,PINMTS 19964,"55,488.43",Government managed telecoms contract
Cabinet Office,Buying Solutions,03/05/2011,SAP Rental,Network Services,Global Crossing,PINMTS 19966,"30,407.95",Government managed telecoms contract
Cabinet Office,Buying Solutions,03/05/2011,SAP Rental,Network Services,Global Crossing,PINMTS 19967,"461,166.51",Government managed telecoms contract
Cabinet Office,Buying Solutions,03/05/2011,SAP Rental,Network Services,Global Crossing,PINMTS 19968,"124,830.70",Government managed telecoms contract
Cabinet Office,Buying Solutions,03/05/2011,Handsets,Network Services,Global Crossing,PINMTS 19968,"35,795.75",Government managed telecoms contract
Cabinet Office,Buying Solutions,03/05/2011,SAP Rental,Network Services,Global Crossing,PINMTS 19970,"38,569.58",Government managed telecoms contract
Cabinet Office,Buying Solutions,03/05/2011,SAP Rental,Network Services,Global Crossing,PINMTS 19971,"98,566.72",Government managed telecoms contract
Cabinet Office,Buying Solutions,03/05/2011,SAP Rental,Network Services,Global Crossing,PINMTS 19974,"113,464.46",Government managed telecoms contract
Cabinet Office,Buying Solutions,03/05/2011,SAP Rental,Network Services,Global Crossing,PINMTS 19976,"171,174.60",Government managed telecoms contract
Cabinet Office,Buying Solutions,03/05/2011,Handsets,Network Services,Global Crossing,PINMTS 19976,"25,374.50",Government managed telecoms contract
Cabinet Office,Buying Solutions,03/05/2011,SAP Rental,Network Services,Global Crossing,PINMTS 19977,"40,822.27",Government managed telecoms contract
Cabinet Office,Buying Solutions,03/05/2011,SAP Rental,Network Services,Global Crossing,PINMTS 19978,"39,995.54",Government managed telecoms contract
Cabinet Office,Buying Solutions,03/05/2011,SAP Rental,Network Services,Global Crossing,PINMTS 19981,"849,355.09",Government managed telecoms contract
