Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,,
Cabinet Office,CABINET OFFICE,01/03/2011,Supplies and Services,ESTATE MANAGEMENT,RICOH UK LTD,3000015017,"49,193.24",Reprographic Services,,
Cabinet Office,CABINET OFFICE,01/03/2011,Accommodation and Utilities,ESTATE MANAGEMENT,WESTMINSTER CITY COUNCIL,3000015019,"33,657.06",Operating leases rent,,
Cabinet Office,CABINET OFFICE,01/03/2011,Supplies and Services,INTELLIGENCE SECURITY AND RESILIENCE,BBC MONITORING,3000015007,"1,933,333.33",BBC monitoring monthly payment,,
Cabinet Office,Capacity Builders,01/03/2011,Grant,Capacitybuilders,Blackburn with Darwen Council for Voluntary Service,1921,"109,755.35",Capital Investment Programme Strand C Grant,,
Cabinet Office,Capacity Builders,01/03/2011,Grant,Capacitybuilders,Slough Council for Voluntary Service,1919,"100,000.00",Capital Investment Programme Strand C Grant,,
Cabinet Office,Capacity Builders,01/03/2011,Grant,Capacitybuilders,Gateshead Citizens Advice Bureau,1924,"96,072.44",Capital Investment Programme Strand C Grant,,
Cabinet Office,Capacity Builders,01/03/2011,Grant,Capacitybuilders,Slough Council for Voluntary Service,1919,"92,863.12",Capital Investment Programme Strand C Grant,,
Cabinet Office,Capacity Builders,01/03/2011,Grant,Capacitybuilders,Social Enterprise South East,2287,"31,250.00",Social Enterprise Programme Grant,,
Cabinet Office,Capacity Builders,01/03/2011,Grant,Capacitybuilders,The North East Social Enterprise Partnership Limited,2328,"27,505.00",Social Enterprise Programme Grant,,
Cabinet Office,Capacity Builders,01/03/2011,Grant,Capacitybuilders,Skills Third-Sector,3078,"26,598.00",Volunteer Management Programme Grant,,
Cabinet Office,CABINET OFFICE,02/03/2011,Supplies and Services,CENTRAL BUDGETS,TREASURY SOLICITORS DEPT 3861,103141,"99,665.00",2010-2011 Charge,,
Cabinet Office,CABINET OFFICE,03/03/2011,Other Staff Related Costs,CIVIL SERVICE CAPABILITIES GROUP,PARITY SOLUTIONS LTD,3000015085,"74,167.11",Fast-stream recruitment,,
Cabinet Office,CABINET OFFICE,03/03/2011,Other Staff Related Costs,COMMUNICATION GROUP,COI CENTRAL OFFICE OF INFORMATION,3000015065,"40,000.00",Development of a Leadership Programme,,
Cabinet Office,CABINET OFFICE,03/03/2011,Supplies and Services,INTELLIGENCE SECURITY AND RESILIENCE,ENDURANCE LTD,3000015070,"31,500.00",Get Safe On Line campaign,,
Cabinet Office,CABINET OFFICE,03/03/2011,Grants -in-Aid to Private Sector,OFFICE FOR CIVIL SOCIETY,ASSOCIATION OF CHARITABLE FOUNDATIONS,3000015063,"42,000.00",Final instalment 2010-11 Strategic grant,,
Cabinet Office,CABINET OFFICE,03/03/2011,Capital grants to Private Sector,OFFICE FOR CIVIL SOCIETY,COMMUNITY DEVELOPMENT FOUNDATION,3000015066,"3,127,992.89",Grassroots Grants payment,,
Cabinet Office,CABINET OFFICE,03/03/2011,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,COMMUNITY DEVELOPMENT FOUNDATION,3000015066,"1,824,999.00",Grassroots Grants payment,,
Cabinet Office,CABINET OFFICE,03/03/2011,Resource Grants to Central Government Bodies,OFFICE FOR CIVIL SOCIETY,SOUTH WEST REG DEVELOPMENT AGENCY,3000015089,"75,291.00",Grant to provide business support for social enterprises in the regions,,
Cabinet Office,CABINET OFFICE,03/03/2011,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,V,3000015094,"1,688,701.00",v match funding to support youth volunteering,,
Cabinet Office,CABINET OFFICE,04/03/2011,Agency and Temporary Staff,DIRECTGOV,RETHINK RECRUITMENT SOLUTIONS LTD,3000015127,"37,157.95",Interim IT Specialist,,
Cabinet Office,CABINET OFFICE,04/03/2011,Accommodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000015111,"164,472.54",Facilities Management Services,,
Cabinet Office,CABINET OFFICE,04/03/2011,Other Staff Related Costs,FINANCIAL MANAGEMENT,FCO SERVICES,3000015112,"149,754.97",Provision of vetting services by FCO services,,
Cabinet Office,CABINET OFFICE,04/03/2011,Supplies and Services,POLITICAL AND CONSTITUTIONAL REFORM,HANSARD SOCIETY LTD,3000015118,"30,000.00",Payment to provide financial support for the production of the Audit of Political Engagement by the independent Hansard Society,,
Cabinet Office,CABINET OFFICE,07/03/2011,Other Staff Related Costs,CENTRAL BUDGETS,NATIONAL SCHOOL OF GOVERNMENT,3000015166,"598,314.00",Contribution to Core Learning Programme,,
Cabinet Office,CABINET OFFICE,07/03/2011,Agency and Temporary Staff,DIRECTGOV,RETHINK RECRUITMENT SOLUTIONS LTD,3000015169,"32,248.05",Interim IT Specialist,,
Cabinet Office,CABINET OFFICE,07/03/2011,Accommodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000015157,"913,950.02",Facilities Management Services,,
Cabinet Office,CABINET OFFICE,07/03/2011,Accommodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000015157,"57,167.58",Facilities Management Services,,
Cabinet Office,CABINET OFFICE,08/03/2011,Accommodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000015192,"50,804.22",Facilities Management Services,,
Cabinet Office,CABINET OFFICE,08/03/2011,Assets Under Construction,INTELLIGENCE SECURITY AND RESILIENCE,ECOVERT FM LTD,3000015192,"46,520.19",Refurbishment of 70 Whitehall,,
Cabinet Office,CABINET OFFICE,08/03/2011,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,ACEVO,3000015185,"70,041.00", Final instalment 2010-11 Strategic grant,,
Cabinet Office,CABINET OFFICE,08/03/2011,Resource Grants to Central Government Bodies,OFFICE FOR CIVIL SOCIETY,ECONOMIC & SOCIAL RESEARCH COUNCIL,3000015191,"87,500.00",Grants for the Centre for Charitable Giving and Philanthropy,,
Cabinet Office,CABINET OFFICE,08/03/2011,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,YOUTHNET UK,3000015212,"200,000.00", Olympics volunteering project grant,,
Cabinet Office,Buying Solutions,08/03/2011,Legal Fees,PSN Services,FIELD FISHER WATERHOUSE,PINDOH 32394,"52,163.64",Legal negotiations for public sector network procurement,,
Cabinet Office,CABINET OFFICE,09/03/2011,IT Costs,CENTRAL BUDGETS,MINISTRY OF JUSTICE,3000015227,"186,000.00",IT Service charges,,
Cabinet Office,CABINET OFFICE,09/03/2011,Accommodation and Utilities,ESTATE MANAGEMENT,MITIE MANAGED SERVICES LTD,3000015229,"33,261.83",Facilities Management Services,,
Cabinet Office,CABINET OFFICE,09/03/2011,IT Costs,OFFICE OF GOVERNMENT COMMERCE,ESRI UK LTD,3000015222,"35,500.00",Annual IT support and maintenance cost for the GIS software tools,,
Cabinet Office,CABINET OFFICE,09/03/2011,Accommodation and Utilities,PRIME MINISTERS OFFICE,ECOVERT FM LTD,3000015221,"56,296.39",Facilities Management Services,,
Cabinet Office,CABINET OFFICE,10/03/2011,Other Staff Related Costs,CIVIL SERVICE CAPABILITIES GROUP,PARITY SOLUTIONS LTD,3000015255,"74,304.81",Fast-stream recruitment,,
Cabinet Office,CABINET OFFICE,10/03/2011,Consultancy,COMMITTEE ON STANDARDS IN PUBLIC LIFE,TNS UK LTD,3000015261,"33,550.00",Public attitudes survey,,
Cabinet Office,CABINET OFFICE,10/03/2011,IT Costs,DIRECTGOV,SPECIALIST COMPUTER CENTRES PLC,3000015260,"33,231.25",IT service costs,,
Cabinet Office,CABINET OFFICE,11/03/2011,Agency and Temporary Staff,DIRECTGOV,CADENCE PARTNERSHIP LLP,3000015276,"42,000.00",Interim IT specialist,,
Cabinet Office,CABINET OFFICE,11/03/2011,Supplies and Services,ESTATE MANAGEMENT,RICOH UK LTD,3000015287,"35,190.18",Reprographic Services,,
Cabinet Office,CABINET OFFICE,11/03/2011,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,MEDIA TRUST,3000015281,"300,000.00", Grant to support the Community Channel,,
Cabinet Office,CABINET OFFICE,14/03/2011,Land and Buildings,ESTATE MANAGEMENT,KING STURGE LLP,3000015313,"303,600.00",Operating Leases Rent,,
Cabinet Office,Buying Solutions,14/03/2011,Call Charges Std,Network Services,GLOBAL CROSSING,PINMTS 19596,"69,127.86",Government Managed Telecoms Contract,,
Cabinet Office,CABINET OFFICE,15/03/2011,Consultancy,CIVIL SERVICE CAPABILITIES GROUP,OFFICE OF NATIONAL STATISTICS,3000015349,"30,336.00",Fast-stream recruitment,,
Cabinet Office,CABINET OFFICE,15/03/2011,IT Costs,DIRECTGOV,STERIA LTD,3000015352,"207,102.36",IT project work costs ,,
Cabinet Office,CABINET OFFICE,15/03/2011,IT Costs,DIRECTGOV,STERIA LTD,3000015352,"118,718.72",IT service costs,,
