Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Transaction Description
HM Treasury,HM Treasury,04-Apr-11,Consultants - Financial - Advisory only,Financial Stability,BANK OF ENGLAND,91737,41538.01,"Professional Services as Loan Facility Agent (01/12/2010 - 28/02/2011) - These costs are recharged to Bradford & Bingley, Northern Rock and the Financial Services Compensation Scheme"
HM Treasury,DMO,04-Apr-11,Rates,DMO,CORPORATION OF LONDON,91783,151952.5,Rates 01/04/11-31/03/12
HM Treasury,HM Treasury,04-Apr-11,Consultants - Financial - Advisory only,Financial Management Reporting,ERNST & YOUNG LLP,91728,75000,"Provision of project management support for Project OSCAR - the system which will replace COINS currently used by HMT for fiscal management, operational and statistical publications "
HM Treasury,HM Treasury,04-Apr-11,Cost Additions - Assets Under Construction Software Licences,Financial Management Reporting,ERNST & YOUNG LLP,91728,90000,"Provision of project management support for Project OSCAR - the system which will replace COINS currently used by HMT for fiscal management, operational and statistical publications "
HM Treasury,HM Treasury,04-Apr-11,Service Charges,Corporate Centre,EXCHEQUER PARTNERSHIP PLC,91696,42240.84,Improvements at 1 Horse Guards Road -[Break through floor 1] and new doors to provide access for evacuation equipment to support proposed increase in capacity
HM Treasury,HM Treasury,04-Apr-11,Service Charges,Corporate Centre,EXCHEQUER PARTNERSHIP PLC,91697,85627.08,Cost of new evacuation equipment to support proposed increase in capacity
HM Treasury,HM Treasury,04-Apr-11,Service Charges,Corporate Centre,EXCHEQUER PARTNERSHIP PLC,91705,102656.4,Workplace Optimisation Programme - supply of equipment for communal areas in line with agreed designs to support proposed increase in capacity.
HM Treasury,HM Treasury,04-Apr-11,Service Charges,Corporate Centre,EXCHEQUER PARTNERSHIP PLC,91698,154726.1,Workplace Optimisation Programme - Installation and modification of electrical and data supplies 4th floor to support proposed increase in capacity
HM Treasury,HM Treasury,04-Apr-11,Service Charges,Corporate Centre,EXCHEQUER PARTNERSHIP PLC,91706,242335.1,Workplace Optimisation Programme- The Supply and Fit of Sub-Cabling to Distribution Units and Boards to facilitate the distribution of cable network to new floorplans to support proposed increase in capacity
HM Treasury,HM Treasury,04-Apr-11,Consultancy - Other prof svcs framwrk agrmts,IUK,PARTNERSHIPS UK PLC,91803,26350.76,IUK employee benefits recharge 01/01/11 - 31/03/11
