Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Additional Narrative,
HM Treasury,HM Treasury,03-Dec-10,Service Charges,Corporate Services,EXCHEQUER PARTNERSHIP PLC,89293,31357.10,"Estates: 1 Horseguards Road posts, goods & porterage - November",
HM Treasury,HM Treasury,03-Dec-10,IT support and maintenance recoverable,Corporate Services,FUJITSU SERVICES LIMITED,87933,191324.97,IT Services,
HM Treasury,HM Treasury,03-Dec-10,Consultancy - Legal -  Contracted out services,Corporate Services,THE TREASURY SOLICITOR,88951,240127.58,Treasury Legal Advisors - salary costs recharged from TSOL,
HM Treasury,HM Treasury,06-Dec-10,Membership of professional bodies IR approved,"Budget, Tax & Welfare",OECD,89304,87395.65,Membership of OECD Global Forum ,
HM Treasury,HM Treasury,07-Dec-10,Electricity,Corporate Services,EDF ENERGY,89381,45011.35,Estates: 1 Horseguards Road electricity - November,
HM Treasury,HM Treasury,09-Dec-10,Maintenance,Corporate Services,MITIE MANAGED SERVICES LTD,89341,41375.87,Estates: Rosebery Court - facilities management,
HM Treasury,APA,09-Dec-10,Consultants - Legal - Advisory only,Legal & Compliance,SLAUGHTER AND MAY,89386,43052.25,professional services,
HM Treasury,HM Treasury,13-Dec-10,PFI LONG TERM CREDITORS,Balance Sheet/ Suspense,EXCHEQUER PARTNERSHIP PLC,89291,131750.72,Estates: 1 Horseguards Road,
HM Treasury,HM Treasury,13-Dec-10,CONTINGENT RENT ON HORSEGUARDS PFI,Corporate Services,EXCHEQUER PARTNERSHIP PLC,89291,424102.19,Estates: 1 Horseguards Road,
HM Treasury,HM Treasury,13-Dec-10,Interest Payable - On Bal.Sheet PFI Contracts,Corporate Services,EXCHEQUER PARTNERSHIP PLC,89291,807842.00,Estates: 1 Horseguards Road,
HM Treasury,HM Treasury,13-Dec-10,Service Charges,Corporate Services,EXCHEQUER PARTNERSHIP PLC,89291,5032.50,Estates: 1 Horseguards Road,
HM Treasury,HM Treasury,13-Dec-10,Service Element of Unitary Payment,Corporate Services,EXCHEQUER PARTNERSHIP PLC,89291,309278.52,Estates: 1 Horseguards Road,
HM Treasury,HM Treasury,13-Dec-10,AME Mint Stock Metal Costs,Macro & Fiscal Policy,ROYAL MINT,89325,4137257.84,Coinage,
HM Treasury,HM Treasury,13-Dec-10,DEL Mint Stock Manufacturing Costs,Macro & Fiscal Policy,ROYAL MINT,89325,2016746.24,Coinage,
HM Treasury,HM Treasury,16-Dec-10,IT profssnl svcs contractd out,Corporate Services,FUJITSU SERVICES LIMITED,89534,343800.90,IT Services,
HM Treasury,HM Treasury,16-Dec-10,Consultancy - Other prof svcs framwrk agrmts,Public Services & Growth,PARTNERSHIPS UK PLC,89547,1003841.00,Call-off contract ,
HM Treasury,HM Treasury,16-Dec-10,Equitable Life Enquiry,"Budget, Tax & Welfare",TOWERS WATSON,89136,290910.11,Actuarial advice,
HM Treasury,HM Treasury,16-Dec-10,Equitable Life Enquiry,"Budget, Tax & Welfare",TOWERS WATSON,88308,329055.43,Actuarial advice,
HM Treasury,HM Treasury,20-Dec-10,Rent,Corporate Services,GOODMAN UK LIMITED,89585,28087.49,Estates: Alexandra House,
HM Treasury,HM Treasury,20-Dec-10,Printing (Spending Review Publications),Public Services & Growth,THE STATIONERY OFFICE -TSO,89569,31809.10,printing Spending Review & associated supplementary documents,
HM Treasury,DMO,22-Dec-10,Gilt purchase and sale service costs,Dealers,COMPUTERSHARE SERVICES PLC,89672,32304.58,settlement and banking charges,
HM Treasury,HM Treasury,22-Dec-10,Equitable Life Enquiry ,"Budget, Tax & Welfare",DELOITTE LLP,88189,45499.30,professional services,
HM Treasury,HM Treasury,22-Dec-10,Procurement Card Suspense,Balance Sheet/ Suspense,NATWEST BANK PLC,89689,136070.58,various purchases on Procurement card - December,
HM Treasury,DMO,23-Dec-10,Electricity (to managing agent),Facilities,JONES LANG LASALLE,89731,5374.21,Electricity,
HM Treasury,DMO,23-Dec-10,Rent (to managing agent),Facilities,JONES LANG LASALLE,89731,282385.40,Rent,
HM Treasury,DMO,23-Dec-10,Service Charges (to managing agent),Facilities,JONES LANG LASALLE,89731,68867.35,Service charges,
HM Treasury,HM Treasury,24-Dec-10,Software Maintenance,Public Services & Growth,DESCISYS LTD,89273,142468.75,COINS support 30/12/10  - 29/03/11,
HM Treasury,HM Treasury,24-Dec-10,RBS LODGE CARD (TRAVEL),Balance Sheet/ Suspense,RBS LODGE,89747,60536.70,various travel costs - December,
HM Treasury,DMO,29-Dec-10,DMO - Banking Costs,Settlements,BANK OF ENGLAND,89757,108908.36,Banking Charges,
HM Treasury,APA,29-Dec-10,Corporate subscriptions IR approved,Risk & Analysis,FITCH RATINGS,89408,29286.88,subscription to ratings services,
HM Treasury,APA,29-Dec-10,Corporate subscriptions IR approved,Investment Management,FITCH RATINGS,89408,29286.87,subscription to ratings services,
HM Treasury,HM Treasury,29-Dec-10,Original Research,International Finance,SOCIAL FINANCE LIMITED,89758,28000.00,specialist  research into commercial aspects of financial inclusion policy  measure,
HM Treasury,HM Treasury,29-Dec-10,Equitable Life Enquiry,"Budget, Tax & Welfare",TOWERS WATSON,89759,103784.93,Actuarial advice,
HM Treasury,UKFI,31-Dec-10,Rent,UKFI,"DEPARTMENT FOR CULTURE, MEDIA AND SPORT",89752,54596.45,"Rent, rates & service charges - January to March",
HM Treasury,HM Treasury,31-Dec-10,IT support and maintenance recoverable,Corporate Services,FUJITSU SERVICES LIMITED,89776,100875.12,IT Services,
HM Treasury,HM Treasury,31-Dec-10,IT profssnl svcs contractd out,Corporate Services,FUJITSU SERVICES LIMITED,89809,343469.29,IT Services,
HM Treasury,HM Treasury,31-Dec-10,IT profssnl svcs contractd out,Corporate Services,FUJITSU SERVICES LIMITED,89777,1245542.37,IT Services,
HM Treasury,HM Treasury,31-Dec-10,Telephone Rental,Corporate Services,NTL TELEWEST,89810,46123.13,Ethernet rental  - annual payment ,
HM Treasury,HM Treasury,31-Dec-10,IT support and maintenance,Corporate Services,NTL TELEWEST,89808,85259.25,Ethernet rental  - annual payment ,
HM Treasury,HM Treasury,31-Dec-10,Consultancy - Legal -  Contracted out services,Corporate Services,THE TREASURY SOLICITOR,89541,268353.00,Treasury Legal Advisors - salary costs recharged from TSOL,
