Department Family,Entity,Date,Expense area,Expense Type,Supplier,Transaction Number,Transaction Description,Amount
HM Treasury,APA,16-Feb-2012,Asset Protection Agency,Press Summaries,BLOOMBERG FINANCE L.P.,96847,FINANCIAL INFORMATION SERVICES -COVERING THE PERIOD FROM DECEMBER 2011 TO MAY 2012,"22,274.46"
HM Treasury,DMO,21-Feb-2012,Debt Management Office,DMO Market Data Services - 587067,BLOOMBERG FINANCE L.P.,97037,FINANCIAL INFORMATION SERVICES,"50,258.04"
HM Treasury,HM Treasury,09-Feb-2012,International & EU,Other RfR 1 programme costs,BRUEGEL,96799,STATE MEMBERSHIP SUBSCRIPTION FOR 2012,"163,573.80"
HM Treasury,DMO,15-Feb-2012,Debt Management Office,Operating leases (rent),CAPITA SECURE INFORMATION SYSTEMS LTD,96941,LEASE OF DISASTER RECOVERY SITE 01/01/12 - 31/12/12,"146,590.80"
HM Treasury,HM Treasury,17-Feb-2012,Business & International Tax,Equitable Life Enquiry VAT recoverable,DELOITTE MCS LTD,96970,FOR CONSULTING SERVICES IN SUPPORT OF THE EQUITABLE LIFE PAYMENT SCHEME - JANUARY 2012,"30,801.28"
HM Treasury,HM Treasury,17-Feb-2012,Business & International Tax,Equitable Life Enquiry VAT recoverable,DELOITTE MCS LTD,96969,FOR PROFESSIONAL SERVICES FOR THE DESIGN OF THE EQUITABLE LIFE PAYMENT SCHEME - JANUARY 2012,"63,447.84"
HM Treasury,UKFI,29-Feb-2012,UK Financial Investments,Consultancy - Financial,DEUTSCHE BANK AG LONDON,97187,COSTS FOR ACCOUNTING AND TAX ADVICE REGARDING THE SALE OF NORTHERN ROCK,"33,355.96"
HM Treasury,UKFI,06-Feb-2012,UK Financial Investments,Consultancy - Financial,DEUTSCHE BANK AG LONDON,96742,COSTS FOR ACCOUNTING AND TAX ADVICE REGARDING THE SALE OF NORTHERN ROCK,"1,810,000.00"
HM Treasury,HM Treasury,06-Feb-2012,Corporate Centre,Rent,DTZ,95114,JULY 2011 TO SEPTEMBER 2011 RENT CHARGE FOR EASTBURY HOUSE,"30,641.17"
HM Treasury,HM Treasury,06-Feb-2012,Corporate Centre,Rent,DTZ,96524,APRIL 2011 TO JUNE 2011 RENT CHARGE FOR EASTBURY HOUSE,"31,787.19"
HM Treasury,HM Treasury,20-Feb-2012,Corporate Centre,Non structural repairs & Maintenance,ECOVERT FM,97041,ESTATES MANAGEMENT AND MAINTENANCE COSTS,"33,408.00"
HM Treasury,HM Treasury,24-Feb-2012,Corporate Centre,Electricity,EDF ENERGY,96730,ELECTRICITY CHARGE FOR JANUARY 2012,"44,271.98"
HM Treasury,HM Treasury,13-Feb-2012,Corporate Centre,PFI LONG TERM CREDITORS,EXCHEQUER PARTNERSHIP PLC,96700,UNITARY PAYMENT FOR FEBRUARY 2012,"1,903,569.28"
HM Treasury,HM Treasury,06-Feb-2012,Corporate Centre,Facilities Service Charges Non-recoverable,EXCHEQUER PARTNERSHIP PLC,96701,"POST, GOODS & PORTERAGE SERVICES FEBRUARY 2012","33,736.46"
HM Treasury,HM Treasury,02-Feb-2012,Corporate Centre,Facilities Service Charges Non-recoverable,EXCHEQUER PARTNERSHIP PLC,96668,WORKPLACE OPTIMISATION PROJECT,"694,141.38"
HM Treasury,HM Treasury,22-Feb-2012,Corporate Centre,Assets Under Construction Tangible - over £5k,EXCHEQUER PARTNERSHIP PLC,97056,WORKPLACE OPTIMISATION PROJECT,"107,869.63"
HM Treasury,HM Treasury,22-Feb-2012,Corporate Centre,Assets Under Construction Tangible - over £5k,EXCHEQUER PARTNERSHIP PLC,96932,WORKPLACE OPTIMISATION PROJECT,"111,163.85"
HM Treasury,HM Treasury,13-Feb-2012,Corporate Centre,Assets Under Construction Tangible - over £5k,EXCHEQUER PARTNERSHIP PLC,96889,WORKPLACE OPTIMISATION PROJECT,"167,859.19"
