Department Family,Entity,Date,Expense Area,Expense Type,Supplier,Transaction No,Transation Description,Amount
HM Treasury,HM Treasury,03-Jan-12,Corporate Centre,UKFI Management Fee,UK FINANCIAL INVESTMENTS LTD,96290,UKFI MANAGEMENT FEE JANUARY 2012,1091666.67
HM Treasury,HM Treasury,04-Jan-12,Corporate Centre,Telephone Rental - UK,BT PLC,96158,BT LINE RENTAL AND CALL CHARGES - OCTOBER 2011 - DECEMBER 2011,28386.85
HM Treasury,DMO,06-Jan-12,Debt Management Office,IT Software services and maintenance  Rec,ALGORITHMICS (UK) LTD,96190,RISK MANAGEMENT SOFTWARE LICENCE AND SUPPORT 31/01/12 - 30/01/13,97792.54
HM Treasury,UKFI,06-Jan-12,UKFI,Consultancy - Financial,DELOITTE LLP,96262,COSTS FOR ACCOUNTING AND TAX ADVICE REGARDING THE SALE OF NORTHERN ROCK,285742.31
HM Treasury,HM Treasury,06-Jan-12,Corporate Centre,Assets Under Construction Tangible - over £5k,EXCHEQUER PARTNERSHIP PLC,96065,HMT WORKPLACE OPTIMISATION PROJECT,175735.68
HM Treasury,UKFI,06-Jan-12,UKFI,Consultancy - Legal,FRESHFIELDS BRUCKHAUS DERINGER,96263,COST FOR LEGAL ADVICE REGARDING THE SALE OF NORTHERN ROCK,425746.1
HM Treasury,HM Treasury,06-Jan-12,Corporate Centre,IT Software services and maintenance  Rec,FUJITSU SERVICES LIMITED,96230,ADDITIONAL APPLICATION SERVER FOR INTERNAL FILING APPLICATION - JIGSAW,21572
HM Treasury,HM Treasury,06-Jan-12,Corporate Centre,IT Software services and maintenance  Rec,FUJITSU SERVICES LIMITED,96226,FLEX CONFIDENTIAL SERVICE CHARGES SEPTEMBER 2011,24502.9
HM Treasury,APA,06-Jan-12,APA,APA Product Specialist Advice Professional Services,GOVERNMENT ACTUARY'S DEPT,96256,ACTUARIAL SERVICES COVERING THE PERIOD NOVEMBER 2011,73.5
HM Treasury,APA,06-Jan-12,APA,Interim Contractor / Staff substitution,GOVERNMENT ACTUARY'S DEPT,96256,ACTUARIAL SECONDEE SERVICES COVERING THE PERIOD NOVEMBER 2011,51780
HM Treasury,HM Treasury,06-Jan-12,Corporate Centre,Call Charges,GOVERNMENT PROCUREMENT SERVICE,95073,SERVICE ACCESS POINT FEE & HANDSETS FOR THE PERIOD 1/10/11 - 31/12/11,129042.14
HM Treasury,HM Treasury,06-Jan-12,Corporate Centre,Telecoms - Installation,GOVERNMENT PROCUREMENT SERVICE,95073,SERVICE ACCESS POINT FEE & HANDSETS FOR THE PERIOD 1/10/11 - 31/12/11,46882.2
HM Treasury,HM Treasury,06-Jan-12,Financial Mgmt Reporting Grp,Assets under construction externally generated software - over £5k,IBM UK,96188,INFRASTRUCTURE SERVICE HOSTING,63806.4
HM Treasury,HM Treasury,06-Jan-12,Financial Mgmt Reporting Grp,Assets under construction externally generated software - over £5k,IBM UK,96134,PROJECT OSCAR PAYMENT MILESTONE 3,523433.75
HM Treasury,HM Treasury,06-Jan-12,Business & Int Tax Grp,Equitable Life Enquiry VAT recoverable,TOWERS WATSON,96133,ACTURIAL SUPPORT TO HM TREASURY IN REPECT OF THE EQUITABLE LIFE PAYMENT SCHEME FOR NOVEMBER 2011,245376.32
HM Treasury,HM Treasury,11-Jan-12,Corporate Centre,Childcare Vouchers,EDENRED,96350,ELECTRONIC CHILDCARE VOUCHERS FOR THE PERIOD - FEBRUARY - APRIL 2012,59195.14
HM Treasury,HM Treasury,11-Jan-12,Corporate Centre,Electricity,EDF ENERGY,96354,ELECTRICITY COSTS DECEMBER 2011,43240.61
HM Treasury,HM Treasury,11-Jan-12,Corporate Centre,Electricity,EDF ENERGY,95874,ELECTRICITY COSTS NOVEMBER 2011,47529.9
HM Treasury,HM Treasury,11-Jan-12,Financial Mgmt Reporting Grp,Assets under construction externally generated software - over £5k,ERNST & YOUNG LLP,95213,PROJECT OSCAR SUPPORT SERVICES,235486.08
HM Treasury,HM Treasury,11-Jan-12,Financial Mgmt Reporting Grp,Consultancy - IT,ERNST & YOUNG LLP,95213,PROJECT OSCAR SUPPORT SERVICES,51015.6
HM Treasury,HM Treasury,11-Jan-12,Financial Mgmt Reporting Grp,Professional Services - Financial,ERNST & YOUNG LLP,95213,PROJECT OSCAR SUPPORT SERVICES,427377.6
HM Treasury,HM Treasury,11-Jan-12,Corporate Centre,Facilities Service Charges Non-recoverable,EXCHEQUER PARTNERSHIP PLC,96307,"POST, GOODS AND PORTERAGE SERVICES JANUARY 2012",33736.46
HM Treasury,HM Treasury,11-Jan-12,Corporate Centre,CONTINGENT RENT ON HORSEGUARDS PFI,EXCHEQUER PARTNERSHIP PLC,96308,UNITARY CHARGE JANUARY 2012,2034849.92
HM Treasury,HM Treasury,11-Jan-12,Corporate Centre,Assets Under Construction Tangible - over £5k,EXCHEQUER PARTNERSHIP PLC,96357,HMT WORKPLACE OPTIMISATION PROJECT,203993.52
HM Treasury,HM Treasury,11-Jan-12,Business & Int Tax Grp,Equitable Life Enquiry VAT non - recoverable,NATIONAL SAVINGS AND INVESTMENTS,96311,OPERATIONAL COSTS FOR THE EQUITABLE LIFE PAYMENT SCHEME NOVEMBER 2011,496253.68
HM Treasury,HM Treasury,11-Jan-12,Business & Int Tax Grp,Equitable Life Enquiry VAT non - recoverable,NATIONAL SAVINGS AND INVESTMENTS,96310,DEVELOPEMENT & IMPLEMENTATION OF THE PAYMENT SYSTEM FOR THE EQUITABLE LIFE PAYMENT SCHEME NOVEMBER 2011,970256.68
HM Treasury,HM Treasury,11-Jan-12,Corporate Centre,AME Mint Stock Metal Costs,ROYAL MINT,96240,PAYMENT FOR METAL AND COINAGE PRODUCTION COSTS - DECEMBER 2011,5183511.25
HM Treasury,HM Treasury,11-Jan-12,Corporate Centre,DEL Mint Stock Manufacturing Costs,ROYAL MINT,96240,PAYMENT FOR METAL AND COINAGE PRODUCTION COSTS - DECEMBER 2011,2775255.71
HM Treasury,HM Treasury,13-Jan-12,Corporate Centre,IT Hardware Services & Maintenance Non VAT Recoverable,CABLE & WIRELESS PLC,94861,GOVERNMENT SECURE NETWORK COSTS - OCTOBER 2011,31833
HM Treasury,HM Treasury,13-Jan-12,Corporate Centre,IT Hardware Services & Maintenance Non VAT Recoverable,CABLE & WIRELESS PLC,96329,GOVERNMENT SECURE NETWORK COSTS - APRIL 2011 - MARCH 2012,31098.6
HM Treasury,HM Treasury,13-Jan-12,Corporate Centre,IT Hardware Services & Maintenance Non VAT Recoverable,CABLE & WIRELESS PLC,94013,GOVERNMENT SECURE NETWORK COSTS - JULY - SEPTEMBER 2011,59960.66
HM Treasury,HM Treasury,13-Jan-12,Corporate Centre,IT Software services and maintenance  Rec,FUJITSU SERVICES LIMITED,96387,FLEX RESTRICTED SERVICE CHARGES OCTOBER 2011,651179.48
HM Treasury,HM Treasury,13-Jan-12,Corporate Centre,IT Software services and maintenance  Rec,FUJITSU SERVICES LIMITED,96388,FLEX RESTRICTED SERVICE CHARGES SEPTEMBER 2011,671418.67
HM Treasury,HM Treasury,13-Jan-12,Corporate Centre,Other Utility expenses,GOVERNMENT PROCUREMENT SERVICE,96374,WHITEHALL HEATING SERVICE CHARGE   - FOR OCTOBER - DECEMBER 2011,79817.52
HM Treasury,HM Treasury,16-Jan-12,Public Spending Grp,Consultancy - Financial,GOVERNMENT ACTUARY'S DEPT,96138,ACTUARIAL SERVICES PERIOD ENDING  30/11/11,63783
HM Treasury,HM Treasury,18-Jan-12,Business & Int Tax Grp,Equitable Life Enquiry VAT recoverable,DELOITTE MCS LTD,96434,FOR CONSULTING SERVICES IN SUPPORT OF THE EQUITABLE LIFE PAYMENT SCHEME DECEMBER 2011,22420.05
HM Treasury,HM Treasury,18-Jan-12,Business & Int Tax Grp,Equitable Life Enquiry VAT recoverable,DELOITTE MCS LTD,96435,FOR THE PROFESSIONAL SERVICES FOR THE DESIGN OF THE EQUITABLE LIFE PAYMENT SCHEME DECEMBER 2011,30538.32
HM Treasury,HM Treasury,18-Jan-12,Corporate Centre,Rent,DTZ,96433,RENT & SERVICE CHARGES FOR ROSEBERY COURT - QUARTERLY 01/10/11 - 31/12/11,28913.24
HM Treasury,DMO,18-Jan-12,Debt Management Office,DMO Market Data Services - 587067,REUTERS LIMITED,96467,MARKET DATA SYSTEMS AND SERVICES 01/01/12 - 31/03/12,98511.41
HM Treasury,HM Treasury,23-Jan-12,Corporate Centre,Assets Under Construction Software Licences - over £5k,FUJITSU SERVICES LIMITED,96507,HMT WORKPLACE OPTIMISATION PROJECT - (THESE COSTS ARE FULLY RECOVERABLE),56194.29
HM Treasury,HM Treasury,25-Jan-12,Corporate Centre,Assets Under Construction Tangible - over £5k,FUJITSU SERVICES LIMITED,96231,HMT WORKPLACE OPTIMISATION PROJECT,34901.08
HM Treasury,HM Treasury,25-Jan-12,Corporate Centre,Procurement Card Suspense,NATWEST BANK PLC ,96558,VARIOUS COSTS SETTLED THROUGH GOVERNMENT PROCUREMENT CARD - JANUARY 2012,67352.07
HM Treasury,HM Treasury,25-Jan-12,Corporate Centre,RBS LODGE CARD (TRAVEL),RBS LODGE ,96557,VARIOUS COSTS SETTLED THROUGH THE LODGE CARD - JANUARY 2012,121573.41
HM Treasury,DMO,25-Jan-12,Debt Management Office,Software Licences - over £5k,REUTERS LIMITED,96117,REUTERS MARKET DATA SYSTEM (MARKET DATA PLATFORM),40200
HM Treasury,HM Treasury,25-Jan-12,Fiscal Grp,UK Coinage Manufacturing Cost,ROYAL MINT,96532,RECURRING SERVICES 4TH QUARTER 2011/12,92785.73
HM Treasury,HM Treasury,27-Jan-12,Financial Mgmt Reporting Grp,Recruitment Expenses,CAPITA RESOURCING LTD,96586,GOVERNMENT FINANCE PROFESSION GRADUATE RECRUITMENT COSTS,12631.84
HM Treasury,HM Treasury,27-Jan-12,Public Services Grp,Recruitment Expenses,CAPITA RESOURCING LTD,96586,GOVERNMENT FINANCE PROFESSION GRADUATE RECRUITMENT COSTS,3157.96
HM Treasury,HM Treasury,27-Jan-12,Corporate Centre,Recruitment Expenses,CAPITA RESOURCING LTD,96586,GOVERNMENT FINANCE PROFESSION GRADUATE RECRUITMENT COSTS,15789.81
HM Treasury,HM Treasury,27-Jan-12,Corporate Centre,Assets Under Construction Tangible - over £5k,EXCHEQUER PARTNERSHIP PLC,96523,HMT WORKPLACE OPTIMISATION PROJECT,485714.86
HM Treasury,HM Treasury,27-Jan-12,Financial Grp,Consultancy - Financial,PRICEWATERHOUSECOOPERS ,95556,INDEPENDENT VALUER BRADFORD AND BINGLEY JULY - SEPTEMBER 2011 - RECHARGEABLE TO BRADFORD & BINGLEY,54015.28
HM Treasury,HM Treasury,27-Jan-12,Treasury Legal Advisors,Professional Services - Legal representation Services,THE TREASURY SOLICITOR,96593,TSOL TREASURY LEGAL ADVISORS - SALARY COST RECHARGED FROM TSOL - DECEMBER 2011,298578
