Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Transation Description,Amount
HM Treasury,HM Treasury,29-Jul-11,Other Utility expenses,Corporate Centre,BUYING SOLUTIONS,93391,WHITEHALL HEATING SYSTEM STANDING CHARGES APR-JUN 11,49848.92
HM Treasury,HM Treasury,18-Jul-11,Equitable Life Enquiry VAT recoverable,Business & International Tax,DELOITTE MCS LTD,93626,FOR THE PROFESSIONAL SERVICES FOR THE DESIGN OF THE EQUITABLE LIFE PAYMENT SCHEME - JUNE 2011,78281.52
HM Treasury,HM Treasury,18-Jul-11,Equitable Life Enquiry VAT recoverable,Business & International Tax,DELOITTE MCS LTD,93619,FOR CONSULTING SERVICES IN SUPPORT OF THE EQUITABLE LIFE PAYMENT SCHEME - JUNE 2011,80515.51
HM Treasury,HM Treasury,22-Jul-11,Childcare Vouchers,Corporate Centre,EDENRED (FORMERLY ACCOR SERVICES),93536,ELECTRONIC CHILDCARE VOUCHERS,55631
HM Treasury,HM Treasury,22-Jul-11,Payroll Services,Corporate Centre,EDENRED (FORMERLY ACCOR SERVICES),93536,ELECTRONIC CHILDCARE VOUCHERS,1390.78
HM Treasury,HM Treasury,06-Jul-11,Electricity,Corporate Centre,EDF ENERGY,93353,ELECTRICITY JUNE 2011,50174.37
HM Treasury,HM Treasury,04-Jul-11,Professional Services - Financial,Financial Management Reporting,ERNST & YOUNG LLP,93296,PROFESSIONAL SERVICES - PROJECT OSCAR PROCUREMENT,31086
HM Treasury,HM Treasury,04-Jul-11,Professional Services - Financial,Financial Management Reporting,ERNST & YOUNG LLP,93287,PROFESSIONAL SERVICES - PROJECT OSCAR DESIGN AND BUILD,368559.6
HM Treasury,HM Treasury,06-Jul-11,Facilities Service Charges Non-recoverable,Corporate Centre,EXCHEQUER PARTNERSHIP PLC,93330,1HGR GOODS AND PORTERAGE SERVICES JULY 2011,33736.46
HM Treasury,HM Treasury,11-Jul-11,CONTINGENT RENT ON HORSEGUARDS PFI,Corporate Centre,EXCHEQUER PARTNERSHIP PLC,93332,UNITARY PAYMENT JULY 2011 ,1700354.04
HM Treasury,HM Treasury,11-Jul-11,Corp. Subscriptions  and Other Information Services,Corporate Centre,FINANCIAL TIMES LTD,93475,FINANCIAL TIMES.COM NEWS SERVICE SUBSCRIPTION 01/06/11 - 31/05/12,55582.8
HM Treasury,HM Treasury,08-Jul-11,IT Software services and maintenance  Rec,Corporate Centre,FUJITSU SERVICES LIMITED,92350,MILESTONE PAYMENT M4.4 FOR FLEX RESTRICTED TRANSFORMATION PROJECT,464309.1
HM Treasury,HM Treasury,27-Jul-11,IT Software services and maintenance  Rec,Corporate Centre,FUJITSU SERVICES LIMITED,93482,FLEX CONFIDENATIAL SERVICE CHARGES YEAR 2 MARCH 2011,175985.73
