Department Family,Entity,Date,Expense Area,Expense Area,Supplier,Transaction Number,Transation Description,Amount
HM Treasury,HM Treasury,02-Jul-12,Corporate Centre Group,UKFI MANAGEMENT FEE,UK FINANCIAL INVESTMENTS LTD,100069,UKFI MANAGEMENT FEE - JULY 2012,480000
HM Treasury,HM Treasury,03-Jul-12,Financial Group,Financial Stability Consultancy,BDO STOY HAYWARD LLP,99530,INDEPENDENT VALUER NORTHERN ROCK - JANUARY 2012 TO MARCH 2012 - RECHARGEABLE TO NORTHERN ROCK ,28291.33
HM Treasury,HM Treasury,03-Jul-12,Public Spending Grp,Public Spending,GOVERNMENT ACTUARY'S DEPT,99333,ACTUARIAL ADVICE IN A CONSULTANCY CAPACITY TO WPP TEAM - APRIL 2012,51137.55
HM Treasury,HM Treasury,05-Jul-12,Business & Int Tax Group,Equitable Life,NATIONAL SAVINGS AND INVESTMENTS,99539,OPERATIONAL COSTS FOR THE EQUITABLE LIFE PAYMENT SCHEME - MARCH 2012,621488.72
HM Treasury,HM Treasury,05-Jul-12,Business & Int Tax Group,Equitable Life,NATIONAL SAVINGS AND INVESTMENTS,99538,COST FOR THE DEVELOPMENT AND IMPLEMENTATION OF THE PAYMENT SYSTEM FOR THE EQUITABLE LIFE PAYMENT SCHEME - MARCH 2012,696872.33
HM Treasury,APA,05-Jul-12,Asset Protection Agency,Data Management,PRICEWATERHOUSECOOPERS,99566,PROFESSIONAL FEES - MAY 2012 - ASSET PROTECTION AGENCY'S VALIDATION TEAM FEES (PROCESSING OF DATA RECEIVED FROM RBS),26849.6
HM Treasury,DMO,05-Jul-12,Debt Management Office,Business Delivery,SOFTCAT LTD,99582,MICROSOFT SOFTWARE ENTERPRISE AGREEMENT ,31809.85
HM Treasury,DMO,05-Jul-12,Debt Management Office,Business Delivery,SOFTCAT LTD,99581,MICROSOFT SOFTWARE ENTERPRISE AGREEMENT ,39602.69
HM Treasury,HM Treasury,09-Jul-12,Financial Management Reporting Grp,Project OSCAR (inc DPI),ERNST & YOUNG LLP,97951,RESOURCE COSTS TO ASSIST WITH USER ACCEPTANCE TESTING FOR PROJECT OSCAR - MARCH 2012,37950
HM Treasury,HM Treasury,09-Jul-12,Financial Management Reporting Grp,Project OSCAR (inc DPI),IBM UK,99617,PROJECT OSCAR - SOFTWARE LICENSING PAYMENT - JULY 2012 TO JUNE 2013,194102.4
HM Treasury,DMO,09-Jul-12,Debt Management Office,Rmu,LONDON STOCK EXCHANGE,99676,LISTING FEES FOR UK GOVT BONDS,150000
HM Treasury,DMO,09-Jul-12,Debt Management Office,Business Delivery,REUTERS LIMITED,99661,MARKET DATA SYSTEMS AND SERVICES 01/07/12 - 30/09/12,96257.99
HM Treasury,HM Treasury,11-Jul-12,Corporate Centre Group,Knowledge & Information Managment,FINANCIAL TIMES LTD,99722,FINANCIAL TIMES DIGITAL CONTENT LICENCE - 1 JUNE 2012 TO 31 MAY 2013,47079.6
