Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Additional Narrative
HM Treasury,HM Treasury,01-Mar-11,UKFI Management Fee,International Finance,UK FINANCIAL INVESTMENTS LTD,91109,222000,UKFI Management Fee for March 11
HM Treasury,APA,02-Mar-11,Consultants - Mgt - Non Advisory,APA,GOVERNMENT ACTUARY'S DEPT,91033,34260.6,Actuarial Services January 2011
HM Treasury,APA,04-Mar-11,Contracted out svcs - other,APA,ERNST & YOUNG LLP,88014,25337,Fees for Internal Audit Services May 2010. All APA costs are recoverable from RBS
HM Treasury,APA,04-Mar-11,Contracted out svcs - other,APA,ERNST & YOUNG LLP,88015,28605,Fees for Internal Audit Services March 2010. All APA costs are recoverable from RBS
HM Treasury,APA,04-Mar-11,Contracted out svcs - other,APA,ERNST & YOUNG LLP,88016,32024,Fees for Internal Audit Services April 2010. All APA costs are recoverable from RBS
HM Treasury,DMO,04-Mar-11,Software Licences,DMO,ARCONTECH LTD,91034,32023,Market data software
HM Treasury,HM Treasury,04-Mar-11,IT profssnl svcs contractd out,Corporate Services,FUJITSU SERVICES LIMITED,91103,53352,"IT Services - provision of laptops, deskstations and additional kit under the Flex contract"
HM Treasury,HM Treasury,04-Mar-11,Service Charges,Corporate Services,EXCHEQUER PARTNERSHIP PLC,88523,85832.22,Installation of sub-metering to enable improved collection and monitoring of energy consumption data
HM Treasury,HM Treasury,04-Mar-11,UK Coinage Manufacturing Cost,Macro & Fiscal Policy,ROYAL MINT,90708,183029.74,Reimbursement of Olympic coin royalties  payable to LOCOG (London Olympic Organising Committee)
HM Treasury,HM Treasury,04-Mar-11,IT profssnl svcs contractd out,Corporate Services,FUJITSU SERVICES LIMITED,91075,540845.68,"Funding for staff transferred to outsource provider under Transfer of Undertakings (Protection of Employment) Regulations  (""TUPE"")"
HM Treasury,HM Treasury,07-Mar-11,Original Research,Pensions Commission,PENSIONS POLICY INSTITUTE,91137,41275,Analysis for The Independent Public Service Pensions Commission
HM Treasury,HM Treasury,07-Mar-11,Electricity,Corporate Services,EDF ENERGY,91105,41348.82,Electricity Bill February 11
HM Treasury,HM Treasury,09-Mar-11,Consultants-Mgt-Advisory only,Public Services & Growth,ERNST & YOUNG LLP,91160,45000,"Provision of project management support for Project OSCAR - the system which will replace COINS currently used by HMT for fiscal management, operational and statistical publications "
HM Treasury,HM Treasury,09-Mar-11,IT support and maintenance recoverable,Corporate Services,CABLE & WIRELESS PLC,89895,51005.97,Provision of email anti-spam and anti-virus software licences and services -  January to March 2011
HM Treasury,HM Treasury,09-Mar-11,IT profssnl svcs contractd out,Corporate Services,FUJITSU SERVICES LIMITED,91173,139379.57,Confidential Flex Service December 2010
HM Treasury,APA,11-Mar-11,Consultants - Mgt - Non Advisory,APA,PRICEWATERHOUSECOOPERS,91206,75041.21,Consultancy Services provided to the Asset Protection Scheme Jan 2011. All APA costs are recoverable from RBS
HM Treasury,DMO,11-Mar-11,DMO - Banking Costs,DMO,BANK OF ENGLAND (FAO FRP HO- 5 & SECONDMENTS),91095,114740.4,Banking charges
HM Treasury,HM Treasury,11-Mar-11,Service Charges,Corporate Services,EXCHEQUER PARTNERSHIP PLC,91110,32024.27,"Estates 1 Horseguards Road - Post,goods,porterage services & management fee October 10"
HM Treasury,HM Treasury,11-Mar-11,Consultants - Legal - Advisory only,International Finance,SLAUGHTER AND MAY,89088,32572.1,Legal Costs to September 2010 
HM Treasury,HM Treasury,11-Mar-11,AME Mint Stock Metal Costs,Balance Sheet/ Suspense,ROYAL MINT,91083,995230.13,Payment to Royal Mint for the metal costs for coinage production  March 2011
HM Treasury,HM Treasury,11-Mar-11,DEL Mint Stock Manufacturing Costs,Balance Sheet/ Suspense,ROYAL MINT,91083,633025.69,Payment to Royal Mint for the costs of manufacturing coinage  March 2011
HM Treasury,HM Treasury,11-Mar-11,Agency Temps - Vat Not Rec'ble,Corporate Services,EXCHEQUER PARTNERSHIP PLC,91111,5139.58,Estates 1 Horse Guards Road - provision of temporary staff 
