Department Family,Entity,Date,Expense Area,Expense Type,Supplier,Transaction Number,Transaction Description,Amount
HM Treasury,HM Treasury,02-Mar-2012,Corporate Centre,Facilities Service Charges Non-recoverable,EXCHEQUER PARTNERSHIP PLC,97242,POST GOODS PORTERAGE - MARCH 2012,"33,736.46"
HM Treasury,DMO,07-Mar-2012,Debt Management Office ,Professional Services - Legal representation Services,ALLEN & OVERY,97375,LEGAL SERVICES,"49,073.24"
HM Treasury,HM Treasury,07-Mar-2012,Public Spending,Consultancy - Financial,GOVERNMENT ACTUARY'S DEPT,97077,"ACTUARIAL ADVICE IN A CONSULTANCY CAPACITY TO WORKFORCE, PAY AND PENSIONS (WPP) TEAM - PERIOD ENDING 31 JANUARY 2012","66,008.70"
HM Treasury,APA,07-Mar-2012,Asset Protection Agency,APA Data Validation Professional Services,PRICEWATERHOUSECOOPERS ,97384,PROFESSIONAL FEES - JANUARY 2012 - ASSET PROTECTION AGENCY'S VALIDATION TEAM FEES (PROCESSING OF DATA RECEIVED FROM RBS),"33,439.20"
HM Treasury,HM Treasury,07-Mar-2012,Fiscal,Commemorative Coins,ROYAL MINT,97181,DESIGN COSTS FOR NEW COINS 2012-2014,"33,900.00"
HM Treasury,DMO,09-Mar-2012,Debt Management Office ,Professional Services - Legal representation Services,ALLEN & OVERY,97431,LEGAL SERVICES,"87,799.32"
HM Treasury,HM Treasury,09-Mar-2012,Financial Management and Reporting,IT Hardware Services & Maintenance VAT Recoverable,DESCISYS LTD,97379,SOFTWARE SUPPORT FOR COINS SYSTEM - 30 MARCH TO 29 JUNE 2012 ,"121,250.00"
HM Treasury,HM Treasury,09-Mar-2012,Corporate Centre,Rent,DTZ,97072,RENT AND SERVICES CHARGE FOR EASTBURY HOUSE - JANUARY TO MARCH 2012,"31,011.87"
HM Treasury,DMO,09-Mar-2012,Debt Management Office ,IT Software Services & Maintenance Non VAT Recoverable,EUROPEAN ELECTRONIQUE LTD,97393,DMO ICT SOFTWARE SUPPORT,"34,945.08"
HM Treasury,DMO,09-Mar-2012,Debt Management Office ,Staff Well - Being,FITNESS FIRST PLC,97420,CORPORATE GYM MEMBERSHIPS (COSTS ARE PARTIALLY RECOVERED),"26,764.20"
HM Treasury,HM Treasury,09-Mar-2012,Corporate Centre,Disposal of IT Equipment,FUJITSU SERVICES LIMITED,97411,HMT WORKPLACE OPTIMISATION PROGRAMME,"29,213.76"
HM Treasury,HM Treasury,09-Mar-2012,Corporate Centre,Training Course Fees,ITS PERFORMANCE CONSULTING LTD,97404,DESIGN AND DELIVERY OF CATALYST LEADERSHIP DEVELOPMENT PROGRAMME 2011/12,"27,244.00"
HM Treasury,HM Treasury,09-Mar-2012,Business and International Tax,Equitable Life Enquiry VAT non - recoverable,NATIONAL SAVINGS AND INVESTMENTS,97447,OPERATIONAL COSTS FOR THE EQUITABLE LIFE PAYMENT SCHEME - DECEMBER 2011,"459,564.68"
HM Treasury,HM Treasury,09-Mar-2012,Business and International Tax,Equitable Life Enquiry VAT non - recoverable,NATIONAL SAVINGS AND INVESTMENTS,97446,DEVELOPMENT AND IMPLEMENTATION OF THE PAYMENT SYSTEM FOR THE EQUITABLE LIFE PAYMENT SCHEME - DECEMBER 2011,"681,521.96"
HM Treasury,HM Treasury,09-Mar-2012,Corporate Centre,Assets Under Construction Tangible - over £5k,SENATOR INTERNATIONAL LTD,97414,WORKSPACE OPTIMISATION PROJECT,"30,770.40"
HM Treasury,HM Treasury,12-Mar-2012,Financial Management and Reporting,Assets under construction externally generated software - over £5k,IBM UK,97472,PROJECT OSCAR HOSTING FEBRUARY 2012,"41,248.80"
HM Treasury,HM Treasury,14-Mar-2012,Financial,Consultancy - Financial,BDO STOY HAYWARD LLP,97546,INDEPENDENT VALUER NORTHERN ROCK- JULY TO OCTOBER 2011-RECHARGEABLE TO NORTHERN ROCK,"22,122.51"
HM Treasury,HM Treasury,14-Mar-2012,Financial,Consultancy - Financial,BDO STOY HAYWARD LLP,97545,INDEPENDENT VALUER NORTHERN ROCK- NOVEMBER TO DECEMBER 2011-RECHARGEABLE TO NORTHERN ROCK ,"26,678.71"
HM Treasury,HM Treasury,14-Mar-2012,Corporate Centre,PFI LONG TERM CREDITORS,EXCHEQUER PARTNERSHIP PLC,97235,UNITARY PAYMENT MARCH 2012,"2,034,849.92"
HM Treasury,HM Treasury,14-Mar-2012,Corporate Centre,Assets Under Construction Tangible - over £5k,EXCHEQUER PARTNERSHIP PLC,97531,HMT WORKPLACE OPTIMISATION PROGRAMME,"37,761.29"
HM Treasury,HM Treasury,14-Mar-2012,Corporate Centre,IT Software services and maintenance  Rec,FUJITSU SERVICES LIMITED,97471,FLEX CONFIDENTIAL SERVICE CHARGE JANUARY 2012,"173,507.97"
HM Treasury,HM Treasury,14-Mar-2012,Corporate Centre,IT Software services and maintenance  Rec,FUJITSU SERVICES LIMITED,97484,FLEX RESTRICTED SERVICE CHARGE DECEMBER 2011,"673,040.41"
HM Treasury,HM Treasury,14-Mar-2012,Corporate Centre,IT Software services and maintenance  Rec,FUJITSU SERVICES LIMITED,97470,FLEX RESTRICTED SERVICE CHARGE JANUARY 2012,"683,630.45"
HM Treasury,DMO,16-Mar-2012,Debt Management Office ,IT Software services and maintenance  Rec,ARCONTECH LTD,97589,SYSTEM LICENCE FEE - 31 MARCH 2012 TO 30 MARCH 2013,"26,000.00"
HM Treasury,DMO,16-Mar-2012,Debt Management Office ,IT Software services and maintenance  Rec,ARCONTECH LTD,97589,SYSTEM IMPLEMENTATION COSTS - 31 MARCH 2012 TO 30 MARCH 2013,"11,400.00"
HM Treasury,HM Treasury,16-Mar-2012,Corporate Centre,Assets Under Construction Tangible - over £5k,EXCHEQUER PARTNERSHIP PLC,97237,HMT WORKPLACE OPTIMISATION PROGRAMME ,"1,196,434.19"
HM Treasury,HM Treasury,16-Mar-2012,Corporate Centre,IT Software services and maintenance  Rec,FUJITSU SERVICES LIMITED,97468,FLEX CONFIDENTIAL SERVICE CHARGE DECEMBER 2011,"173,478.52"
HM Treasury,APA,16-Mar-2012,Asset Protection Agency,APA Data Validation Professional Services,PRICEWATERHOUSECOOPERS,97596,PROFESSIONAL FEES - FEBRUARY 2012 - ASSET PROTECTION AGENCY'S VALIDATION TEAM FEES (PROCESSING OF DATA RECEIVED FROM RBS),"41,966.40"
HM Treasury,HM Treasury,16-Mar-2012,Corporate Centre,AME Mint Stock Metal Costs,ROYAL MINT,97323,CIRCULATING COIN METAL COSTS  - FEBRUARY 2012,"959,407.44"
HM Treasury,HM Treasury,16-Mar-2012,Corporate Centre,DEL Mint Stock Manufacturing Costs,ROYAL MINT,97323,CIRCULATING COIN MANUFACTURE COSTS  - FEBRUARY 2012,"1,921,719.88"
HM Treasury,DMO,16-Mar-2012,Debt Management Office ,IT Hardware Services & Maintenance VAT Recoverable,SOFTCAT LTD,97593,IT SECURITY HARDWARE SUPPORT,"3,577.21"
HM Treasury,DMO,16-Mar-2012,Debt Management Office ,IT Software Services & Maintenance Non VAT Recoverable,SOFTCAT LTD,97593,IT SECURITY SOFTWARE SUPPORT,"21,837.54"
HM Treasury,APA,19-Mar-2012,Asset Protection Agency,Council Tax (Business Rates),CORPORATION OF LONDON,97586,APA BUSINESS RATES BILL - APRIL 2012 TO MARCH 2013,"68,444.00"
HM Treasury,HM Treasury,19-Mar-2012,Business and International Tax,Equitable Life Enquiry VAT recoverable,DELOITTE MCS LTD,97617,FOR CONSULTING SERVICES IN SUPPORT OF THE EQUITABLE LIFE PAYMENT SCHEME - FEBRUARY 2012,"26,901.51"
HM Treasury,HM Treasury,19-Mar-2012,Business and International Tax,Equitable Life Enquiry VAT recoverable,DELOITTE MCS LTD,97616,FOR PROFESSIONAL SERVICES FOR THE DESIGN OF THE EQUITABLE LIFE PAYMENT SCHEME - FEBRUARY 2012,"63,952.55"
HM Treasury,DMO,21-Mar-2012,Debt Management Office ,DMO - Banking Costs,BANK OF ENGLAND ,97656,BANKING CHARGES NOVEMBER 2011,"120,652.75"
HM Treasury,DMO,21-Mar-2012,Debt Management Office ,DMO - Banking Costs,BANK OF ENGLAND ,97658,BANKING CHARGES DECEMBER 2011,"158,465.30"
HM Treasury,UKFI,21-Mar-2012,UK Financial Investments,Council Tax (Business Rates),"DEPARTMENT FOR CULTURE, MEDIA AND SPORT",97644,RENT AND RATES - 1 JANUARY 2012 - 31 MARCH 2012 FOR OCEANIC HOUSE,"13,900.82"
HM Treasury,UKFI,21-Mar-2012,UK Financial Investments,Operating leases (rent),"DEPARTMENT FOR CULTURE, MEDIA AND SPORT",97644,RENT AND RATES - 1 JANUARY 2012 - 31 MARCH 2012 FOR OCEANIC HOUSE,"34,342.26"
HM Treasury,UKFI,21-Mar-2012,UK Financial Investments,Service Element of Unitary Payment,"DEPARTMENT FOR CULTURE, MEDIA AND SPORT",97644,RENT AND RATES - 1 JANUARY 2012 - 31 MARCH 2012 FOR OCEANIC HOUSE,"9,133.59"
HM Treasury,HM Treasury,21-Mar-2012,Corporate Centre, IT/Office equipment purchase under £5k,FUJITSU SERVICES LIMITED,97629,HMT WORKPLACE OPTIMISATION PROGRAMME,"189,120.72"
HM Treasury,HM Treasury,21-Mar-2012,Treasury Legal Advisers,Professional Services - Legal representation Services,THE TREASURY SOLICITOR,97613,TSOL TREASURY LEGAL ADVISORS - SALARY COST RECHARGED FROM TSOL - FEBRUARY 2012,"335,380.34"
HM Treasury,HM Treasury,23-Mar-2012,Corporate Centre,IT Hardware Services & Maintenance VAT Recoverable,CABINET OFFICE ,97690,PROVISION FLEX IT FRAMEWORK 2011/12,"35,000.00"
HM Treasury,HM Treasury,23-Mar-2012,Corporate Centre,Electricity,EDF ENERGY,97330,ELECTRICITY CHARGES FOR FEBRUARY 2012,"42,467.00"
HM Treasury,HM Treasury,23-Mar-2012,Corporate Centre,Procurement Card Suspense,NATWEST BANK PLC ,97704,PURCHASING CARD STATEMENT MARCH 2012,"93,835.92"
HM Treasury,HM Treasury,23-Mar-2012,Corporate Centre,RBS LODGE CARD (TRAVEL),RBS LODGE ,97705,LODGE STATEMENT MARCH 2012,"122,508.16"
HM Treasury,HM Treasury,26-Mar-2012,Corporate Centre,Assets Under Construction Tangible - over £5k,EXCHEQUER PARTNERSHIP PLC,97734,HMT WORKPLACE OPTIMISATION PROGRAMME,"42,282.55"
HM Treasury,HM Treasury,28-Mar-2012,Corporate Centre,Security,CABINET OFFICE,97758,HM TREASURY SECURITY COSTS - 1 APRIL 2011 - 31 MARCH 2012,"40,000.00"
HM Treasury,HM Treasury,28-Mar-2012,Corporate Centre, IT/Office equipment purchase under £5k,FUJITSU SERVICES LIMITED,97785,HMT WORKPLACE OPTIMISATION PROGRAMME,"34,292.64"
HM Treasury,HM Treasury,28-Mar-2012,Corporate Centre,Assets Under Construction Tangible - over £5k,FUJITSU SERVICES LIMITED,97754,HMT WORKPLACE OPTIMISATION PROGRAMME,"43,466.14"
HM Treasury,HM Treasury,28-Mar-2012,Corporate Centre,Assets Under Construction Tangible - over £5k,FUJITSU SERVICES LIMITED,97755,HMT WORKPLACE OPTIMISATION PROGRAMME,"43,466.14"
HM Treasury,HM Treasury,28-Mar-2012,Financial Management and Reporting,Assets under construction externally generated software - over £5k,IBM UK,97765,PROJECT OSCAR HOSTING MARCH 2012,"41,248.80"
HM Treasury,HM Treasury,28-Mar-2012,Financial Management and Reporting,Assets under construction externally generated software - over £5k,IBM UK,97764,PROJECT OSCAR DEVELOPMENT,"435,028.16"
