Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Additional Narrative
HM Treasury,HM Treasury,05-Oct-2010,Service Charges,Corporate Services,EXCHEQUER PARTNERSHIP PLC,87863,"31,357.10","Estates 1 Horseguards Road - Post,goods,porterage services & management fee oct 10"
HM Treasury,HM Treasury,05-Oct-2010,Bank Of England,Macro Economic & Fiscal Policy,BANK OF ENGLAND,86515,"32,189.00",quarterly banking charges
HM Treasury,HM Treasury,05-Oct-2010,Service Charges,Corporate Services,MITIE MANAGED SERVICES LTD,87873,"39,082.65",Estates Norwich 
HM Treasury,HM Treasury,05-Oct-2010,UK Coinage Manufacturing Cost,Macro Economic & Fiscal Policy,ROYAL MINT,87427,"40,829.55",Coinage 
HM Treasury,HM Treasury,05-Oct-2010,IT profssnl svcs contractd out,Corporate Services,FUJITSU SERVICES LIMITED,87842,"39,489.00",IT services
HM Treasury,HM Treasury,05-Oct-2010,UK Coinage Manufacturing Cost,Macro Economic & Fiscal Policy,ROYAL MINT,87428,"91,514.88",Coinage 
HM Treasury,DMO,05-Oct-2010,MARKET DATA SERVICES,Business Delivery,REUTERS LIMITED,87827,"100,382.12",IT services
HM Treasury,HM Treasury,05-Oct-2010,Consultants-Mgt-Advisory only,Corporate Services,FUJITSU SERVICES LIMITED,87841,"166,835.37",IT services
HM Treasury,HM Treasury,05-Oct-2010,IT profssnl svcs contractd out,Corporate Services,FUJITSU SERVICES LIMITED,87844,"180,863.67",IT services
HM Treasury,HM Treasury,05-Oct-2010,IT profssnl svcs contractd out,Corporate Services,FUJITSU SERVICES LIMITED,87843,"701,389.60",IT services
HM Treasury,HM Treasury,07-Oct-2010,Procurement Card Suspense,Corporate Services,BT PLC,87716,"32,462.07",
HM Treasury,HM Treasury,07-Oct-2010,Original Research,International Finance,SOCIAL FINANCE LIMITED,87961,"28,000.00",specialist  research into commercial aspects of financial inclusion policy  measure
HM Treasury,HM Treasury,07-Oct-2010,Consultants - Legal - Advisory only,Corporate Services,THE TREASURY SOLICITOR,86715,"30,473.10",Legal advice 
HM Treasury,DMO,07-Oct-2010,DMO - Banking Costs,Settlements,BANK OF ENGLAND,87959,"102,428.26",
