Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,Amount,Transaction Description
HM Treasury,HM Treasury,02-Sep-11,Assets under construction externally generated software - over £5k,Financial Management Reprting Grp,ERNST & YOUNG LLP,94227,27158.4,PROJECT OSCAR SUPPORT   
HM Treasury,HM Treasury,02-Sep-11,UKFI Management Fee,Corporate Centre,UK FINANCIAL INVESTMENTS LTD,94279,220000,UKFI MANAGEMENT FEE - SEPTEMBER 2011
HM Treasury,DMO,05-Sep-11,DMO - Banking Costs,DMO,BANK OF ENGLAND ,94254,106084.55,BANKING CHARGES JUL Y 2011
HM Treasury,HM Treasury,05-Sep-11,Assets under construction externally generated software - over £5k,Financial Management Reprting Grp,IBM UK,94273,332044.15,PROJECT OSCAR MILESTONE PAYMENT 27/06/2011  - 24/08/2011
HM Treasury,DMO,07-Sep-11,Gilt Purchase & Sale Service,DMO,COMPUTERSHARE SERVICES PLC,94324,27885.41,IT SYSTEM CHARGES FOR GILTS
HM Treasury,HM Treasury,09-Sep-11,Electricity,Corporate Centre,EDF ENERGY,94341,50477.04,ELECTRICITY AUGUST 2011
HM Treasury,HM Treasury,09-Sep-11,Facilities Service Charges Non-recoverable,Corporate Centre,EXCHEQUER PARTNERSHIP PLC,94327,33736.46,"POST, GOODS AND PORTERAGE SERVICES"
HM Treasury,HM Treasury,09-Sep-11,Facilities Service Charges Non-recoverable,Corporate Centre,EXCHEQUER PARTNERSHIP PLC,94326,1645503.91,UNITARY PAYMENT FOR AUGUST 2011
HM Treasury,HM Treasury,09-Sep-11,DEL Mint Stock Manufacturing Costs,Corporate Centre,ROYAL MINT,94275,1658585.22,PAYMENT FOR METAL AND COINAGE PRODUCTION COSTS - AUGUST 2011
HM Treasury,HM Treasury,09-Sep-11,AME Mint Stock Metal Costs,Corporate Centre,ROYAL MINT,94275,3210210.97,PAYMENT FOR METAL AND COINAGE PRODUCTION COSTS - AUGUST 2011
HM Treasury,HM Treasury,09-Sep-11,Consultancy - Financial,Financial Stability Grp,SMITH & WILLIAMSON LIMITED,94333,117618.79,VALUATION - DUNFERMLINE BUILDING SOCIETY
HM Treasury,HM Treasury,12-Sep-11,Consultancy - Financial,Financial Stability Grp,BDO STOY HAYWARD LLP,94252,32559.6,INDEPENDENT VALUATION NORTHERN ROCK APRIL 2011 - RECHARGABLE TO NORTHERN ROCK
HM Treasury,HM Treasury,12-Sep-11,Consultancy - Financial,Financial Stability Grp,BDO STOY HAYWARD LLP,94261,519546.05,INDEPENDENT VALUATION NORTHERN ROCK MAY 2011 - RECHARGABLE TO NORTHERN ROCK
HM Treasury,HM Treasury,12-Sep-11,Corp. Subscriptions  and Other Information Services,Corporate Centre,FACTIVA LIMITED,94351,54835.56,RENEWAL OF ANNUAL FACTIVA NEWS SUBSCRIPTION
HM Treasury,HM Treasury,12-Sep-11,Assets under construction externally generated software - over £5k,Financial Management Reprting Grp,IBM UK,94387,182235.6,PROJECT OSCAR SUPPORT 01/09/2011 - 30/09/2011
HM Treasury,HM Treasury,14-Sep-11,IT Software Services & Maintenance Non VAT Recoverable,Financial Management Reprting Grp,DESCISYS LTD,94412,145500,COINS SYSTEM  SUPPORT 30/09/11 - 29/12/11
HM Treasury,HM Treasury,14-Sep-11,Assets Under Construction Tangible - over £5k,Corporate Centre,EXCHEQUER PARTNERSHIP PLC,94422,123473.09,WORKSPACE OPTIMISATION PROJECT STAFF MOVE AND RELOCATIONS COSTS
HM Treasury,HM Treasury,14-Sep-11,Assets Under Construction Tangible - over £5k,Corporate Centre,FUJITSU SERVICES LIMITED,94410,52771.72,COST OF MOVING THE CONSTITION GROUP  & ONTO THE FLEX SYSTEM
HM Treasury,DMO,14-Sep-11,Electricity,DMO,JONES LANG LASALLE,94399,25209.98,DMO PREMISES BALANCING SERVICE CHARGE 2009
HM Treasury,DMO,14-Sep-11,Electricity,DMO,JONES LANG LASALLE,94364,31698.94,DMO PREMISES BALANCING SERVICE CHARGE 2010
HM Treasury,HM Treasury,16-Sep-11,Original Research,Public Spending Group - IUK,FRONTIER ECONOMICS LTD,94484,82260,ANALYTICAL RESEARCH INTO SYSTEMIC RISKS
HM Treasury,HM Treasury,21-Sep-11,Assets Under Construction Tangible - over £5k,Corporate Centre,FLEXIFORM BUSINESS FURNITURE LIMITED,94559,33839.65,WORKSPACE OPTIMISATION PROJECT - NEW LOCKERS
HM Treasury,DMO,21-Sep-11,Facilities Service Charges Non-recoverable,DMO,JONES LANG LASALLE,94407,88486.44,DMO COMMERCIAL SERVICE CHARGE 29/09/2011 - 24/12/2011
HM Treasury,DMO,21-Sep-11,Operating leases (rent),DMO,JONES LANG LASALLE,94407,288393.6,DMO COMMERCIAL RENT CHARGE 29/09/2011 -  24/12/2011
HM Treasury,HM Treasury,21-Sep-11,Equitable Life Enquiry VAT non - recoverable,Business & International Tax Grp,NATIONAL SAVINGS AND INVESTMENTS,94494,226687.68,NS&I OPERATIONAL COSTS JULY 2011
HM Treasury,HM Treasury,21-Sep-11,Equitable Life Enquiry VAT non - recoverable,Business & International Tax Grp,NATIONAL SAVINGS AND INVESTMENTS,94495,766039.67,NS&I IMPLEMENTATION COSTS JULY 2011
HM Treasury,HM Treasury,21-Sep-11,UKFI Management Fee,Corporate Centre,UK FINANCIAL INVESTMENTS LTD,94564,400000,UKFI MANAGMENT FEE SEPTEMBER  2011
HM Treasury,HM Treasury,23-Sep-11,Recruitment Expenses,Corporate Centre,CABINET OFFICE ,94397,28000,TREASURY CONTRIBUTION TO WHITEHALL PROGRAMME FOR FASTSTREAMERS
HM Treasury,HM Treasury,23-Sep-11,IT Software services and maintenance  Rec,Corporate Centre,FUJITSU SERVICES LIMITED,94532,490289.85,RESTRICTED IT FLEX SERVICE COST - MARCH 2011
HM Treasury,HM Treasury,23-Sep-11,IT Software services and maintenance  Rec,Corporate Centre,FUJITSU SERVICES LIMITED,94533,593591.62,RESTRICTED IT FLEX SERVICE COST- APRIL 2011
HM Treasury,DMO,26-Sep-11,DMO - Banking Costs,DMO,BANK OF ENGLAND ,94618,115076.7,BANKING CHARGES AUGUST 2011
HM Treasury,HM Treasury,26-Sep-11,Procurement Card Suspense,Corporate Centre,NATWEST BANK PLC ,94621,91382.85,VARIOUS COSTS SETTLED THROUGH GOVERNMENT PROCUREMENT CARD - SEPTEMBER 2011
HM Treasury,HM Treasury,26-Sep-11,Software purchase under £5K,Corporate Centre,ORACLE,94592,36583.54,SOFTWARE UPDATE LICENSE 06/10/11 - 05/01/12
HM Treasury,HM Treasury,26-Sep-11,RBS LODGE CARD (TRAVEL),Corporate Centre,RBS LODGE,94601,78789.09,VARIOUS COSTS SETTLED THROUGH THE LODGE CARD - SEPTEMBER 2011
HM Treasury,HM Treasury,28-Sep-11,Membership of Professional Bodies (non HMRC approved),Corporate Centre,GARTNER GROUP UK LTD,94639,33960,RENEWAL OF THE GARTNER FOR IT EXECUTIVES CONTRACT OCTOBER 2011 -SEPTEMBER 2012
HM Treasury,HM Treasury,28-Sep-11,Consultancy - Financial,Public Spending Group,GOVERNMENT ACTUARY'S DEPT,94626,70093.15,ACTURIAL SERVICES FOR THE PERIOD ENDING 31/08/11
HM Treasury,HM Treasury,30-Sep-11,Programme costs consultancy,Business & International Tax Grp,DELOITTE MCS LTD,94688,53330.02,CONSULTING TEAM SERVICES EQUITABLE LIFE AUGUST 2011
HM Treasury,HM Treasury,30-Sep-11,Programme costs consultancy,Business & International Tax Grp,DELOITTE MCS LTD,94687,60858.84,FOR PROFESSIONAL SERVICES FOR THE DESIGN OF THE EQUITABLE LIFE PAYMENT SCHEME AUGUST 2011
HM Treasury,APA,30-Sep-11,APA Data Validation Professional Services,APA,PRICEWATERHOUSECOOPERS ,94665,33327,"PROFESSIONAL FEES - JUL 11 - Asset Protection Agency's VALIDATION TEAM FEES (processing of data received from RBS)
"
HM Treasury,APA,30-Sep-11,APA Data Validation Professional Services,APA,PRICEWATERHOUSECOOPERS ,94666,43128.9,"PROFESSIONAL FEES - AUG 11 - Asset Protection Agency's VALIDATION TEAM FEES (processing of data received from RBS)
"
,,,,,,,,
