Department,Entity,Date,Expense Area,Expense Area,Supplier,Transaction Number,Transation Description,Amount,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM Treasury,HM Treasury,03-Sep-2012,CORPORATE CENTRE,UKFI MANAGEMENT FEE,UK FINANCIAL INVESTMENTS LTD,100822,UKFI MANAGEMENT FEE - AUGUST 2012,"369,999.60",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM Treasury,HM Treasury,04-Sep-2012,CORPORATE CENTRE,IS Retained Services,BT PLC,99402,BT LINE RENTAL AND CALL CHARGES - APRIL TO JUNE 2012,"30,934.06",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM Treasury,HM Treasury,04-Sep-2012,CORPORATE CENTRE,Solutions Delivery,FUJITSU SERVICES LIMITED,100766,ICT UPDATE COSTS - SHAREPOINT,"23,314.80",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM Treasury,HM Treasury,04-Sep-2012,FINANCIAL MANAGEMENT REPORTING,Project OSCAR (inc DPI),IBM UK,100767,PROJECT OSCAR - HOSTING - 1 NOVEMBER 2011 TO 30 NOVEMBER 2011,"63,806.40",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM Treasury,HM Treasury,04-Sep-2012,FINANCIAL MANAGEMENT REPORTING,Project OSCAR (inc DPI),IBM UK,100737,PROJECT OSCAR - PAYMENT MILESTONE 10 ,"833,797.20",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM Treasury,HM Treasury,04-Sep-2012,CORPORATE CENTRE,JWS SCR Project,SFW LIMITED,100585,ICT UPDATE COSTS  ,"37,759.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM Treasury,HM Treasury,04-Sep-2012,CORPORATE CENTRE,IS Retained Services,VODAFONE CORPORATE LTD,100083,MOBILE TELEPHONE CHARGES - MAY 2012 TO JULY 2012,"30,567.04",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM Treasury,HM Treasury,06-Sep-2012,FINANCIAL MANAGEMENT REPORTING,Project OSCAR (inc DPI),IBM UK,100740,PROJECT OSCAR - HOSTING - 1 AUGUST 2012 TO 31 AUGUST 2012,"41,248.80",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM Treasury,HM Treasury,06-Sep-2012,FINANCIAL,Financial Stability Consultancy,SMITH & WILLIAMSON LIMITED,100806,DUNFERMLINE BUILDING SOCIETY - AMOUNT PER SETTLEMENT AGREEMENT DATED JULY 2012,"164,084.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM Treasury,HM Treasury,10-Sep-2012,CORPORATE CENTRE,Estates,EDF ENERGY,100765,ELECTRICITY - AUGUST 2012,"47,460.72",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM Treasury,HM Treasury,10-Sep-2012,CORPORATE CENTRE,Workspace Optimisation (Project),EXCHEQUER PARTNERSHIP PLC,100804,WORKPLACE OPTIMISATION PROJECT,"57,055.58",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM Treasury,HM Treasury,10-Sep-2012,FINANCIAL MANAGEMENT REPORTING,Project OSCAR (inc DPI),IBM UK,100644,PROJECT OSCAR - STAFF COSTS - 1 JULY 2012 TO 31 JULY 2012,"62,866.98",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM Treasury,HM Treasury,10-Sep-2012,FINANCIAL MANAGEMENT REPORTING,Project OSCAR (inc DPI),IBM UK,100831,PROJECT OSCAR - STAFF COSTS - 1 AUGUST 2012 TO 31 AUGUST 2012,"62,866.98",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM Treasury,UKFI,12-Sep-2012,UK FINANCIAL INVESTMENTS,UKFI,DELOITTE LLP,100926,COST FOR ACCOUNTING AND TAX ADVICE IN RELATION TO THE SALE OF NORTHERN ROCK,"18,617.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM Treasury,UKFI,12-Sep-2012,UK FINANCIAL INVESTMENTS,Project Oval,DELOITTE LLP,100926,COST FOR ACCOUNTING AND TAX ADVICE IN RELATION TO THE SALE OF NORTHERN ROCK,"13,062.80",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM Treasury,HM Treasury,12-Sep-2012,FINANCIAL MANAGEMENT REPORTING,Financial Management,DESCISYS LTD,100674,SOFTWARE SUPPORT FOR COINS SYSTEM - 30 SEPTEMBER 2012 TO 29 DECEMBER 2012,"121,250.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM Treasury,HM Treasury,12-Sep-2012,CORPORATE CENTRE,Estates,EXCHEQUER PARTNERSHIP PLC,100814,"POST, GOODS AND PORTERAGE - SEPTEMBER 2012","34,940.95",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM Treasury,HM Treasury,12-Sep-2012,CORPORATE CENTRE,Estates,EXCHEQUER PARTNERSHIP PLC,100861,COSTS IN RESPECT OF AN ENERGY REDUCTION INITIATIVE ,"30,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM Treasury,HM Treasury,12-Sep-2012,CORPORATE CENTRE,JWS CO Workspace Phase 2,EXCHEQUER PARTNERSHIP PLC,100862,CABINET OFFICE RELOCATIONS TO 1 HORSE GUARDS ROAD (TO BE RECOVERED),"28,490.53",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM Treasury,HM Treasury,12-Sep-2012,FISCAL,Fiscal,ROYAL MINT,100464,TRANSPORT COSTS FOR RECOVERY OF CIRCULATING COINS - 30 JANUARY 2012 TO 23 APRIL 2012,"75,400.18",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM Treasury,UKFI,14-Sep-2012,UK FINANCIAL INVESTMENTS,UKFI,CITIGROUP,100803,GLOBAL CUSTODY FEES,"26,250.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM Treasury,HM Treasury,14-Sep-2012,CORPORATE CENTRE,Workspace Optimisation (Project),EXCHEQUER PARTNERSHIP PLC,100964,WORKPLACE OPTIMISATION PROJECT,"23,248.93",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM Treasury,UKFI,17-Sep-2012,UK FINANCIAL INVESTMENTS,UKFI,"DEPARTMENT FOR CULTURE, MEDIA AND SPORT",100989,"RENT, RATES AND SERVICE CHARGES FOR OCEANIC HOUSE - 1 OCTOBER 2012 TO 16 DECEMBER 2012","50,629.29",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM Treasury,HM Treasury,17-Sep-2012,CORPORATE CENTRE,Estates,EXCHEQUER PARTNERSHIP PLC,100808,UNITARY PAYMENT - SEPTEMBER 2012,"2,048,590.68",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM Treasury,HM Treasury,17-Sep-2012,CORPORATE CENTRE,IS Retained Services,GLOBAL CROSSING UK TELECOMMUNICATIONS LTD,100025,FIXED TELEPHONES RENTAL AND CALL CHARGES FOR HM TREASURY - JULY 2012,"61,816.36",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM Treasury,HM Treasury,17-Sep-2012,CORPORATE CENTRE,IS Retained Services,GLOBAL CROSSING UK TELECOMMUNICATIONS LTD,100026,FIXED TELEPHONES RENTAL AND CALL CHARGES FOR CABINET OFFICE - JULY 2012,"118,642.91",,,,,,,,,,,,,,,,,,,,,,,,,,,,
