Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Transaction Description,Amount
HM Treasury,HM Treasury,04-Mar-2013,FINANCIAL MANAGEMENT REPORTING,Project OSCAR (inc DPI),IBM UK,103577,PROJECT OSCAR - HOSTING - MONTHLY CHARGES,37149.6
HM Treasury,HM Treasury,04-Mar-2013,INTERNATIONAL & EU,International & EU,INNOVISION EVENTS LTD,103664,G7 EVENT MANAGEMENT COSTS,49824.51
HM Treasury,HM Treasury,04-Mar-2013,CORPORATE CENTRE,UKFI MANAGEMENT FEE,UK FINANCIAL INVESTMENTS LTD,103800,MONTHLY UKFI MANAGEMENT FEE ,250000
HM Treasury,DMO,08-Mar-2013,DEBT MANAGEMENT OFFICE,Consolidated Projects,BULL INFORMATION SYSTEMS LTD,103514,IT HARDWARE,70704
HM Treasury,DMO,08-Mar-2013,DEBT MANAGEMENT OFFICE,Consolidated Projects,BULL INFORMATION SYSTEMS LTD,103513,IT HARDWARE,178295.58
HM Treasury,DMO,08-Mar-2013,DEBT MANAGEMENT OFFICE,Consolidated Projects,BULL INFORMATION SYSTEMS LTD,103516,IT PARTS SUPPLIED,179667.6
HM Treasury,HM Treasury,08-Mar-2013,CORPORATE CENTRE,HR Central Services,CABINET OFFICE ,103789,RESOURCES POLICY AND LEARNING COSTS,45709
HM Treasury,DMO,11-Mar-2013,DEBT MANAGEMENT OFFICE,Consolidated Projects,BULL INFORMATION SYSTEMS LTD,103738,IT HARDWARE,237248.56
HM Treasury,HM Treasury,11-Mar-2013,FINANCIAL MANAGEMENT REPORTING,Financial Management,DESCISYS LTD,103801,SOFTWARE SUPPORT FOR COINS SYSTEM - QUARTERLY CHARGE,145500
HM Treasury,HM Treasury,11-Mar-2013,CORPORATE CENTRE,Estates,EDF ENERGY,103803,MONTHLY ELECTRICITY COSTS 1HGR,45062.27
HM Treasury,HM Treasury,11-Mar-2013,FINANCIAL MANAGEMENT REPORTING,Project OSCAR (inc DPI),IBM UK,103896,PROJECT OSCAR - SUPPORT STAFF - MONTHLY CHARGES,62866.98
HM Treasury,DMO,11-Mar-2013,DEBT MANAGEMENT OFFICE,Business Delivery,SOFTCAT LTD,103853,SOFTWARE LICENCE AND SUPPORT COSTS,26130.19
HM Treasury,DMO,13-Mar-2013,DEBT MANAGEMENT OFFICE,Business Delivery,ARCONTECH LTD,103961,ANNUAL LICENCE FEE - 31/03/12 TO 30/03/15,26000
HM Treasury,DMO,13-Mar-2013,DEBT MANAGEMENT OFFICE,Business Delivery,BLOOMBERG FINANCE L.P.,103943,FINANCIAL INFORMATION SERVICES,53810.19
HM Treasury,HM Treasury,13-Mar-2013,CORPORATE CENTRE,JWS Intranet & Corp Directory Project,FUJITSU SERVICES LIMITED,103928,CORPORATE INTRANET AND DIRECTORY REVIEW (RE-CHARGABLE TO CABINET OFFICE),74337.04
