Department Family,Entity,Date,Expense Area,Expense Type,Cost Centre,Expense Area,Supplier,Transaction Number,Transaction Description,Amount,,,,,,,,,,,,,,,,,,,,,,,,,,
HM Treasury,HM Treasury,01-Nov-2012,CORPORATE CENTRE,UKFI Management Fee,42896,UKFI MANAGEMENT FEE,UK FINANCIAL INVESTMENTS LTD,101771,UKFI MANAGEMENT FEE - NOVEMBER 2012,200000,,,,,,,,,,,,,,,,,,,,,,,,,,
HM Treasury,HM Treasury,02-Nov-2012,CORPORATE CENTRE,IT Hardware Services & Maintenance VAT Recoverable,48333,Solutions Delivery,FUJITSU SERVICES LIMITED,101738,IT UPGRADE ,28141.71,,,,,,,,,,,,,,,,,,,,,,,,,,
HM Treasury,HM Treasury,02-Nov-2012,CORPORATE CENTRE,IT Hardware Services & Maintenance VAT Recoverable,48336,FLEX Services,FUJITSU SERVICES LIMITED,101735,FLEX RESTRICTED SERVICE - AUGUST 2012,677832.42,,,,,,,,,,,,,,,,,,,,,,,,,,
HM Treasury,HM Treasury,02-Nov-2012,CORPORATE CENTRE,Professional Services - IT,52153,JWS Intranet & Corp Directory Project,FUJITSU SERVICES LIMITED,101697,IT UPGRADE,95340,,,,,,,,,,,,,,,,,,,,,,,,,,
HM Treasury,HM Treasury,08-Nov-2012,CORPORATE CENTRE,Electricity,48305,Estates,EDF ENERGY,101770,ELECTRICITY - OCTOBER 2012,47195.99,,,,,,,,,,,,,,,,,,,,,,,,,,
HM Treasury,HM Treasury,08-Nov-2012,CORPORATE CENTRE,Facilities Service Charges Non-recoverable,48305,Estates,EXCHEQUER PARTNERSHIP PLC,101751,POST GOODS AND PORTERAGE SERVICES - NOVEMBER 2012,34940.95,,,,,,,,,,,,,,,,,,,,,,,,,,
HM Treasury,HM Treasury,08-Nov-2012,CORPORATE CENTRE,IT Hardware Services & Maintenance VAT Recoverable,52901,Olympics & Paralympics,FUJITSU SERVICES LIMITED,101736,OLYMPICS SERVICE SUPPORT ,54435.27,,,,,,,,,,,,,,,,,,,,,,,,,,
HM Treasury,HM Treasury,08-Nov-2012,FINANCIAL MANAGEMENT REPORTING,Assets under construction externally generated software - over £5k,52252,Project OSCAR (inc DPI),IBM UK,101558,PROJECT OSCAR - MILESTONE PAYMENT,178002,,,,,,,,,,,,,,,,,,,,,,,,,,
HM Treasury,HM Treasury,08-Nov-2012,BUSINESS AND INTERNATIONAL TAX,Equitable Life Enquiry VAT non - recoverable,52202,Equitable Life,NATIONAL SAVINGS AND INVESTMENTS,101830,DEVELOPMENT AND IMPLEMENTATION OF THE PAYMENT SYSTEM FOR THE EQUITABLE LIFE PAYMENT SCHEME - SEPTEMBER 2012,694022,,,,,,,,,,,,,,,,,,,,,,,,,,
HM Treasury,HM Treasury,08-Nov-2012,BUSINESS AND INTERNATIONAL TAX,Equitable Life Enquiry VAT non - recoverable,52202,Equitable Life,NATIONAL SAVINGS AND INVESTMENTS,101831,OPERATIONAL COSTS FOR THE EQUITABLE LIFE PAYMENT SCHEME - SEPTEMBER 2012,699553.3,,,,,,,,,,,,,,,,,,,,,,,,,,
