Department Family,Entity,Date,Expense Area,Expense Area,Supplier,Transaction Number,Transation Description,Amount,,,,,,,,,,
HM Treasury,HM Treasury,02-Oct-2012,Corporate Centre,FLEX Services,FUJITSU SERVICES LIMITED,101199,HMT RESTRICTED FLEX SERVICE - MAY 2012,742896.42,,,,,,,,,,
HM Treasury,HM Treasury,02-Oct-2012,Financial Mangement Reporting Grp,Project OSCAR (inc DPI),IBM UK,101007,PROJECT OSCAR - HOSTING CHARGES - SEPTEMBER 2012,41248.8,,,,,,,,,,
HM Treasury,HM Treasury,02-Oct-2012,Fiscal Grp,Fiscal,ROYAL MINT,101123,RECURRING SERVICES - 3RD QUARTER 2012/13,96218.8,,,,,,,,,,
HM Treasury,HM Treasury,04-Oct-2012,Business & Int Tax grp,Equitable Life,NATIONAL SAVINGS AND INVESTMENTS,101242,OPERATIONAL COSTS FOR THE EQUITABLE LIFE PAYMENT SCHEME FOR JULY 2012,697530,,,,,,,,,,
HM Treasury,HM Treasury,04-Oct-2012,Business & Int Tax grp,Equitable Life,NATIONAL SAVINGS AND INVESTMENTS,101241,DEVELOPMENT AND IMPLEMENTATION OF THE PAYMENT SYSTEM FOR THE EQUITABLE LIFE PAYMENT SCHEME FOR JULY 2012,732974.01,,,,,,,,,,
HM Treasury,DMO,04-Oct-2012,DMO,Business Delivery,REUTERS LIMITED,101244,MARKET DATA SYSTEMS AND SERVICES 01/10/12 - 31/12/12,95671.51,,,,,,,,,,
HM Treasury,DMO,08-Oct-2012,DMO,Settlements,BANK OF ENGLAND,101351,DMO BANKING CHARGES AUGUST 12,106193.9,,,,,,,,,,
HM Treasury,DMO,08-Oct-2012,DMO,Settlements,BANK OF ENGLAND,101350,DMO BANKING CHARGES JULY 12,114195.95,,,,,,,,,,
HM Treasury,HM Treasury,08-Oct-2012,Corporate Centre,JWS CO Workspace Phase 2,FUJITSU SERVICES LIMITED,101315,WORKPLACE OPTIMISATION PROJECT,32820,,,,,,,,,,
HM Treasury,HM Treasury,08-Oct-2012,Corporate Centre,JWS CO Workspace Phase 2,FUJITSU SERVICES LIMITED,101310,WORKPLACE OPTIMISATION PROJECT,82704,,,,,,,,,,
HM Treasury,HM Treasury,08-Oct-2012,Corporate Centre,JWS CO Workspace Phase 2,FUJITSU SERVICES LIMITED,101316,WORKPLACE OPTIMISATION PROJECT,225553,,,,,,,,,,
HM Treasury,DMO,08-Oct-2012,DMO,Rmu,LONDON STOCK EXCHANGE,101347,FEES PAID TO LONDON STOCK EXCHANGE IN RESPECT OF THE LISTING OF UK GILTS ,150000,,,,,,,,,,
HM Treasury,HM Treasury,08-Oct-2012,Business & Int Tax grp,Equitable Life,NATIONAL SAVINGS AND INVESTMENTS,101304,COSTS FOR THE DESIGN AND SET UP OF THE INDEPENDENT REVIEW PANEL,31702.05,,,,,,,,,,
HM Treasury,HM Treasury,08-Oct-2012,Business & Int Tax grp,Equitable Life,NATIONAL SAVINGS AND INVESTMENTS,101302,DEVELOPMENT AND IMPLEMENTATION OF THE PAYMENT SYSTEM FOR THE EQUITABLE LIFE PAYMENT SCHEME FOR AUGUST 2012,582311,,,,,,,,,,
HM Treasury,HM Treasury,08-Oct-2012,Business & Int Tax grp,Equitable Life,NATIONAL SAVINGS AND INVESTMENTS,101303,OPERATIONAL COSTS FOR THE EQUITABLE LIFE PAYMENT SCHEME FOR AUG 2012,767799.68,,,,,,,,,,
HM Treasury,HM Treasury,08-Oct-2012,Economic Grp,Economics,REUTERS LIMITED,101245,MARKET DATA SYSTEMS AND SERVICES 01/10/12 - 31/12/12,13834.8,,,,,,,,,,
HM Treasury,HM Treasury,08-Oct-2012,International & EU Grp,International & EU,REUTERS LIMITED,101245,MARKET DATA SYSTEMS AND SERVICES 01/10/12 - 31/12/12,13834.8,,,,,,,,,,
HM Treasury,HM Treasury,08-Oct-2012,Enterprise & Growth Grp,IUK,SLAUGHTER AND MAY,101253,LEGAL SERVICES,249590.47,,,,,,,,,,
HM Treasury,HM Treasury,08-Oct-2012,Enterprise & Growth Grp,IUK,SLAUGHTER AND MAY,101253,LEGAL SERVICES,3000,,,,,,,,,,
HM Treasury,HM Treasury,10-Oct-2012,Business & Int Tax grp,Equitable Life,DELOITTE MCS LTD,100950,FOR PROFESSIONAL SERVICES FOR THE DESIGN OF THE EQUITABLE LIFE PAYMENT SCHEME FOR AUGUST 2012,43571.43,,,,,,,,,,
HM Treasury,DMO,12-Oct-2012,DMO,Rmu,ALGORITHMICS (UK) LTD,101251,SOFTWARE LICENSE RENEWAL FOR 31/01/13 - 30/01/14,288000,,,,,,,,,,
HM Treasury,HM Treasury,15-Oct-2012,Corporate Centre,Estates,EXCHEQUER PARTNERSHIP PLC,101460,"POST, GOODS AND PORTERAGE SERVICES - OCTOBER 2012",34940.95,,,,,,,,,,
HM Treasury,HM Treasury,15-Oct-2012,Corporate Centre,Finance Central,HM REVENUE & CUSTOMS,101480,HMT- PAYE SETTLEMENT AGREEMENT 2011-12,47125.42,,,,,,,,,,
HM Treasury,DMO,15-Oct-2012,DMO,DMO Finance,HM REVENUE & CUSTOMS,101480,DMO - PAYE SETTLEMENT AGREEMENT 2011-12,24927.17,,,,,,,,,,
HM Treasury,HM Treasury,17-Oct-2012,Ministerial & Communications Grp,Communications,CABINET OFFICE ,101497,COSTS FOR MEDIA MONITORING SERVICES 2012/13,54000,,,,,,,,,,
HM Treasury,HM Treasury,17-Oct-2012,Ministerial & Communications Grp,Communications,CABINET OFFICE ,101497,COSTS FOR MEDIA MONITORING SERVICES 2012/13,15600,,,,,,,,,,
HM Treasury,HM Treasury,17-Oct-2012,Business & Int Tax grp,Equitable Life,DELOITTE MCS LTD,101504,FOR PROFESSIONAL SERVICES FOR THE DESIGN OF THE EQUITABLE LIFE PAYMENT SCHEME FOR SEPTEMBER 2012,52693.11,,,,,,,,,,
HM Treasury,HM Treasury,17-Oct-2012,Corporate Centre,Estates,EXCHEQUER PARTNERSHIP PLC,101462,UNITARY PAYMENT OCTOBER 2012,2116877.04,,,,,,,,,,
HM Treasury,HM Treasury,17-Oct-2012,Corporate Centre,FLEX Services,FUJITSU SERVICES LIMITED,101484,HMT RESTRICTED FLEX SERVICE - JULY 2012,746256.01,,,,,,,,,,
