Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number, Amount ,Description,Supplier postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
DEFRA,VMD,22/11/2011,SHARED SERVICE CHARGES - ESTATES,CORE SERVICES & QUALITY,DTZ,58546," £322,294.71 ",Departmental recharge for Estates services,0,GOVN,,,ADMINISTRATION
DEFRA,VMD,23/11/2011,SHARED SERVICE CHARGES - ESTATES,CORE SERVICES & QUALITY,DTZ,58547," £40,849.64 ",Departmental recharge for Estates services,0,GOVN,,,ADMINISTRATION
DEFRA,VMD,28/12/2011,SHARED SERVICE CHARGES - ESTATES,CORE SERVICES & QUALITY,DTZ,58859," £52,642.07 ",Departmental recharge for Estates services,0,GOVN,,,ADMINISTRATION
DEFRA,VMD,18/01/2012,SHARED SERVICE CHARGES - ESTATES,CORE SERVICES & QUALITY,DTZ,59006," £48,419.71 ",Departmental recharge for Estates services,0,GOVN,,,ADMINISTRATION
DEFRA,VMD,07/03/2012,BANK CHARGES,DIRECTOR OF OPERATIONS,CROWN SOLICITOR FOR N.I,59468," £52,463.75 ",Legal Fees,BT1 3JY,GOVN,,,ADMINISTRATION
DEFRA,VMD,08/03/2012,ANTIMICROBIAL RESISTANCE MONITORING,"FEED ADDS, RESEARCH & ENF.",AHVLA,59487," £76,618.75 ",Monitoring of antimicrobial resistance in bacteria from animals and their environment.,KT15 3NB,GOVN,,,ADMINISTRATION
DEFRA,VMD,08/03/2012,SHARED SERVICE CHARGES - LEGAL,CORE SERVICES & QUALITY,DEFRA - YORK,59484," £68,667.00 ",Departmental recharge for Legal services,YO1 7PX,GOVN,,,ADMINISTRATION
DEFRA,VMD,08/03/2012,SHARED SERVICE CHARGES - LEGAL,CORE SERVICES & QUALITY,DEFRA - YORK,59485," £51,500.00 ",Departmental recharge for Legal services,YO1 7PX,GOVN,,,ADMINISTRATION
DEFRA,VMD,09/03/2012,STATUTORY RESIDUES SURVEILLANCE - LABORATORY TESTING,RESIDUES SURVEILLANCE UNIT,FOOD & ENV. RESEARCH AGENCY,59496," £194,126.94 ",Laboratory testing of food animal products under the Statutory Residues Surveillance Programme,YO4 1LZ,GOVN,,,ADMINISTRATION
DEFRA,VMD,09/03/2012,STATUTORY RESIDUES SURVEILLANCE - LABORATORY TESTING,RESIDUES SURVEILLANCE UNIT,FOOD & ENV. RESEARCH AGENCY,59497," £193,830.84 ",Laboratory testing of food animal products under the Statutory Residues Surveillance Programme,YO4 1LZ,GOVN,,,ADMINISTRATION
DEFRA,VMD,09/03/2012,STATUTORY RESIDUES SURVEILLANCE - LABORATORY TESTING,RESIDUES SURVEILLANCE UNIT,FOOD & ENV. RESEARCH AGENCY,59498," £110,000.00 ",Laboratory testing of food animal products under the Statutory Residues Surveillance Programme,YO4 1LZ,GOVN,,,ADMINISTRATION
DEFRA,VMD,13/03/2012,STATUTORY RESIDUES SURVEILLANCE - SAMPLE COLLECTION,RESIDUES SURVEILLANCE UNIT,FOOD STANDARDS AGENCY,59517," £38,839.53 ",Collection of samples of food animal products for laboratory testing under the Statutory Residues Surveillance Programme,YO1 7PX,GOVN,,,ADMINISTRATION
DEFRA,VMD,16/03/2012,NON-STATUTORY RESIDUES SURVEILLANCE - LABORATORY TESTING,RESIDUES SURVEILLANCE UNIT,FOOD & ENV. RESEARCH AGENCY,59549," £43,183.00 ",Laboratory testing of food animal products under the Non-Statutory Residues Surveillance Programme,YO4 1LZ,GOVN,,,ADMINISTRATION
DEFRA,VMD,26/03/2012,NON-STATUTORY RESIDUES SURVEILLANCE - LABORATORY TESTING,RESIDUES SURVEILLANCE UNIT,FOOD & ENV. RESEARCH AGENCY,59643," £49,140.00 ",Laboratory testing of food animal products under the Non-Statutory Residues Surveillance Programme,YO4 1LZ,GOVN,,,ADMINISTRATION
DEFRA,VMD,28/03/2012,STATUTORY RESIDUES SURVEILLANCE - SAMPLE COLLECTION,RESIDUES SURVEILLANCE UNIT,SCOTTISH EXECUTIVE,59661," £28,150.58 ",Collection of samples of food animal products for laboratory testing under the Statutory Residues Surveillance Programme,SCOTLAND  EH6 6QQ,GOVN,,,ADMINISTRATION
